frame,refined_frame,time,refined_time,evidence,audio_support,fused_event_type,interaction_mode,contact_quality,contact_target,target_entity,fuse_target_entity,vlm_relevant,vlm_interaction,vlm_impact,vlm_entities,vlm_confidence,vlm_hand_side,vlm_object_part,vlm_object_region,vlm_grasp_type,vlm_primary_finger,vlm_fingers,manip_gamma,manip_weight,promote_anchor,vlm_description,window_png
3,3,0.08,0.03,audio,0.045,strike,impulsive,hard,support,support,support,1,strike,medium,left_foot|soccer_ball,0.8,,,,,,,1.0,1.0,0,kick,results/audio_semantics/vlm_windows/event_0003.png
53,53,1.744,1.735,audio,1.0,strike,impulsive,hard,part,left_foot,right_foot,1,strike,medium,left_foot|soccer_ball,0.8,,,,,,,1.0,1.0,1,kick,results/audio_semantics/vlm_windows/event_0053.png
57,53,1.8667,1.7384,visual,1.0,tap,impulsive,soft,part,left_hand,left_hand,1,tap,medium,left_foot|soccer ball,0.8,,,,,,,1.0,0.5,0,kick,results/audio_semantics/vlm_windows/event_0057.png
68,68,2.224,2.135,audio,0.047,strike,impulsive,hard,support,support,support,1,strike,medium,left_foot|soccer ball,0.8,,,,,,,1.0,1.0,0,"The player is kicking the soccer ball, which is visible in the middle frame.",results/audio_semantics/vlm_windows/event_0068.png
89,89,2.924,2.92,audio,1.0,strike,impulsive,hard,part,left_foot,left_foot,1,strike,medium,left_foot|soccer ball,0.8,,,,,,,1.0,1.0,1,kick,results/audio_semantics/vlm_windows/event_0089.png
96,96,3.168,3.1284,audio+visual,0.056,tap,impulsive,soft,part,left_hand,left_hand,1,tap,medium,left_foot|soccer_ball,0.8,,,,,,,1.0,0.5,0,"The player kicks the soccer ball with their left foot, causing it to move toward",results/audio_semantics/vlm_windows/event_0096.png
105,105,3.456,3.4434,audio,0.396,strike,impulsive,hard,support,support,support,1,strike,medium,left_foot|soccer_ball,0.8,,,,,,,1.0,1.0,0,"The player kicks the soccer ball with their left foot, causing it to move toward",results/audio_semantics/vlm_windows/event_0105.png
112,112,3.696,3.6567,audio+visual,0.076,tap,impulsive,soft,part,left_hand,left_hand,1,tap,medium,left_foot|soccer_ball,0.8,,,,,,,1.0,0.5,0,"The player is kicking the soccer ball, which is captured in the middle frame.",results/audio_semantics/vlm_windows/event_0112.png
119,119,3.936,3.9,audio,0.059,strike,impulsive,hard,part,left_hand,left_hand,0,strike,medium,left_foot|soccer_ball,0.8,,,,,,,1.0,1.0,1,"The player kicks the soccer ball, causing it to move across the field.",results/audio_semantics/vlm_windows/event_0119.png
124,124,4.088,4.0767,audio,0.522,strike,impulsive,hard,support,support,support,1,strike,medium,left_foot|soccer_ball,0.8,,,,,,,1.0,1.0,0,"The player kicks the soccer ball with their left foot, causing it to move toward",results/audio_semantics/vlm_windows/event_0124.png
132,132,4.352,4.3184,audio+visual,0.071,tap,impulsive,soft,part,left_hand,left_hand,1,tap,medium,left_foot|soccer ball,0.8,,,,,,,1.0,0.5,0,The player kicks the soccer ball with their left foot.,results/audio_semantics/vlm_windows/event_0132.png
146,146,4.84,4.83,audio,0.48,strike,impulsive,hard,part,left_foot,left_foot,1,strike,medium,left_foot|soccer_ball,0.8,,,,,,,1.0,1.0,1,kick,results/audio_semantics/vlm_windows/event_0146.png
156,156,5.168,5.2284,audio+visual,0.052,tap,impulsive,soft,part,left_hand,left_hand,1,tap,medium,left_foot|soccer ball,0.8,,,,,,,1.0,0.5,0,"The player kicks the soccer ball, causing it to move towards the right side of t",results/audio_semantics/vlm_windows/event_0156.png
166,166,5.504,5.4917,audio,0.421,strike,impulsive,hard,part,left_foot,right_foot,1,strike,medium,left_foot|soccer_ball,0.8,,,,,,,1.0,1.0,1,"The player kicks the soccer ball with their left foot, causing it to move toward",results/audio_semantics/vlm_windows/event_0166.png
177,177,5.872,5.8534,audio+visual,0.424,strike,impulsive,hard,part,right_foot,right_foot,1,strike,medium,right_foot|soccer_ball,0.8,,,,,,,1.0,1.0,1,"The player kicks the soccer ball with their right foot, causing it to move forwa",results/audio_semantics/vlm_windows/event_0177.png
189,189,6.256,6.3834,audio,0.079,strike,impulsive,hard,support,support,support,1,strike,medium,left_foot|soccer ball,0.8,,,,,,,1.0,1.0,0,"The player is kicking the soccer ball, which is highlighted in the middle frame.",results/audio_semantics/vlm_windows/event_0189.png
200,200,6.6333,6.61,visual,0.06,tap,impulsive,soft,part,left_hand,left_hand,1,tap,medium,left_foot|soccer ball,0.8,,,,,,,1.0,0.5,0,"The player kicks the soccer ball, causing it to move towards the right side of t",results/audio_semantics/vlm_windows/event_0200.png
205,205,6.784,6.7767,audio,0.864,strike,impulsive,hard,support,support,support,1,strike,medium,left_foot|soccer ball,0.8,,,,,,,1.0,1.0,0,"The player kicks the soccer ball, causing it to bounce and roll towards the play",results/audio_semantics/vlm_windows/event_0205.png
217,217,7.184,7.1417,audio,0.113,strike,impulsive,hard,support,support,support,1,strike,medium,left_foot|soccer ball,0.8,,,,,,,1.0,1.0,0,"The player kicks the soccer ball with their left foot, causing it to move toward",results/audio_semantics/vlm_windows/event_0217.png
