frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
1,653.510,838.933,653.510,838.933,0.000000,0.000000,0.000000
2,653.954,839.422,653.954,839.422,0.000000,0.000000,0.000000
3,653.955,839.539,653.955,839.539,0.000000,0.000000,0.000000
4,653.746,839.389,653.746,839.389,0.000000,0.000000,0.000000
5,653.732,839.443,653.732,839.443,0.000000,0.000000,0.000000
6,653.787,839.393,653.787,839.393,0.000000,0.000000,0.000000
7,653.824,839.419,653.824,839.419,0.000000,0.000000,0.000000
8,653.853,839.390,653.853,839.390,0.000000,0.000000,0.000000
9,653.844,839.363,653.844,839.363,0.000000,0.000000,0.000000
10,653.825,839.322,653.825,839.322,0.000000,0.000000,0.000000
11,653.760,839.377,653.760,839.377,0.000000,0.000000,0.000000
12,653.663,839.412,653.663,839.412,0.000000,0.000000,0.000000
13,653.722,839.454,653.722,839.454,0.000000,0.000000,0.000000
14,653.728,839.442,653.728,839.442,0.000000,0.000000,0.000000
15,653.770,839.452,653.770,839.452,0.000000,0.000000,0.000000
16,653.824,839.455,653.824,839.455,0.000000,0.000000,0.000000
17,653.904,839.497,653.904,839.497,0.000000,0.000000,0.000000
18,654.002,839.544,654.002,839.544,0.000000,0.000000,0.000000
19,653.970,839.612,653.970,839.612,0.000000,0.000000,0.000000
20,654.114,839.630,654.114,839.630,0.000000,0.000000,0.000000
21,654.090,839.506,654.090,839.506,0.000000,0.000000,0.000000
22,653.996,839.419,653.996,839.419,0.000000,0.000000,0.000000
23,654.012,839.519,654.012,839.519,0.000000,0.000000,0.000000
24,653.968,839.407,653.968,839.407,0.000000,0.000000,0.000000
25,653.952,839.429,653.952,839.429,0.000000,0.000000,0.000000
26,653.933,839.409,653.933,839.409,0.000000,0.000000,0.000000
27,653.857,839.384,653.857,839.384,0.000000,0.000000,0.000000
28,653.816,839.443,653.816,839.443,0.000000,0.000000,0.000000
29,653.949,839.360,653.949,839.360,0.000000,0.000000,0.000000
30,653.898,839.418,653.898,839.418,0.000000,0.000000,0.000000
31,653.920,839.466,653.920,839.466,0.000000,0.000000,0.000000
32,654.097,839.425,654.097,839.425,0.000000,0.000000,0.000000
33,653.089,839.240,653.089,839.240,0.000000,0.000000,0.000000
34,653.490,839.634,653.490,839.634,0.000000,0.000000,0.000000
35,653.550,839.735,653.550,839.735,0.000000,0.000000,0.000000
36,653.527,839.571,653.527,839.571,0.000000,0.000000,0.000000
37,653.535,839.466,653.535,839.466,0.000000,0.000000,0.000000
38,653.422,839.547,653.422,839.547,0.000000,0.000000,0.000000
39,653.553,839.445,653.553,839.445,0.000000,0.000000,0.000000
40,653.601,839.444,653.601,839.444,0.000000,0.000000,0.000000
41,653.599,839.405,653.599,839.405,0.000000,0.000000,0.000000
42,653.674,839.353,653.674,839.353,0.000000,0.000000,0.000000
43,653.826,839.249,653.826,839.249,0.000000,0.000000,0.000000
44,653.807,839.118,653.807,839.118,0.000000,0.000000,0.000000
45,653.760,839.197,653.760,839.197,0.000000,0.000000,0.000000
46,653.783,839.209,653.783,839.209,0.000000,0.000000,0.000000
47,653.819,839.281,653.819,839.281,0.000000,0.000000,0.000000
48,653.919,839.236,653.919,839.236,0.000000,0.000000,0.000000
49,653.792,839.312,653.792,839.312,0.000000,0.000000,0.000000
50,653.587,839.092,653.587,839.092,0.000000,0.000000,0.000000
51,653.481,838.618,653.481,838.618,0.000000,0.000000,0.000000
52,682.704,787.710,682.704,787.710,0.000000,0.000000,0.000000
53,682.303,787.945,682.303,787.945,0.000000,0.000000,0.000000
54,700.809,711.024,700.809,711.024,0.000000,0.000000,0.000000
55,711.371,631.171,711.371,631.171,0.000000,0.000000,0.000000
56,716.724,576.812,716.724,576.812,0.000000,0.000000,0.000000
57,724.903,523.836,724.903,523.836,0.000000,0.000000,0.000000
58,732.455,473.137,732.455,473.137,0.000000,0.000000,0.000000
59,733.883,471.808,733.883,471.808,0.000000,0.000000,0.000000
60,736.776,428.165,736.776,428.165,0.000000,0.000000,0.000000
61,739.852,391.241,739.852,391.241,0.000000,0.000000,0.000000
