frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
1,653.510,838.933,653.510,838.933,0.000149,0.000023,0.000150
2,653.954,839.422,653.954,839.422,-0.000158,-0.000027,0.000161
3,653.955,839.539,653.955,839.539,-0.000007,-0.000015,0.000017
4,653.746,839.389,653.746,839.389,0.000022,0.000032,0.000039
5,653.732,839.443,653.732,839.443,-0.000002,-0.000020,0.000020
6,653.787,839.393,653.787,839.393,-0.000004,0.000013,0.000013
7,653.824,839.419,653.824,839.419,0.000002,-0.000008,0.000008
8,653.853,839.390,653.853,839.390,-0.000002,0.000003,0.000004
9,653.844,839.363,653.844,839.363,0.000003,-0.000005,0.000006
10,653.825,839.322,653.825,839.322,-0.000002,0.000009,0.000009
11,653.760,839.377,653.760,839.377,-0.000007,-0.000006,0.000009
12,653.663,839.412,653.663,839.412,0.000016,0.000004,0.000016
13,653.722,839.454,653.722,839.454,-0.000012,-0.000005,0.000013
14,653.728,839.442,653.728,839.442,0.000004,0.000004,0.000006
15,653.770,839.452,653.770,839.452,-0.000002,-0.000003,0.000003
16,653.824,839.455,653.824,839.455,0.000001,0.000003,0.000003
17,653.904,839.497,653.904,839.497,0.000005,-0.000002,0.000006
18,654.002,839.544,654.002,839.544,-0.000018,0.000004,0.000018
19,653.970,839.612,653.970,839.612,0.000025,0.000001,0.000026
20,654.114,839.630,654.114,839.630,-0.000018,-0.000011,0.000020
21,654.090,839.506,654.090,839.506,-0.000003,0.000001,0.000004
22,653.996,839.419,653.996,839.419,0.000014,0.000022,0.000025
23,654.012,839.519,654.012,839.519,-0.000010,-0.000029,0.000031
24,653.968,839.407,653.968,839.407,0.000004,0.000020,0.000021
25,653.952,839.429,653.952,839.429,0.000001,-0.000008,0.000008
26,653.933,839.409,653.933,839.409,-0.000006,-0.000002,0.000006
27,653.857,839.384,653.857,839.384,-0.000002,0.000012,0.000012
28,653.816,839.443,653.816,839.443,0.000019,-0.000019,0.000027
29,653.949,839.360,653.949,839.360,-0.000024,0.000017,0.000029
30,653.898,839.418,653.898,839.418,0.000007,-0.000003,0.000007
31,653.920,839.466,653.920,839.466,0.000054,-0.000001,0.000054
32,654.097,839.425,654.097,839.425,-0.000149,-0.000029,0.000152
33,653.089,839.240,653.089,839.240,0.000164,0.000060,0.000175
34,653.490,839.634,653.490,839.634,-0.000076,-0.000034,0.000083
