frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
1,0.000000,654.000,837.500,654.104,837.725,654.104,837.725,center,center,661.500,868.592,868.000,31.092,30.867,bottom_percentile_95,619.738,842.576,human_nearest_mesh_topk,4.945262,5.036380,0.091118,1.000000,0.588119,0.246455,0.806713,0.806713,0.917743,0.377461,0.565000,5.000000,8.000000,left_foot,0.246455,563.128,848.111,6.709749,boundary_015,4.925767,4.966547,4.945262,4.945262,0.806713,0.591895,0.000000,0.065842
2,0.033333,654.170,837.902,654.089,837.852,654.089,837.852,center,center,664.000,868.811,869.000,30.909,30.959,bottom_percentile_95,618.738,842.933,human_nearest_mesh_topk,4.964087,5.164754,0.200667,1.000000,0.922647,0.235541,0.900131,0.900131,0.964974,0.178986,0.066000,5.000000,8.000000,left_foot,0.235541,560.307,848.053,6.703704,boundary_015,4.959425,4.976423,4.979489,4.964087,0.900131,0.189357,0.000000,0.098764
3,0.066667,654.102,837.968,654.026,837.907,654.026,837.907,center,center,664.000,868.932,869.000,30.964,31.025,bottom_percentile_95,618.738,842.920,human_nearest_mesh_topk,4.981856,5.139762,0.157906,1.000000,0.974278,0.225683,0.945212,0.945212,0.951956,0.233693,0.003500,5.000000,8.000000,left_foot,0.225683,558.562,847.561,6.695471,boundary_015,4.975782,4.984922,4.996395,4.981856,0.945212,0.068157,0.000000,0.131685
4,0.100000,653.801,837.846,653.877,837.859,653.877,837.859,center,center,662.000,868.924,869.000,31.078,31.065,bottom_percentile_95,618.353,843.746,human_nearest_mesh_topk,5.005217,5.183992,0.178775,1.000000,0.936927,0.234499,1.000000,1.000000,0.991086,0.069260,0.122000,5.000000,8.000000,left_foot,0.234499,559.205,847.014,6.688560,boundary_015,5.005215,4.987967,5.024331,5.005217,1.000000,0.075848,0.000000,0.098764
5,0.133333,653.770,837.825,653.776,837.815,653.776,837.815,center,center,660.500,868.851,868.850,31.026,31.035,bottom_percentile_95,618.352,843.730,human_nearest_mesh_topk,5.021923,5.173224,0.151302,1.000000,0.993643,0.235660,1.000000,1.000000,0.984484,0.097000,0.056000,5.000000,8.000000,left_foot,0.235660,559.341,846.243,6.679928,boundary_015,5.015926,4.999435,5.035591,5.021923,1.000000,0.000743,0.000000,0.065842
6,0.166667,653.819,837.781,653.821,837.791,653.821,837.791,center,center,657.500,868.824,868.000,31.043,31.033,bottom_percentile_95,618.351,843.713,human_nearest_mesh_topk,5.035726,5.216594,0.180867,1.000000,0.425307,0.245820,0.982488,0.982488,0.996145,0.048000,0.862000,5.000000,8.000000,left_foot,0.245820,560.976,845.393,6.670431,boundary_015,5.027416,5.012242,5.047020,5.035726,0.982488,0.823600,0.000000,0.000000
7,0.200000,653.867,837.769,653.868,837.764,653.868,837.764,center,center,663.500,868.839,868.850,31.070,31.075,bottom_percentile_95,618.483,843.718,human_nearest_mesh_topk,5.030531,5.211229,0.180699,1.000000,1.000000,0.260683,1.000000,1.000000,1.000000,0.000000,0.042000,5.000000,8.000000,left_foot,0.260683,564.223,845.290,6.663061,boundary_016,5.006238,5.019576,5.026280,5.030531,1.000000,0.010629,0.000000,0.000000
8,0.233333,653.930,837.727,653.932,837.721,653.932,837.721,center,center,662.500,868.854,868.850,31.127,31.133,bottom_percentile_95,618.357,842.798,human_nearest_mesh_topk,5.027949,5.211247,0.183299,1.000000,0.999835,0.279520,0.998539,0.998539,1.000000,0.000000,0.000000,5.000000,8.000000,left_foot,0.279520,566.208,845.452,6.660546,boundary_015,5.006045,5.022021,5.025836,5.027949,0.998539,0.003867,0.000000,0.000000
9,0.266667,653.986,837.652,653.978,837.657,653.978,837.657,center,center,664.500,868.847,868.850,31.195,31.190,bottom_percentile_95,618.351,844.116,human_nearest_mesh_topk,5.052223,5.164754,0.112531,1.000000,1.000000,0.307581,0.957428,0.957428,0.992906,0.061612,0.000000,5.000000,8.000000,left_foot,0.307581,569.925,845.850,6.660575,boundary_018,5.049069,5.020452,5.072084,5.052223,0.957428,0.002505,0.000000,0.000000
10,0.300000,654.038,837.609,653.988,837.607,653.988,837.607,center,center,662.500,868.839,868.850,31.230,31.232,bottom_percentile_95,617.969,842.875,human_nearest_mesh_topk,5.056652,5.141047,0.084395,1.000000,0.999675,0.336419,0.996529,0.996529,0.978959,0.120221,0.043000,5.000000,8.000000,left_foot,0.336419,573.428,846.382,6.658776,boundary_017,5.027119,5.024789,5.060277,5.056652,0.996529,0.010857,0.000000,0.000000
