frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
1,654.000,837.500,654.000,837.500,0.000000,0.000000,0.000000
2,654.170,837.902,654.170,837.902,0.000000,0.000000,0.000000
3,654.102,837.968,654.102,837.968,0.000000,0.000000,0.000000
4,653.801,837.846,653.801,837.846,0.000000,0.000000,0.000000
5,653.770,837.825,653.770,837.825,0.000000,0.000000,0.000000
6,653.819,837.781,653.819,837.781,0.000000,0.000000,0.000000
7,653.867,837.769,653.867,837.769,0.000000,0.000000,0.000000
8,653.930,837.727,653.930,837.727,0.000000,0.000000,0.000000
9,653.986,837.652,653.986,837.652,0.000000,0.000000,0.000000
10,654.038,837.609,654.038,837.609,0.000000,0.000000,0.000000
11,653.972,837.612,653.972,837.612,0.000000,0.000000,0.000000
12,653.976,837.712,653.976,837.712,0.000000,0.000000,0.000000
13,654.015,837.824,654.015,837.824,0.000000,0.000000,0.000000
14,654.028,837.859,654.028,837.859,0.000000,0.000000,0.000000
15,654.155,837.911,654.155,837.911,0.000000,0.000000,0.000000
16,654.179,837.852,654.179,837.852,0.000000,0.000000,0.000000
17,654.285,837.889,654.285,837.889,0.000000,0.000000,0.000000
18,654.347,837.902,654.347,837.902,0.000000,0.000000,0.000000
19,654.294,837.907,654.294,837.907,0.000000,0.000000,0.000000
20,654.443,837.902,654.443,837.902,0.000000,0.000000,0.000000
21,654.378,837.780,654.378,837.780,0.000000,0.000000,0.000000
22,654.271,837.687,654.271,837.687,0.000000,0.000000,0.000000
23,654.257,837.717,654.257,837.717,0.000000,0.000000,0.000000
24,654.224,837.632,654.224,837.632,0.000000,0.000000,0.000000
25,654.207,837.668,654.207,837.668,0.000000,0.000000,0.000000
26,654.131,837.686,654.131,837.686,0.000000,0.000000,0.000000
27,654.010,837.632,654.010,837.632,0.000000,0.000000,0.000000
28,653.935,837.671,653.935,837.671,0.000000,0.000000,0.000000
29,654.001,837.606,654.001,837.606,0.000000,0.000000,0.000000
30,653.894,837.668,653.894,837.668,0.000000,0.000000,0.000000
31,653.917,837.720,653.917,837.720,0.000000,0.000000,0.000000
32,653.993,837.738,653.993,837.738,0.000000,0.000000,0.000000
33,653.000,838.000,653.000,838.000,0.000000,0.000000,0.000000
34,652.708,838.625,652.708,838.625,0.000000,0.000000,0.000000
35,652.864,838.748,652.864,838.748,0.000000,0.000000,0.000000
36,652.936,838.445,652.936,838.445,0.000000,0.000000,0.000000
37,653.085,838.284,653.085,838.284,0.000000,0.000000,0.000000
38,653.152,838.345,653.152,838.345,0.000000,0.000000,0.000000
39,653.814,838.171,653.814,838.171,0.000000,0.000000,0.000000
40,653.481,838.188,653.481,838.188,0.000000,0.000000,0.000000
41,653.469,838.188,653.469,838.188,0.000000,0.000000,0.000000
42,653.546,838.162,653.546,838.162,0.000000,0.000000,0.000000
43,653.704,838.100,653.704,838.100,0.000000,0.000000,0.000000
44,653.766,838.099,653.766,838.099,0.000000,0.000000,0.000000
45,653.733,838.241,653.733,838.241,0.000000,0.000000,0.000000
46,653.850,838.156,653.850,838.156,0.000000,0.000000,0.000000
47,653.747,838.145,653.747,838.145,0.000000,0.000000,0.000000
48,653.966,838.133,653.966,838.133,0.000000,0.000000,0.000000
49,653.962,838.107,653.962,838.107,0.000000,0.000000,0.000000
