frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
1,654.000,837.500,654.000,837.500,0.000005,0.000000,0.000005
2,654.170,837.902,654.170,837.902,-0.000005,-0.000000,0.000005
3,654.102,837.968,654.102,837.968,-0.000009,-0.000000,0.000009
4,653.801,837.846,653.801,837.846,0.000012,0.000000,0.000012
5,653.770,837.825,653.770,837.825,-0.000002,-0.000000,0.000002
6,653.819,837.781,653.819,837.781,-0.000001,0.000000,0.000001
7,653.867,837.769,653.867,837.769,0.000001,-0.000000,0.000001
8,653.930,837.727,653.930,837.727,-0.000001,-0.000000,0.000001
9,653.986,837.652,653.986,837.652,0.000002,0.000000,0.000002
10,654.038,837.609,654.038,837.609,-0.000005,-0.000000,0.000005
11,653.972,837.612,653.972,837.612,0.000004,0.000000,0.000004
12,653.976,837.712,653.976,837.712,-0.000000,0.000000,0.000000
13,654.015,837.824,654.015,837.824,-0.000003,-0.000000,0.000003
14,654.028,837.859,654.028,837.859,0.000006,0.000000,0.000006
15,654.155,837.911,654.155,837.911,-0.000007,-0.000000,0.000007
16,654.179,837.852,654.179,837.852,0.000005,0.000000,0.000005
17,654.285,837.889,654.285,837.889,-0.000001,-0.000000,0.000001
18,654.347,837.902,654.347,837.902,-0.000007,0.000000,0.000007
19,654.294,837.907,654.294,837.907,0.000013,0.000000,0.000013
20,654.443,837.902,654.443,837.902,-0.000010,-0.000000,0.000010
21,654.378,837.780,654.378,837.780,0.000001,0.000000,0.000001
22,654.271,837.687,654.271,837.687,0.000004,0.000000,0.000004
23,654.257,837.717,654.257,837.717,-0.000003,-0.000000,0.000003
24,654.224,837.632,654.224,837.632,0.000002,0.000000,0.000002
25,654.207,837.668,654.207,837.668,-0.000001,-0.000000,0.000001
26,654.131,837.686,654.131,837.686,-0.000001,-0.000000,0.000001
27,654.010,837.632,654.010,837.632,-0.000000,0.000000,0.000000
28,653.935,837.671,653.935,837.671,0.000007,-0.000000,0.000007
29,654.001,837.606,654.001,837.606,-0.000011,0.000000,0.000011
30,653.894,837.668,653.894,837.668,0.000007,-0.000000,0.000007
31,653.917,837.720,653.917,837.720,0.000018,-0.000000,0.000018
32,653.993,837.738,653.993,837.738,-0.000051,0.000000,0.000051
33,653.000,838.000,653.000,838.000,0.000035,0.000000,0.000035
34,652.708,838.625,652.708,838.625,0.000006,-0.000000,0.000006
35,652.864,838.748,652.864,838.748,-0.000014,-0.000000,0.000014
36,652.936,838.445,652.936,838.445,0.000006,0.000000,0.000006
37,653.085,838.284,653.085,838.284,-0.000015,0.000000,0.000015
38,653.152,838.345,653.152,838.345,0.000044,-0.000000,0.000044
39,653.814,838.171,653.814,838.171,-0.000060,0.000000,0.000060
40,653.481,838.188,653.481,838.188,0.000029,-0.000000,0.000029
41,653.469,838.188,653.469,838.188,-0.000009,0.000000,0.000009
42,653.546,838.162,653.546,838.162,0.000004,-0.000000,0.000004
43,653.704,838.100,653.704,838.100,0.000009,-0.000000,0.000009
44,653.766,838.099,653.766,838.099,-0.000022,0.000000,0.000022
45,653.733,838.241,653.733,838.241,0.000016,-0.000000,0.000016
46,653.850,838.156,653.850,838.156,-0.000011,-0.000000,0.000011
47,653.747,838.145,653.747,838.145,0.000011,0.000000,0.000011
48,653.966,838.133,653.966,838.133,-0.000005,-0.000016,0.000017
49,653.962,838.107,653.962,838.107,0.000020,-0.000004,0.000021
50,654.115,838.037,654.114,838.038,-0.000843,0.001365,0.001605
51,653.866,838.142,653.868,838.138,0.002454,-0.004122,0.004797
52,682.704,787.710,682.701,787.716,-0.003002,0.006372,0.007044
53,682.303,787.945,682.305,787.939,0.002059,-0.005558,0.005927
54,700.809,711.024,700.808,711.025,-0.000730,0.001127,0.001343
55,711.371,631.171,711.371,631.172,-0.000128,0.001306,0.001312
56,716.724,576.812,716.724,576.811,0.000275,-0.000620,0.000678
57,724.903,523.836,724.903,523.835,0.000059,-0.001163,0.001165
58,732.455,473.137,732.455,473.140,-0.000331,0.003493,0.003509
59,733.883,471.808,733.883,471.804,0.000225,-0.003549,0.003556
60,736.776,428.165,736.776,428.166,0.000068,0.001329,0.001331
61,739.852,391.241,739.852,391.241,-0.000305,-0.000254,0.000397
62,739.156,357.469,739.156,357.469,0.000259,-0.000326,0.000416
63,740.762,331.639,740.762,331.641,-0.000137,0.001677,0.001682
64,740.644,331.136,740.644,331.135,-0.000142,-0.000788,0.000801
65,739.000,322.000,739.000,321.999,0.000476,-0.001135,0.001231
66,741.410,300.780,741.410,300.781,-0.000129,0.000544,0.000559
67,742.876,289.768,742.876,289.768,-0.000042,0.000480,0.000482
68,743.253,290.267,743.253,290.266,0.000026,-0.000619,0.000619
69,743.808,287.364,743.808,287.365,0.000176,0.001037,0.001052
70,744.791,289.624,744.791,289.624,-0.000188,-0.000284,0.000341
71,744.361,293.179,744.361,293.179,0.000208,0.000131,0.000246
72,746.498,302.977,746.498,302.978,-0.000062,0.000607,0.000610
73,748.150,319.512,748.150,319.511,-0.000071,-0.001436,0.001437
74,748.607,320.629,748.607,320.630,0.000085,0.001110,0.001113
75,749.805,337.679,749.805,337.679,-0.000027,-0.000297,0.000298
76,750.508,360.670,750.508,360.670,-0.000095,0.000205,0.000226
77,750.450,390.604,750.450,390.605,0.000219,0.000627,0.000664
78,752.857,421.011,752.857,421.005,-0.000364,-0.005611,0.005623
79,753.021,422.541,753.021,422.547,0.000115,0.006355,0.006356
80,752.208,458.373,752.208,458.371,-0.000195,-0.001765,0.001775
81,749.915,496.014,749.915,496.016,0.000166,0.001647,0.001656
82,749.826,541.187,749.826,541.183,-0.000052,-0.004212,0.004212
83,749.961,543.330,749.961,543.334,-0.000001,0.003605,0.003605
84,750.221,592.473,750.221,592.472,0.000020,-0.001178,0.001178
85,750.415,646.871,750.415,646.872,-0.000069,0.001044,0.001047
86,749.690,705.028,749.691,705.024,0.001389,-0.004040,0.004273
87,749.134,732.573,749.133,732.510,-0.000996,-0.063093,0.063101
88,749.427,700.441,749.427,700.448,0.000163,0.006882,0.006884
89,749.669,698.530,749.669,698.528,-0.000147,-0.002100,0.002105
90,747.153,676.864,747.153,676.864,-0.000057,0.000194,0.000203
91,743.886,652.106,743.886,652.106,0.000248,0.000231,0.000339
92,743.780,633.705,743.780,633.705,-0.000243,-0.000027,0.000245
93,742.111,622.901,742.111,622.901,0.000161,0.000424,0.000454
94,741.809,622.113,741.809,622.112,-0.000116,-0.000688,0.000698
95,741.106,619.174,741.108,619.176,0.001660,0.001865,0.002497
