frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
1,0.000000,-0.696986,0.677625,5.017634,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.000,837.500,,654.000,837.500,,868.592,868.592,654.000,837.500,654.000,837.500,868.592,868.592,0.000005,0.869467,0.024087,0.976220,4.945262,0.072372,0.091118,0,1
2,0.033333,-0.696754,0.678692,5.018750,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.170,837.902,,654.170,837.902,,868.811,868.811,654.170,837.902,654.170,837.902,868.811,868.811,0.000005,0.874779,0.032781,1.000000,4.964087,0.054663,0.200667,0,1
3,0.066667,-0.697192,0.679118,5.020791,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.102,837.968,,654.102,837.968,,868.932,868.932,654.102,837.968,654.102,837.968,868.932,868.932,0.000009,0.881049,0.041818,1.000000,4.981856,0.038935,0.157906,0,1
4,0.100000,-0.698268,0.679219,5.023592,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.801,837.846,,653.801,837.846,,868.924,868.924,653.801,837.846,653.801,837.846,868.924,868.924,0.000012,0.892267,0.032683,1.000000,5.005217,0.018375,0.178775,0,1
5,0.133333,-0.698785,0.679606,5.026806,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.770,837.825,,653.770,837.825,,868.851,868.851,653.770,837.825,653.770,837.825,868.851,868.851,0.000002,0.897637,0.022916,0.996433,5.021923,0.004883,0.151302,0,1
6,0.166667,-0.699136,0.679955,5.030135,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.819,837.781,,653.819,837.781,,868.824,868.824,653.819,837.781,653.819,837.781,868.824,868.824,0.000001,0.924804,0.004257,0.976220,5.035726,-0.005591,0.180867,0,1
7,0.200000,-0.699475,0.680365,5.033365,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.867,837.769,,653.867,837.769,,868.839,868.839,653.867,837.769,653.867,837.769,868.839,868.839,0.000001,0.927848,0.006340,0.996433,5.030531,0.002834,0.180699,0,1
8,0.233333,-0.699788,0.680713,5.036655,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.930,837.727,,653.930,837.727,,868.854,868.854,653.930,837.727,653.930,837.727,868.854,868.854,0.000001,0.929270,0.009955,0.996433,5.027949,0.008706,0.183299,0,1
9,0.266667,-0.700140,0.681009,5.040110,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,653.986,837.652,,653.986,837.652,,868.847,868.847,653.986,837.652,653.986,837.652,868.847,868.847,0.000002,0.928050,0.017772,0.996433,5.052223,-0.012113,0.112531,0,1
10,0.300000,-0.700469,0.681346,5.043335,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,654.038,837.609,,654.038,837.609,,868.839,868.839,654.038,837.609,654.038,837.609,868.839,868.839,0.000005,0.933434,0.029358,0.996433,5.056652,-0.013317,0.084395,0,1
