frame,time,refined_time,source,evidence,event_type,interaction_mode,contact_quality,impact,relevant,target_entity,contact_target,contact_constraint,object_local_x,object_local_y,object_local_z,semantic_contact_part,vlm_hand_part,vlm_handle_contact,vlm_rim_contact,vlm_constraint,vlm_object_conf,contact_state,interval_id,stable_entity,manip_gamma,manip_weight,promote_anchor,allow_slide,audio_support,confidence
3,0.08,0.21,audio,audio,tap,impulsive,soft,medium,0,left_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.025,0.8
7,0.24,0.2134,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.028,0.8
13,0.48,0.4784,audio,audio,tap,impulsive,soft,medium,0,right_foot,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.032,0.8
19,0.736,0.6884,audio,audio,tap,impulsive,soft,medium,0,left_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.033,0.8
29,1.168,1.3151,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.032,0.8
34,1.36,1.5284,audio,audio,tap,impulsive,soft,medium,0,left_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.035,0.8
42,1.728,1.7217,audio,audio,tap,impulsive,soft,medium,0,left_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.055,0.8
47,1.912,1.8951,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,0,right_hand,1.0,0.5,0,0,0.101,0.8
51,2.08,2.2267,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.046,0.8
56,2.288,2.4351,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,1,right_hand,1.0,0.5,0,0,0.113,0.8
60,2.456,2.4317,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,0.5,0,0,0.111,0.8
65,2.672,2.6651,audio,audio,strike,impulsive,hard,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,1,right_hand,1.0,1.0,1,0,1.0,0.8
79,3.264,3.0934,audio,audio,tap,impulsive,soft,medium,0,left_foot,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.055,0.8
94,3.888,3.8534,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.042,0.8
107,4.416,4.4001,audio,audio,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,2,left_hand,1.0,0.5,0,0,0.195,0.8
119,4.896,4.8701,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.042,0.8
124,5.12,5.1134,audio,audio,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,3,left_hand,1.0,0.5,0,0,0.146,0.8
130,5.376,5.2984,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.03,0.8
137,5.68,5.6701,audio,audio,strike,impulsive,hard,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,4,left_hand,1.0,1.0,1,0,1.0,0.8
157,6.512,6.6434,audio,audio,tap,impulsive,soft,medium,0,right_foot,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.042,0.8
167,6.896,6.9201,audio,audio,tap,impulsive,soft,medium,0,right_foot,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.087,0.8
170,7.056,6.9201,audio,audio,tap,impulsive,soft,medium,0,right_foot,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.087,0.8
176,7.288,7.4351,audio,audio,tap,impulsive,soft,medium,0,right_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.075,0.8
180,7.472,7.4367,audio,audio,tap,impulsive,soft,medium,0,left_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,0.5,0,0,0.076,0.8
191,7.936,7.9851,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,5,right_hand,1.0,0.5,0,0,0.24,0.8
