frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
1,0.041667,1,0.201794,-0.217392,4.086262,0.183282,-0.244765,4.033808,0.177383,-0.323205,4.028951,0.200906,-0.312390,4.005081,0.212926,-0.306183,4.009248,0.225387,-0.288808,4.012739,0.227462,-0.273724,3.998335,1,-0.251048,0.032445,4.106606,-0.213456,0.084372,4.082463,-0.162333,0.106699,4.107325,-0.174436,0.091634,4.123497,-0.188798,0.097672,4.122066,-0.203666,0.103405,4.125565,-0.214207,0.119727,4.118025
2,0.083333,1,0.210095,-0.217358,4.090673,0.189137,-0.244326,4.036440,0.184520,-0.321888,4.030918,0.206025,-0.311976,4.008605,0.218553,-0.305054,4.014037,0.231105,-0.288190,4.017985,0.233850,-0.273784,4.003502,1,-0.248978,0.031073,4.107770,-0.209704,0.081449,4.081132,-0.159117,0.104007,4.105910,-0.171636,0.087847,4.122463,-0.186096,0.094331,4.120525,-0.201216,0.099875,4.123838,-0.211194,0.116632,4.116284
3,0.125000,1,0.221944,-0.215469,4.094927,0.200086,-0.243147,4.041438,0.197915,-0.319105,4.034446,0.215353,-0.310780,4.015014,0.229033,-0.302887,4.021925,0.241884,-0.286808,4.026128,0.245507,-0.273260,4.011721,1,-0.244003,0.026386,4.105762,-0.201702,0.075465,4.078512,-0.151706,0.098214,4.103611,-0.165327,0.080418,4.120333,-0.179908,0.087679,4.117803,-0.195522,0.092949,4.120625,-0.204613,0.110453,4.112989
4,0.166667,1,0.239281,-0.213655,4.099726,0.215048,-0.240118,4.048684,0.215024,-0.313749,4.038623,0.227350,-0.307046,4.022817,0.242929,-0.298558,4.030108,0.256336,-0.283519,4.033408,0.260394,-0.270202,4.019744,1,-0.234984,0.018887,4.100531,-0.188748,0.066549,4.074926,-0.138585,0.088871,4.101273,-0.154311,0.069955,4.117389,-0.169071,0.077951,4.114530,-0.185224,0.083039,4.116675,-0.193528,0.101311,4.108819
5,0.208333,1,0.263602,-0.211649,4.107110,0.233790,-0.233871,4.058434,0.232949,-0.303510,4.042838,0.240408,-0.297436,4.030571,0.258785,-0.289342,4.037117,0.272853,-0.275853,4.038555,0.276894,-0.262010,4.026703,1,-0.220809,0.008824,4.095578,-0.170334,0.055118,4.070520,-0.118545,0.075731,4.099016,-0.137343,0.057122,4.113834,-0.152515,0.065327,4.110975,-0.168942,0.070411,4.112693,-0.177039,0.088989,4.104508
6,0.250000,1,0.294186,-0.210521,4.115128,0.257570,-0.224397,4.071324,0.250966,-0.285829,4.048447,0.253518,-0.279099,4.038566,0.275528,-0.273032,4.044901,0.289981,-0.261908,4.045288,0.294426,-0.248034,4.036334,1,-0.198432,-0.002535,4.090121,-0.146334,0.041304,4.064649,-0.091504,0.059049,4.095387,-0.113905,0.042217,4.109016,-0.129853,0.049772,4.106234,-0.146191,0.054835,4.108010,-0.154839,0.072910,4.099436
7,0.291667,1,0.331777,-0.207065,4.124787,0.287977,-0.213602,4.088297,0.270832,-0.260491,4.059440,0.268225,-0.253234,4.049775,0.293041,-0.250999,4.057673,0.306924,-0.243292,4.058967,0.312820,-0.231557,4.053820,1,-0.169756,-0.016431,4.082355,-0.116941,0.024549,4.056516,-0.058725,0.039784,4.088472,-0.084890,0.025489,4.101932,-0.101900,0.031461,4.098731,-0.117955,0.036094,4.100601,-0.127461,0.052955,4.091417
8,0.333333,1,0.373808,-0.202845,4.139827,0.324607,-0.202812,4.110449,0.294645,-0.232056,4.079946,0.289999,-0.226378,4.068958,0.314141,-0.228053,4.079440,0.326277,-0.224343,4.082345,0.334227,-0.216567,4.080957,1,-0.135943,-0.030118,4.072885,-0.082549,0.003931,4.046522,-0.022285,0.018977,4.078061,-0.052305,0.007286,4.092709,-0.070237,0.010996,4.088060,-0.085991,0.014546,4.089257,-0.095930,0.029700,4.078865
9,0.375000,1,0.419767,-0.196194,4.169297,0.363937,-0.190151,4.138277,0.322288,-0.207566,4.110343,0.323107,-0.205815,4.099111,0.343859,-0.208642,4.111601,0.354517,-0.207778,4.114433,0.364217,-0.202595,4.114551,1,-0.097015,-0.048805,4.068334,-0.044026,-0.020954,4.036086,0.015663,-0.003125,4.065503,-0.017885,-0.012400,4.082359,-0.035965,-0.011087,4.075424,-0.051380,-0.009153,4.074889,-0.061120,0.003725,4.062486
10,0.416667,1,0.462412,-0.191507,4.201505,0.401476,-0.173318,4.169888,0.351624,-0.189574,4.145910,0.363860,-0.192294,4.137293,0.382288,-0.193590,4.149788,0.393281,-0.193305,4.150302,0.403871,-0.187246,4.148576,1,-0.055109,-0.070589,4.065263,-0.003349,-0.049583,4.025861,0.053037,-0.027464,4.051120,0.017322,-0.034418,4.070402,0.000239,-0.035001,4.061460,-0.014423,-0.034900,4.058598,-0.023648,-0.025008,4.043899
11,0.458333,1,0.499556,-0.180781,4.225944,0.434318,-0.153592,4.201371,0.380823,-0.173873,4.179884,0.402932,-0.179806,4.175723,0.421065,-0.180168,4.185747,0.433320,-0.179526,4.183781,0.443737,-0.171138,4.178850,1,-0.016580,-0.091522,4.053741,0.036050,-0.080927,4.015152,0.086967,-0.056203,4.033287,0.050666,-0.059767,4.054156,0.035667,-0.061366,4.044623,0.023317,-0.063448,4.039119,0.015481,-0.057068,4.023321
12,0.500000,1,0.528435,-0.165334,4.255640,0.460289,-0.134252,4.230850,0.409002,-0.156033,4.208443,0.433155,-0.162952,4.208882,0.451088,-0.164797,4.215917,0.463427,-0.164716,4.213421,0.472277,-0.155347,4.206703,1,0.026756,-0.116100,4.041932,0.070884,-0.113271,4.003999,0.114198,-0.090902,4.011590,0.077504,-0.087745,4.032398,0.065473,-0.089439,4.023714,0.058822,-0.094979,4.014715,0.055321,-0.092253,4.000762
13,0.541667,1,0.544306,-0.145111,4.276568,0.476824,-0.117617,4.260370,0.435634,-0.135753,4.231968,0.453574,-0.140766,4.238001,0.469421,-0.145091,4.244374,0.479394,-0.146490,4.243771,0.484603,-0.137835,4.237966,1,0.068729,-0.145600,4.023249,0.103151,-0.144029,3.995463,0.138003,-0.128738,3.991654,0.100781,-0.116274,4.010817,0.092410,-0.117309,4.003494,0.094116,-0.127388,3.990530,0.098171,-0.127862,3.981031
14,0.583333,1,0.548784,-0.126841,4.318247,0.482029,-0.103864,4.293052,0.457403,-0.114674,4.254652,0.465839,-0.115333,4.268325,0.476744,-0.120898,4.276583,0.481947,-0.123324,4.279561,0.481451,-0.116139,4.276974,1,0.112942,-0.172018,4.024929,0.141590,-0.171435,3.993335,0.172393,-0.163104,3.982954,0.137529,-0.145172,4.000035,0.133095,-0.145444,3.994010,0.139750,-0.157727,3.979622,0.149905,-0.159730,3.973606
15,0.625000,1,0.545344,-0.108081,4.363385,0.475708,-0.089816,4.329760,0.464478,-0.093996,4.285262,0.467254,-0.090889,4.304905,0.472339,-0.095557,4.314322,0.472518,-0.097794,4.320303,0.466712,-0.092290,4.320740,1,0.158182,-0.197474,4.030334,0.190646,-0.195633,3.996792,0.225658,-0.190246,3.988364,0.198492,-0.175469,4.004158,0.197313,-0.175641,3.999141,0.201083,-0.184669,3.987806,0.211559,-0.185618,3.981278
