frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,0.590903982,-0.057879223,4.351592700,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
2,0.041667,0.600491826,-0.064183656,4.351737771,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
3,0.083333,0.607958088,-0.073705968,4.351901085,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
4,0.125,0.617578323,-0.087184377,4.352050786,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
5,0.166667,0.631549177,-0.111281699,4.352162203,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
6,0.208333,0.647369792,-0.137678434,4.352273692,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
7,0.25,0.666269422,-0.169078984,4.352359948,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
8,0.291667,0.684982029,-0.199872308,4.352456192,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
9,0.333333,0.705054856,-0.225341000,4.352538867,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
10,0.375,0.723917399,-0.253687226,4.352559656,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
11,0.416667,0.739644247,-0.280613020,4.352507969,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
12,0.458333,0.739688319,-0.301526518,4.352475588,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
13,0.5,0.732075078,-0.316361779,4.352298387,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
14,0.541667,0.713210202,-0.321703258,4.351944474,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
15,0.583333,0.683336189,-0.316638100,4.351316644,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
16,0.625,0.646885191,-0.289328974,4.350344998,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-a90ed472a8af
