frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,0.469660204,-0.046003841,3.458719050,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
2,0.041667,0.477126313,-0.050997293,3.457708770,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
3,0.083333,0.482898819,-0.058545243,3.456700163,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
4,0.125,0.490375305,-0.069224877,3.455659332,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
5,0.166667,0.501300891,-0.088332895,3.454586363,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
6,0.208333,0.513695781,-0.109248410,3.453585084,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
7,0.25,0.528560501,-0.134132637,3.452782624,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
8,0.291667,0.543339265,-0.158544048,3.452444081,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
9,0.333333,0.559324661,-0.178762682,3.452897368,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
10,0.375,0.574562887,-0.201348251,3.454570773,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
11,0.416667,0.587643730,-0.222945535,3.458034060,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
12,0.458333,0.588696069,-0.239976048,3.464013429,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
13,0.5,0.584180734,-0.252450342,3.473041451,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
14,0.541667,0.571239366,-0.257663701,3.485648821,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-00e5f0d1e382
