frame,time,contact_id,human_part,human_side,object_part,contact_observed,contact_persistent,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_confidence,anchor_action,source
1,0.000000,right_hand_ball_boundary,hand,right,ball_boundary,1,0,1,1,,,,,,,,,0.476298,update,hand_floor_from_anchor_floor_candidates
2,0.041667,right_hand_ball_boundary,hand,right,ball_boundary,1,1,1,1,,,,,,,,,0.340010,update,hand_floor_from_anchor_floor_candidates
3,0.083333,right_hand_ball_boundary,hand,right,ball_boundary,1,1,1,1,,,,,,,,,0.340150,update,hand_floor_from_anchor_floor_candidates
4,0.125000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.340659,inactive,hand_floor_from_anchor_floor_candidates
5,0.166667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.346975,inactive,hand_floor_from_anchor_floor_candidates
6,0.208333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.350289,inactive,hand_floor_from_anchor_floor_candidates
7,0.250000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.342471,inactive,hand_floor_from_anchor_floor_candidates
8,0.291667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.348351,inactive,hand_floor_from_anchor_floor_candidates
9,0.333333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.355064,inactive,hand_floor_from_anchor_floor_candidates
10,0.375000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.375799,inactive,hand_floor_from_anchor_floor_candidates
11,0.416667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.405070,inactive,hand_floor_from_anchor_floor_candidates
12,0.458333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.429469,inactive,hand_floor_from_anchor_floor_candidates
13,0.500000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.438236,inactive,hand_floor_from_anchor_floor_candidates
14,0.541667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.412724,inactive,hand_floor_from_anchor_floor_candidates
15,0.583333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.384373,inactive,hand_floor_from_anchor_floor_candidates
16,0.625000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.352255,inactive,hand_floor_from_anchor_floor_candidates
17,0.666667,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.327167,inactive,hand_floor_from_anchor_floor_candidates
18,0.708333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.522171,inactive,hand_floor_from_anchor_floor_candidates
19,0.750000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.632957,inactive,hand_floor_from_anchor_floor_candidates
20,0.791667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.693015,inactive,hand_floor_from_anchor_floor_candidates
21,0.833333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.215664,inactive,hand_floor_from_anchor_floor_candidates
22,0.875000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.080517,inactive,hand_floor_from_anchor_floor_candidates
23,0.916667,floor_floor_support,floor,,floor_support,1,0,1,1,,,,,,,,,0.257197,update,hand_floor_from_anchor_floor_candidates
24,0.958333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.253458,inactive,hand_floor_from_anchor_floor_candidates
25,1.000000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.325540,inactive,hand_floor_from_anchor_floor_candidates
26,1.041667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.625934,inactive,hand_floor_from_anchor_floor_candidates
27,1.083333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.997027,inactive,hand_floor_from_anchor_floor_candidates
28,1.125000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
29,1.166667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.929721,inactive,hand_floor_from_anchor_floor_candidates
30,1.208333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.755392,inactive,hand_floor_from_anchor_floor_candidates
31,1.250000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.635060,inactive,hand_floor_from_anchor_floor_candidates
32,1.291667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.544063,inactive,hand_floor_from_anchor_floor_candidates
33,1.333333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.404075,inactive,hand_floor_from_anchor_floor_candidates
34,1.375000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.410527,inactive,hand_floor_from_anchor_floor_candidates
35,1.416667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.453270,inactive,hand_floor_from_anchor_floor_candidates
36,1.458333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
37,1.500000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
38,1.541667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.179600,inactive,hand_floor_from_anchor_floor_candidates
39,1.583333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.630914,inactive,hand_floor_from_anchor_floor_candidates
40,1.625000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.549636,inactive,hand_floor_from_anchor_floor_candidates
41,1.666667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.159129,inactive,hand_floor_from_anchor_floor_candidates
42,1.708333,floor_floor_support,floor,,floor_support,1,1,1,1,,,,,,,,,0.057383,update,hand_floor_from_anchor_floor_candidates
43,1.750000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.109654,inactive,hand_floor_from_anchor_floor_candidates
44,1.791667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.215611,inactive,hand_floor_from_anchor_floor_candidates
45,1.833333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.332562,inactive,hand_floor_from_anchor_floor_candidates
46,1.875000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.655276,inactive,hand_floor_from_anchor_floor_candidates
47,1.916667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.672928,inactive,hand_floor_from_anchor_floor_candidates
48,1.958333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.752951,inactive,hand_floor_from_anchor_floor_candidates
49,2.000000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.738317,inactive,hand_floor_from_anchor_floor_candidates
50,2.041667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.759865,inactive,hand_floor_from_anchor_floor_candidates
51,2.083333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.784318,inactive,hand_floor_from_anchor_floor_candidates
52,2.125000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.853890,inactive,hand_floor_from_anchor_floor_candidates
53,2.166667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.909112,inactive,hand_floor_from_anchor_floor_candidates
54,2.208333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.916463,inactive,hand_floor_from_anchor_floor_candidates
55,2.250000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.829155,inactive,hand_floor_from_anchor_floor_candidates
56,2.291667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.356464,inactive,hand_floor_from_anchor_floor_candidates
57,2.333333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.128730,inactive,hand_floor_from_anchor_floor_candidates
58,2.375000,floor_floor_support,floor,,floor_support,1,1,1,1,,,,,,,,,0.101195,update,hand_floor_from_anchor_floor_candidates
59,2.416667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.205047,inactive,hand_floor_from_anchor_floor_candidates
60,2.458333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.197423,inactive,hand_floor_from_anchor_floor_candidates
61,2.500000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.339052,inactive,hand_floor_from_anchor_floor_candidates
62,2.541667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.841257,inactive,hand_floor_from_anchor_floor_candidates
63,2.583333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
64,2.625000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
65,2.666667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.469520,inactive,hand_floor_from_anchor_floor_candidates
66,2.708333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.437103,inactive,hand_floor_from_anchor_floor_candidates
67,2.750000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.418508,inactive,hand_floor_from_anchor_floor_candidates
68,2.791667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.401228,inactive,hand_floor_from_anchor_floor_candidates
69,2.833333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.394905,inactive,hand_floor_from_anchor_floor_candidates
70,2.875000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.221027,inactive,hand_floor_from_anchor_floor_candidates
71,2.916667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.258825,inactive,hand_floor_from_anchor_floor_candidates
72,2.958333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.316397,inactive,hand_floor_from_anchor_floor_candidates
73,3.000000,left_hand_ball_boundary,hand,left,ball_boundary,1,0,1,1,,,,,,,,,0.395567,update,hand_floor_from_anchor_floor_candidates
74,3.041667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.882014,inactive,hand_floor_from_anchor_floor_candidates
75,3.083333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.567653,inactive,hand_floor_from_anchor_floor_candidates
76,3.125000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.398446,inactive,hand_floor_from_anchor_floor_candidates
77,3.166667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.102445,inactive,hand_floor_from_anchor_floor_candidates
78,3.208333,floor_floor_support,floor,,floor_support,1,1,1,1,,,,,,,,,0.074882,update,hand_floor_from_anchor_floor_candidates
79,3.250000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.173785,inactive,hand_floor_from_anchor_floor_candidates
80,3.291667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.295433,inactive,hand_floor_from_anchor_floor_candidates
81,3.333333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.511916,inactive,hand_floor_from_anchor_floor_candidates
82,3.375000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.826393,inactive,hand_floor_from_anchor_floor_candidates
83,3.416667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.962856,inactive,hand_floor_from_anchor_floor_candidates
84,3.458333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
85,3.500000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,1.000000,inactive,hand_floor_from_anchor_floor_candidates
86,3.541667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.966917,inactive,hand_floor_from_anchor_floor_candidates
87,3.583333,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.085571,inactive,hand_floor_from_anchor_floor_candidates
88,3.625000,right_none_none,none,right,none,0,0,0,0,,,,,,,,,0.079304,inactive,hand_floor_from_anchor_floor_candidates
89,3.666667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.849175,inactive,hand_floor_from_anchor_floor_candidates
90,3.708333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.902211,inactive,hand_floor_from_anchor_floor_candidates
91,3.750000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.947277,inactive,hand_floor_from_anchor_floor_candidates
92,3.791667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.934836,inactive,hand_floor_from_anchor_floor_candidates
93,3.833333,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.712270,inactive,hand_floor_from_anchor_floor_candidates
94,3.875000,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.206723,inactive,hand_floor_from_anchor_floor_candidates
95,3.916667,left_none_none,none,left,none,0,0,0,0,,,,,,,,,0.085324,inactive,hand_floor_from_anchor_floor_candidates
