frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
1,0.000000,839.422,340.466,841.081,339.303,ref,852.239,332.048,human_nearest_mesh_topk,839.422,355.135,368.970,14.669,15.832,bottom_percentile_95,2.423110,2.399146,-0.023964,1.000000,0.000000,0.476298,0.807512,0.807512,0.000000,5.835666,27.507600,5.000000,8.000000,right_hand,0.476298,874.961,313.816,3.427068,right,2.423110,2.423110,0.807512,13.835026,0.000000,0.217256
2,0.041667,842.652,338.340,842.589,338.452,ref,835.431,313.600,human_nearest_mesh_topk,805.120,343.003,336.779,4.663,4.551,bottom_percentile_95,2.416530,2.399908,-0.016622,1.000000,0.000000,0.340010,0.702593,0.702593,0.208739,4.078593,1.292650,5.000000,8.000000,right_hand,0.340010,877.604,309.283,3.414575,top,2.411147,2.416530,0.702593,6.223893,0.000000,0.289675
3,0.083333,845.163,335.126,845.085,335.390,ref,835.499,295.846,human_nearest_mesh_topk,809.796,327.699,334.858,-7.427,-7.691,bottom_percentile_95,2.458897,2.402807,-0.056089,1.000000,0.000000,0.340150,0.000000,0.100000,0.458708,2.790119,0.646325,5.000000,8.000000,right_hand,0.340150,881.537,303.187,3.399572,top,2.493560,2.458897,0.000000,7.158221,0.000000,0.217256
4,0.125000,848.402,330.582,848.538,330.146,ref,840.137,289.529,human_nearest_mesh_topk,813.318,309.253,332.843,-21.329,-20.893,bottom_percentile_95,2.384921,2.269326,-0.115595,1.000000,0.000000,0.340659,0.198712,0.198712,1.000000,0.000000,3.821950,5.000000,8.000000,right_hand,0.340659,886.196,295.790,3.383194,top,2.324396,2.384921,0.198712,23.590126,0.006736,0.144837
5,0.166667,853.112,322.447,853.003,322.768,ref,854.576,264.166,human_nearest_mesh_topk,854.576,284.121,264.166,-38.326,-38.647,bottom_percentile_95,2.347169,2.266738,-0.080431,1.000000,0.000000,0.346975,0.039280,0.100000,1.000000,0.000000,2.230000,5.000000,8.000000,right_hand,0.346975,891.297,285.243,3.365854,top,2.316282,2.347169,0.039280,19.955188,0.000000,0.000000
6,0.208333,858.444,313.544,858.575,313.302,ref,859.889,255.677,human_nearest_mesh_topk,859.889,258.588,255.677,-54.956,-54.714,bottom_percentile_95,2.360590,2.295401,-0.065189,1.000000,0.000000,0.350289,0.736782,0.736782,1.000000,0.000000,1.628000,5.000000,8.000000,right_hand,0.350289,897.000,275.258,3.347834,top,2.371570,2.360590,0.736782,2.911298,0.000000,0.000000
7,0.250000,864.818,302.948,864.678,302.974,ref,865.218,246.309,human_nearest_mesh_topk,865.218,240.464,246.309,-62.484,-62.510,bottom_percentile_95,2.398713,2.292136,-0.106577,1.000000,0.000000,0.342471,0.526988,0.526988,1.000000,0.000000,0.400000,5.000000,8.000000,right_hand,0.342471,904.281,263.952,3.328615,top,2.429904,2.398713,0.526988,5.845300,0.000000,0.000000
8,0.291667,871.126,292.557,871.246,292.932,ref,871.908,236.506,human_nearest_mesh_topk,871.908,236.452,236.506,-56.105,-56.480,bottom_percentile_95,2.385434,2.293901,-0.091533,1.000000,0.124901,0.348351,0.567143,0.567143,1.000000,0.000000,0.188000,5.000000,8.000000,right_hand,0.348351,910.888,252.627,3.313939,top,2.374569,2.385434,0.567143,0.053657,0.000000,0.000000
9,0.333333,877.895,283.969,877.876,283.606,ref,879.344,227.730,human_nearest_mesh_topk,879.344,228.011,227.730,-55.958,-55.595,bottom_percentile_95,2.367805,2.269125,-0.098680,1.000000,0.454919,0.355064,0.215791,0.215791,1.000000,0.000000,0.188000,5.000000,8.000000,right_hand,0.355064,918.209,242.046,3.300017,top,2.353382,2.367805,0.215791,0.280981,0.000000,0.000000
10,0.375000,884.257,274.403,884.567,274.395,ref,888.118,219.595,human_nearest_mesh_topk,888.118,219.649,219.595,-54.754,-54.746,bottom_percentile_95,2.367278,2.229593,-0.137685,1.000000,0.625016,0.375799,0.439075,0.439075,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.375799,925.857,230.003,3.295196,top,2.366846,2.367278,0.439075,0.053810,0.000000,0.000000
