frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
1,0.000000,right,right,888.000,340.466,29.668484,29.668484,0.217256,0.206572,none,1,1
2,0.041667,right,top,842.487,284.206,43.151260,43.151260,0.289675,0.117978,none,1,1
3,0.083333,right,top,845.815,279.010,43.134784,43.134784,0.217256,0.096320,none,1,1
4,0.125000,right,top,849.962,272.498,43.074901,43.074901,0.144837,0.074844,none,0,0
5,0.166667,right,top,854.576,264.166,42.340136,42.340136,0.034585,0.034585,none,0,0
6,0.208333,right,top,859.889,255.677,41.959849,41.959849,0.036339,0.036339,none,0,0
7,0.250000,right,top,865.218,246.309,42.862715,42.862715,0.032289,0.032289,none,0,0
8,0.291667,right,top,871.908,236.506,42.181820,42.181820,0.035307,0.035307,none,0,0
9,0.333333,right,top,879.344,227.730,41.418325,41.418325,0.038962,0.038962,none,0,0
10,0.375000,right,top,888.118,219.595,39.148002,39.148002,0.051668,0.051668,none,0,0
11,0.416667,right,top,896.544,212.304,36.147843,36.147843,0.117384,0.073219,none,0,0
12,0.458333,right,top,901.955,206.076,33.808199,33.808199,0.144632,0.094258,none,0,0
13,0.500000,right,top,902.857,203.070,32.999877,32.999877,0.170700,0.102450,none,0,0
14,0.541667,right,top,897.153,202.270,35.399026,35.399026,0.250106,0.079530,none,0,0
15,0.583333,right,top,886.930,204.490,38.245722,38.245722,0.463237,0.057548,none,0,0
16,0.625000,right,top,872.574,213.058,41.735995,41.735995,0.675448,0.037405,none,0,0
17,0.666667,right,top,853.695,229.609,44.691368,44.691368,0.694026,0.025220,none,0,0
18,0.708333,left,,,,inf,inf,0.672453,0.000000,none,0,0
19,0.750000,left,,,,inf,inf,0.846674,0.000000,none,0,0
20,0.791667,left,,,,inf,inf,1.000000,0.000000,none,0,0
21,0.833333,left,,,,inf,inf,0.420044,0.000000,none,0,0
22,0.875000,left,,,,inf,inf,1.000000,0.150000,none,0,0
23,0.916667,left,,,,inf,inf,1.000000,0.225000,none,0,0
24,0.958333,left,,,,inf,inf,1.000000,0.300000,proposal,0,0
25,1.000000,left,,,,inf,inf,0.750000,0.225000,none,0,0
26,1.041667,left,,,,inf,inf,0.500000,0.150000,none,0,0
27,1.083333,left,,,,inf,inf,0.824780,0.000000,none,0,0
28,1.125000,left,,,,inf,inf,0.479883,0.000000,none,0,0
29,1.166667,left,,,,inf,inf,0.243298,0.000000,none,0,0
30,1.208333,left,,,,inf,inf,0.212293,0.000000,none,0,0
31,1.250000,left,,,,inf,inf,0.112006,0.000000,none,0,0
32,1.291667,left,,,,inf,inf,0.112970,0.000000,none,0,0
33,1.333333,left,left,447.000,291.644,36.246162,36.246162,0.395101,0.072419,none,0,0
34,1.375000,left,left,452.441,289.174,35.612574,35.612574,0.450574,0.077691,none,0,0
35,1.416667,left,left,463.881,292.220,31.650703,31.650703,0.260277,0.117212,none,0,0
36,1.458333,left,,,,inf,inf,0.313382,0.000000,none,0,0
37,1.500000,left,,,,inf,inf,0.883700,0.000000,none,0,0
38,1.541667,left,bottom,501.298,339.736,68.681024,68.681024,1.000000,0.000379,none,0,0
39,1.583333,left,,,,inf,inf,1.000000,0.000000,none,0,0
40,1.625000,left,,,,inf,inf,0.430370,0.000000,none,0,0
41,1.666667,left,,,,inf,inf,1.000000,0.146305,none,0,0
42,1.708333,left,,,,inf,inf,1.000000,0.219458,none,0,0
43,1.750000,left,,,,inf,inf,1.000000,0.292610,proposal,0,0
44,1.791667,left,,,,inf,inf,0.731525,0.219458,none,0,0
45,1.833333,left,,,,inf,inf,0.621166,0.146305,none,0,0
46,1.875000,left,,,,inf,inf,0.453138,0.000000,none,0,0
47,1.916667,left,,,,inf,inf,0.685618,0.000000,none,0,0
48,1.958333,left,,,,inf,inf,0.522822,0.000000,none,0,0
49,2.000000,left,,,,inf,inf,0.692068,0.000000,none,0,0
50,2.041667,left,,,,inf,inf,0.746313,0.000000,none,0,0
51,2.083333,left,,,,inf,inf,0.844887,0.000000,none,0,0
52,2.125000,left,,,,inf,inf,1.000000,0.000000,none,0,0
53,2.166667,left,,,,inf,inf,1.000000,0.000000,none,0,0
54,2.208333,left,,,,inf,inf,1.000000,0.000000,none,0,0
55,2.250000,left,,,,inf,inf,1.000000,0.000000,none,0,0
56,2.291667,left,,,,inf,inf,0.763192,0.000000,none,0,0
57,2.333333,left,,,,inf,inf,1.000000,0.150000,none,0,0
58,2.375000,left,,,,inf,inf,1.000000,0.225000,none,0,0
59,2.416667,left,,,,inf,inf,1.000000,0.300000,proposal,0,0
60,2.458333,left,,,,inf,inf,0.750000,0.225000,none,0,0
61,2.500000,left,,,,inf,inf,0.500000,0.150000,none,0,0
62,2.541667,left,,,,inf,inf,0.464986,0.000000,none,0,0
63,2.583333,left,,,,inf,inf,1.000000,0.000000,none,0,0
64,2.625000,left,,,,inf,inf,0.798925,0.000000,none,0,0
65,2.666667,left,left,446.000,342.262,30.241817,30.241817,0.134095,0.134095,none,0,0
66,2.708333,left,left,438.701,327.836,33.103484,33.103484,0.101373,0.101373,none,0,0
67,2.750000,left,left,435.024,316.925,34.842355,34.842355,0.272766,0.084477,none,0,0
68,2.791667,left,left,434.356,311.331,36.528973,36.528973,0.293006,0.070155,none,0,0
69,2.833333,left,left,436.427,309.724,37.164391,37.164391,0.330980,0.065265,none,0,0
70,2.875000,left,bottom,495.487,362.448,100.558786,100.558786,0.333617,0.000000,none,0,0
71,2.916667,left,bottom,503.237,371.365,94.324102,94.324102,0.329373,0.000001,none,0,0
72,2.958333,left,bottom,512.987,384.874,85.938703,85.938703,0.408527,0.000006,none,0,0
73,3.000000,left,center,533.793,361.965,37.097453,37.097453,0.872287,0.065767,none,1,1
74,3.041667,left,,,,inf,inf,0.998485,0.000000,none,0,0
75,3.083333,left,,,,inf,inf,0.519366,0.000000,none,0,0
76,3.125000,left,,,,inf,inf,0.000000,0.000000,none,0,0
77,3.166667,left,,,,inf,inf,1.000000,0.150000,none,0,0
78,3.208333,left,,,,inf,inf,1.000000,0.225000,none,0,0
79,3.250000,left,,,,inf,inf,1.000000,0.300000,proposal,0,0
80,3.291667,left,,,,inf,inf,0.750000,0.225000,none,0,0
81,3.333333,left,,,,inf,inf,0.500000,0.150000,none,0,0
82,3.375000,left,,,,inf,inf,0.260951,0.000000,none,0,0
83,3.416667,left,,,,inf,inf,0.209891,0.000000,none,0,0
84,3.458333,left,,,,inf,inf,0.330854,0.000000,none,0,0
85,3.500000,left,,,,inf,inf,0.408800,0.000000,none,0,0
86,3.541667,left,,,,inf,inf,0.476060,0.000000,none,0,0
87,3.583333,right,bottom,901.385,349.168,98.336490,98.336490,0.588830,0.000000,none,0,0
88,3.625000,right,bottom,901.113,346.192,101.378442,101.378442,0.591769,0.000000,none,0,0
89,3.666667,left,,,,inf,inf,0.474964,0.000000,none,0,0
90,3.708333,left,,,,inf,inf,0.638942,0.000000,none,0,0
91,3.750000,left,,,,inf,inf,0.906973,0.000000,none,0,0
92,3.791667,left,,,,inf,inf,1.000000,0.000000,none,0,0
93,3.833333,left,,,,inf,inf,1.000000,0.000000,none,0,0
94,3.875000,left,,,,inf,inf,0.592977,0.000000,none,0,0
95,3.916667,left,,,,inf,inf,1.000000,0.137921,none,0,0
96,3.958333,left,,,,inf,inf,1.000000,0.206881,none,0,0
97,4.000000,right,top,656.849,488.000,113.404910,113.404910,1.000000,0.275842,proposal,0,0
98,4.041667,right,right,667.271,501.609,114.598831,114.598831,0.689605,0.206881,none,0,0
99,4.083333,left,bottom,582.219,499.519,131.216259,131.216259,0.459737,0.137921,none,0,0
100,4.125000,left,,,,inf,inf,0.719791,0.000000,none,0,0
101,4.166667,left,,,,inf,inf,0.512176,0.000000,none,0,0
102,4.208333,left,,,,inf,inf,0.259238,0.000000,none,0,0
103,4.250000,left,,,,inf,inf,0.263600,0.000000,none,0,0
104,4.291667,left,,,,inf,inf,0.284257,0.000000,none,0,0
105,4.333333,left,,,,inf,inf,0.256229,0.000000,none,0,0
106,4.375000,left,,,,inf,inf,0.205093,0.000000,none,0,0
107,4.416667,left,,,,inf,inf,0.250724,0.000000,none,0,0
108,4.458333,left,,,,inf,inf,0.185169,0.000000,none,0,0
109,4.500000,left,,,,inf,inf,0.041025,0.000000,none,0,0
110,4.541667,left,,,,inf,inf,0.000000,0.000000,none,0,0
111,4.583333,left,,,,inf,inf,0.000000,0.000000,none,0,0
112,4.625000,left,,,,inf,inf,0.000000,0.000000,none,0,0
113,4.666667,left,,,,inf,inf,0.094174,0.028252,none,0,0
114,4.708333,left,,,,inf,inf,0.717109,0.042379,none,0,0
115,4.750000,left,,,,inf,inf,0.632827,0.056505,none,0,0
116,4.791667,left,,,,inf,inf,0.559943,0.042379,none,0,0
117,4.833333,left,,,,inf,inf,1.000000,0.028252,none,0,0
118,4.875000,left,,,,inf,inf,0.394293,0.000000,none,0,0
119,4.916667,left,,,,inf,inf,0.000000,0.000000,none,0,0
120,4.958333,left,,,,inf,inf,0.000000,0.000000,none,0,0
121,5.000000,left,,,,inf,inf,0.000000,0.000000,none,0,0
122,5.041667,left,,,,inf,inf,0.013753,0.000000,none,0,0
123,5.083333,left,,,,inf,inf,0.025590,0.000000,none,0,0
124,5.125000,left,,,,inf,inf,0.000000,0.000000,none,0,0
125,5.166667,left,,,,inf,inf,0.000000,0.000000,none,0,0
126,5.208333,left,,,,inf,inf,0.000000,0.000000,none,0,0
127,5.250000,left,,,,inf,inf,0.000000,0.000000,none,0,0
128,5.291667,left,,,,inf,inf,0.000000,0.000000,none,0,0
129,5.333333,left,left,746.000,308.104,15.345410,15.345410,0.382420,0.382420,proposal,1,0
130,5.375000,right,top,791.837,257.830,33.037588,33.037588,0.102057,0.102057,none,0,0
131,5.416667,right,top,789.598,261.571,34.840398,34.840398,0.084495,0.084495,none,0,0
132,5.458333,right,top,786.976,264.804,34.982487,34.982487,0.083211,0.083211,none,0,0
133,5.500000,right,right,833.698,313.081,47.768859,47.768859,0.016257,0.016257,none,0,0
134,5.541667,right,bottom,788.413,349.149,44.876160,44.876160,0.024584,0.024584,none,0,0
135,5.583333,right,bottom,787.156,349.005,44.380810,44.380810,0.026320,0.026320,none,0,0
136,5.625000,right,bottom,786.386,348.767,46.375730,46.375730,0.019904,0.019904,none,0,0
137,5.666667,right,bottom,786.155,347.910,51.183350,51.183350,0.009652,0.009652,none,0,0
138,5.708333,right,bottom,785.317,347.550,60.400400,60.400400,0.001974,0.001974,none,0,0
139,5.750000,right,bottom,784.780,347.147,71.602779,71.602779,0.000201,0.000201,none,0,0
140,5.791667,right,bottom,784.408,346.719,84.030995,84.030995,0.000010,0.000010,none,0,0
141,5.833333,right,bottom,784.193,346.477,97.097771,97.097771,0.008423,0.000000,none,0,0
142,5.875000,right,bottom,784.551,346.254,108.959305,108.959305,0.000000,0.000000,none,0,0
143,5.916667,right,bottom,784.888,346.070,119.029377,119.029377,0.000000,0.000000,none,0,0
144,5.958333,right,bottom,785.016,346.006,127.738756,127.738756,0.110214,0.000000,none,0,0
145,6.000000,right,bottom,785.178,346.197,135.466306,135.466306,0.142473,0.010489,none,0,0
146,6.041667,left,bottom,785.613,346.325,131.317333,131.317333,0.052446,0.015734,none,0,0
147,6.083333,left,bottom,785.804,346.255,121.938899,121.938899,0.069929,0.020979,none,0,0
148,6.125000,left,bottom,786.392,346.421,112.906387,112.906387,0.052446,0.015734,none,0,0
149,6.166667,left,bottom,786.671,346.518,102.917540,102.917540,0.034964,0.010489,none,0,0
150,6.208333,left,bottom,787.381,346.456,93.377002,93.377002,0.000001,0.000001,none,0,0
151,6.250000,left,bottom,787.851,346.537,87.701491,87.701491,0.000004,0.000004,none,0,0
152,6.291667,left,bottom,788.626,346.673,85.766817,85.766817,0.000006,0.000006,none,0,0
153,6.333333,left,bottom,788.928,346.874,86.875063,86.875063,0.000005,0.000005,none,0,0
