frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
1,0.000000,0.217256,0.206572,0.215556,1,1,0,1,0,none,hand,right_hand,right,hand,29.668484,29.668484,-0.023964,0.000000,floor,gvhmr_floor,-275.318541,0.750000,right,888.000,340.466,874.961,313.816
2,0.041667,0.289675,0.117978,0.000000,1,1,0,1,0,none,hand,right_hand,right,hand,43.151260,43.151260,-0.016622,0.000000,floor,gvhmr_floor,-284.975841,0.750000,top,842.487,284.206,877.604,309.283
3,0.083333,0.217256,0.096320,0.000000,1,1,0,1,0,none,hand,right_hand,right,hand,43.134784,43.134784,-0.056089,0.000000,floor,gvhmr_floor,-292.312251,0.750000,top,845.815,279.010,881.537,303.187
4,0.125000,0.144837,0.074844,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,43.074901,43.074901,-0.115595,0.006736,floor,gvhmr_floor,-298.052238,0.750000,top,849.962,272.498,886.196,295.790
5,0.166667,0.034585,0.034585,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,42.340136,42.340136,-0.080431,0.000000,floor,gvhmr_floor,-322.673329,0.750000,top,854.576,264.166,891.297,285.243
6,0.208333,0.036339,0.036339,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,41.959849,41.959849,-0.065189,0.000000,floor,gvhmr_floor,-342.454793,0.750000,top,859.889,255.677,897.000,275.258
7,0.250000,0.032289,0.032289,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,42.862715,42.862715,-0.106577,0.000000,floor,gvhmr_floor,-359.112217,0.750000,top,865.218,246.309,904.281,263.952
8,0.291667,0.035307,0.035307,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,42.181820,42.181820,-0.091533,0.000000,floor,gvhmr_floor,-373.713314,0.750000,top,871.908,236.506,910.888,252.627
9,0.333333,0.038962,0.038962,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,41.418325,41.418325,-0.098680,0.000000,floor,gvhmr_floor,-386.566882,0.750000,top,879.344,227.730,918.209,242.046
10,0.375000,0.051668,0.051668,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,39.148002,39.148002,-0.137685,0.000000,floor,gvhmr_floor,-398.004880,0.750000,top,888.118,219.595,925.857,230.003
11,0.416667,0.117384,0.073219,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,36.147843,36.147843,-0.112378,0.117384,floor,gvhmr_floor,-408.198778,0.750000,top,896.544,212.304,932.059,219.038
12,0.458333,0.144632,0.094258,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,33.808199,33.808199,-0.153329,0.144632,floor,gvhmr_floor,-417.202907,0.750000,top,901.955,206.076,935.374,211.190
13,0.500000,0.170700,0.102450,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,32.999877,32.999877,-0.131424,0.170700,floor,gvhmr_floor,-424.407597,0.750000,top,902.857,203.070,935.854,203.517
14,0.541667,0.250106,0.079530,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,35.399026,35.399026,-0.093095,0.250106,floor,gvhmr_floor,-429.690881,0.750000,top,897.153,202.270,932.281,197.900
15,0.583333,0.463237,0.057548,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,38.245722,38.245722,-0.080216,0.463237,floor,gvhmr_floor,-432.723179,0.750000,top,886.930,204.490,924.860,199.584
16,0.625000,0.675448,0.037405,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,41.735995,41.735995,-0.073961,0.675448,floor,gvhmr_floor,-432.275387,0.750000,top,872.574,213.058,914.107,208.945
17,0.666667,0.694026,0.025220,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,44.691368,44.691368,-0.115728,0.694026,floor,gvhmr_floor,-426.996634,0.750000,top,853.695,229.609,898.376,230.553
18,0.708333,0.672453,0.000000,0.132076,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.030969,0.672453,floor,gvhmr_floor,-383.849106,0.750000,,,,878.137,267.128
19,0.750000,0.846674,0.000000,0.564563,0,0,0,0,0,soft,hand,left_hand,left,hand,inf,inf,-0.068612,0.846674,floor,gvhmr_floor,-341.440636,0.750000,,,,849.776,312.887
20,0.791667,1.000000,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.047338,1.000000,floor,gvhmr_floor,-295.828908,0.750000,,,,812.204,356.067
21,0.833333,0.420044,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.068621,0.420044,floor,gvhmr_floor,-250.228498,0.750000,,,,768.891,390.322
22,0.875000,1.000000,0.150000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.726033,1.000000,floor,gvhmr_floor,-195.785711,0.750000,,,,554.268,576.794
23,0.916667,1.000000,0.225000,1.000000,0,0,1,1,0,strong,floor,floor,,hand,inf,inf,0.470215,1.000000,floor,gvhmr_floor,-147.221360,0.750000,,,,,
24,0.958333,1.000000,0.300000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.695013,0.985273,floor,gvhmr_floor,-129.495014,0.750000,,,,554.588,577.006
25,1.000000,0.750000,0.225000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.063279,0.450735,floor,gvhmr_floor,-130.992172,0.750000,,,,592.161,384.949
26,1.041667,0.500000,0.150000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.025115,0.303367,floor,gvhmr_floor,-147.799483,0.750000,,,,563.267,379.618
27,1.083333,0.824780,0.000000,0.803204,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.052631,0.824780,floor,gvhmr_floor,-169.471200,0.750000,,,,532.044,366.123
28,1.125000,0.479883,0.000000,0.594572,0,0,0,0,0,soft,hand,left_hand,left,hand,inf,inf,0.008443,0.479883,floor,gvhmr_floor,-190.529203,0.750000,,,,501.907,345.753
29,1.166667,0.243298,0.000000,0.376139,0,0,0,0,0,proposal,hand,left_hand,left,hand,inf,inf,0.051400,0.243298,floor,gvhmr_floor,-211.434204,0.750000,,,,476.659,322.467
30,1.208333,0.212293,0.000000,0.227037,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.047749,0.212293,floor,gvhmr_floor,-230.275505,0.750000,,,,456.510,299.875
31,1.250000,0.112006,0.000000,0.091648,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,0.029273,0.112006,floor,gvhmr_floor,-247.285216,0.750000,,,,443.792,280.279
32,1.291667,0.112970,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.026562,0.112970,floor,gvhmr_floor,-261.780414,0.750000,,,,436.677,264.204
33,1.333333,0.395101,0.072419,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,36.246162,36.246162,0.037848,0.395101,floor,gvhmr_floor,-277.983752,0.750000,left,447.000,291.644,438.695,256.362
34,1.375000,0.450574,0.077691,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,35.612574,35.612574,0.013284,0.450574,floor,gvhmr_floor,-288.855389,0.750000,left,452.441,289.174,446.780,254.014
35,1.416667,0.260277,0.117212,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,31.650703,31.650703,0.026301,0.260277,floor,gvhmr_floor,-295.636634,0.750000,left,463.881,292.220,464.153,260.570
36,1.458333,0.313382,0.000000,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.093346,0.313382,floor,gvhmr_floor,-296.399206,0.750000,,,,491.391,277.432
37,1.500000,0.883700,0.000000,0.060427,0,0,0,0,0,none,hand,left_hand,left,hand,inf,inf,-0.039635,0.883700,floor,gvhmr_floor,-294.452907,0.750000,,,,527.654,292.556
38,1.541667,1.000000,0.000379,0.000000,0,0,0,0,0,none,hand,left_hand,left,hand,68.681024,68.681024,5.648995,1.000000,floor,gvhmr_floor,-297.482797,0.750000,bottom,501.298,339.736,566.246,317.402
39,1.583333,1.000000,0.000000,0.528239,0,0,0,0,0,soft,hand,left_hand,left,hand,inf,inf,-0.131936,1.000000,floor,gvhmr_floor,-282.009320,0.750000,,,,606.664,347.458
40,1.625000,0.430370,0.000000,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,0.027451,0.430370,floor,gvhmr_floor,-246.884187,0.750000,,,,637.449,368.333
41,1.666667,1.000000,0.146305,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,2.013942,1.000000,floor,gvhmr_floor,-202.553893,0.750000,,,,661.331,385.292
42,1.708333,1.000000,0.219458,1.000000,0,0,1,1,0,strong,floor,floor,,hand,inf,inf,0.146234,1.000000,floor,gvhmr_floor,-153.877287,0.750000,,,,,
43,1.750000,1.000000,0.292610,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,1.595666,1.000000,floor,gvhmr_floor,-130.499864,0.750000,,,,698.965,401.089
44,1.791667,0.731525,0.219458,1.000000,0,0,0,0,0,strong,hand,left_hand,left,hand,inf,inf,-0.069512,0.193613,floor,gvhmr_floor,-129.798667,0.750000,,,,837.186,401.705
