frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
1,2.434702,3.500000,1.065298,1,0,0,0.048968,0.000000,0.000000,
2,2.429944,3.484123,1.054179,1,0,0,0.052926,-0.000000,0.289675,
3,2.399764,3.456732,1.056968,1,0,0,0.001072,0.000000,0.000000,
4,2.413435,3.458562,1.045127,0,0,1,-0.040227,0.013030,0.000000,
5,2.380509,3.459797,1.079288,0,0,1,0.013512,0.025432,0.000000,
6,2.369584,3.459947,1.090363,0,0,1,0.046924,0.037008,0.000000,
7,2.356321,3.458693,1.102372,0,0,1,0.023501,0.049408,0.000000,
8,2.369584,3.456037,1.086453,0,0,1,0.050565,0.058085,0.000000,
9,2.380509,3.452353,1.071844,0,0,1,0.053656,0.067086,0.000000,
10,2.408149,3.448571,1.040422,0,0,1,0.015690,0.070653,0.000000,
11,2.408149,3.446407,1.038258,0,0,1,0.029188,0.064902,0.000000,
12,2.445957,3.448584,1.002627,0,0,1,-0.029673,0.058120,0.000000,
13,2.466452,3.458724,0.992272,0,0,1,-0.016204,0.060811,0.000000,
14,2.515173,3.481720,0.966547,0,0,1,0.023611,0.070919,0.000000,
15,2.515173,3.523529,1.008356,0,0,1,0.058849,0.086904,0.000000,
16,2.515173,3.590962,1.075789,0,0,1,0.111673,0.119168,0.000000,
17,2.515173,3.691137,1.175964,0,0,1,0.152247,0.184786,0.000000,
18,2.397712,3.829998,1.432286,0,0,1,-0.159233,0.331418,0.000000,
19,2.302469,4.010750,1.708281,0,0,1,-0.007248,0.291870,0.000000,
20,2.302469,4.231177,1.928708,0,0,1,0.261456,0.382646,0.000000,
21,2.302469,4.481179,2.178710,0,0,1,0.514321,0.589137,0.000000,
22,2.302469,4.739045,2.436576,0,0,1,1.572919,0.877396,0.000000,
23,2.322355,4.966927,2.644572,0,1,0,1.749338,1.286786,0.000000,
24,2.373848,5.100408,2.726560,0,0,1,1.874857,1.145246,1.000000,audio_floor_soft
25,2.410287,4.964373,2.554086,0,0,1,1.102666,0.962568,0.000000,
26,2.431295,4.740962,2.309667,0,0,1,0.775719,0.697506,0.000000,
27,2.454642,4.489008,2.034366,0,0,1,0.482983,0.423492,0.000000,
28,2.495390,4.244804,1.749414,0,0,1,0.298381,0.178604,0.000000,
29,2.570753,4.030141,1.459388,0,0,1,0.120981,0.010635,0.000000,
30,2.634653,3.856556,1.221903,0,0,1,-0.062589,0.070640,0.000000,
31,2.646714,3.728020,1.081306,0,0,1,-0.240688,0.212411,0.000000,
32,2.725977,3.643869,0.917892,0,0,1,-0.395763,0.311613,0.000000,
33,2.725977,3.601366,0.875389,0,0,1,-0.407046,0.376169,0.000000,
34,2.725977,3.597776,0.871799,0,0,1,-0.466826,0.405399,0.000000,
35,2.646714,3.630854,0.984140,0,0,1,-0.453719,0.394526,0.000000,
36,2.623449,3.699290,1.075841,0,0,1,-0.535106,0.340213,0.000000,
37,2.566949,3.802097,1.235148,0,0,1,-0.414457,0.262240,0.000000,
38,2.541014,3.937642,1.396628,0,0,1,-0.250455,0.142014,0.000000,
39,2.533120,4.101764,1.568644,0,0,1,-0.165889,-0.004028,0.000000,
40,2.472854,4.285277,1.812423,0,0,1,0.224025,0.159171,0.000000,
41,2.392787,4.471162,2.078375,0,0,1,0.423293,0.439151,0.000000,
42,2.378825,4.630353,2.251528,0,1,0,1.254644,1.111207,0.000000,
43,2.284574,4.716041,2.431467,0,0,1,0.696233,0.712200,0.975367,audio_floor_soft
44,2.283946,4.637550,2.353604,0,0,1,0.557180,0.602532,0.000000,
45,2.283946,4.492286,2.208340,0,0,1,0.388888,0.462151,0.000000,
