frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
1,2.434702,4.414089,1.979387,0,0,0,0.963057,0.869560,0.000000,
2,2.429944,4.412037,1.982093,0,0,0,0.980840,0.880451,0.289675,
3,2.399764,4.409841,2.010077,0,0,0,0.954180,0.893466,0.000000,
4,2.413435,4.407338,1.993903,0,0,1,0.908549,0.907532,0.000000,
5,2.380509,4.404305,2.023796,0,0,1,0.958020,0.922027,0.000000,
6,2.369584,4.400533,2.030949,0,0,1,0.987509,0.936317,0.000000,
7,2.356321,4.395891,2.039570,0,0,1,0.960699,0.950862,0.000000,
8,2.369584,4.390453,2.020869,0,0,1,0.984981,0.960226,0.000000,
9,2.380509,4.384473,2.003964,0,0,1,0.985777,0.968455,0.000000,
10,2.408149,4.378520,1.970371,0,0,1,0.945639,0.967411,0.000000,
11,2.408149,4.373645,1.965496,0,0,1,0.956427,0.952839,0.000000,
12,2.445957,4.371556,1.925599,0,0,1,0.893299,0.929807,0.000000,
13,2.466452,4.374360,1.907908,0,0,1,0.899432,0.913442,0.000000,
14,2.515173,4.384985,1.869812,0,0,1,0.926876,0.902238,0.000000,
15,2.515173,4.406933,1.891760,0,0,1,0.942253,0.904261,0.000000,
16,2.515173,4.444181,1.929008,0,0,1,0.964891,0.920597,0.000000,
17,2.515173,4.500876,1.985703,0,0,1,0.961986,0.959786,0.000000,
18,2.397712,4.580268,2.182556,0,0,1,0.591037,0.696252,0.000000,
19,2.302469,4.683987,2.381518,0,0,1,0.665988,0.758228,0.000000,
20,2.302469,4.810441,2.507972,0,0,1,0.840720,0.877792,0.000000,
21,2.302469,4.953487,2.651018,0,0,1,0.986629,1.027706,0.000000,
22,2.302469,5.099270,2.796801,0,0,1,1.933144,1.215697,0.000000,
23,2.322355,5.222995,2.900640,0,1,0,2.005406,1.535708,0.000000,
24,2.373848,5.285154,2.911306,0,0,1,2.059602,1.325174,1.000000,audio_floor_soft
25,2.410287,5.216233,2.805946,0,0,1,1.354527,1.210569,0.000000,
26,2.431295,5.089710,2.658415,0,0,1,1.124467,1.043796,0.000000,
27,2.454642,4.942101,2.487459,0,0,1,0.936075,0.875134,0.000000,
28,2.495390,4.797006,2.301616,0,0,1,0.850583,0.724388,0.000000,
29,2.570753,4.668071,2.097318,0,0,1,0.758911,0.590410,0.000000,
30,2.634653,4.562373,1.927720,0,0,1,0.643228,0.482603,0.000000,
31,2.646714,4.482292,1.835578,0,0,1,0.513585,0.378833,0.000000,
32,2.725977,4.427291,1.701314,0,0,1,0.387658,0.318139,0.000000,
33,2.725977,4.395357,1.669380,0,0,1,0.386945,0.253125,0.000000,
34,2.725977,4.384392,1.658415,0,0,1,0.319791,0.212245,0.000000,
35,2.646714,4.392272,1.745558,0,0,1,0.307699,0.181567,0.000000,
36,2.623449,4.417369,1.793920,0,0,1,0.182973,0.164393,0.000000,
37,2.566949,4.458310,1.891361,0,0,1,0.241756,0.167918,0.000000,
38,2.541014,4.513766,1.972752,0,0,1,0.325669,0.221043,0.000000,
39,2.533120,4.581608,2.048488,0,0,1,0.313956,0.344053,0.000000,
40,2.472854,4.657656,2.184802,0,0,1,0.596404,0.489084,0.000000,
41,2.392787,4.734170,2.341383,0,0,1,0.686302,0.670085,0.000000,
