frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,0.590912668,-0.057880074,4.351656669,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
2,0.041667,0.600498770,-0.064184398,4.351788099,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
3,0.083333,0.607963264,-0.073706595,4.351938140,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
4,0.125,0.617581790,-0.087184866,4.352075189,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
5,0.166667,0.631551160,-0.111282048,4.352175879,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
6,0.208333,0.647370922,-0.137678674,4.352281343,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
7,0.25,0.666270608,-0.169079285,4.352367707,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
8,0.291667,0.684983902,-0.199872855,4.352468092,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
9,0.333333,0.705057774,-0.225341933,4.352556852,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
10,0.375,0.723921569,-0.253688688,4.352584777,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
11,0.416667,0.739649759,-0.280615112,4.352540306,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
12,0.458333,0.739694124,-0.301528884,4.352509753,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
13,0.5,0.732078978,-0.316363464,4.352321583,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
14,0.541667,0.713208808,-0.321702629,4.351935970,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
15,0.583333,0.683325305,-0.316633056,4.351247476,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
16,0.625,0.646860322,-0.289317850,4.350177832,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
17,0.666667,0.595127467,-0.228313287,4.348786607,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
18,0.708333,0.538675118,-0.136211856,4.346905387,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
19,0.75,0.477567367,-0.013049422,4.344528415,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
20,0.791667,0.414188005,0.142734652,4.341733318,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-766b9a5b5e0c
