frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
1,0.000000,0.330608,-0.032384,2.434702,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,839.422,340.466,839.422,340.466,374.000,374.000,839.422,340.466,374.000,2.434702,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
2,0.041667,0.335307,-0.035838,2.429944,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,842.652,338.340,842.652,338.340,368.426,368.426,842.652,338.340,368.426,2.429944,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
3,0.083333,0.335245,-0.040645,2.399764,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,845.163,335.126,845.163,335.126,360.516,360.516,845.163,335.126,360.516,2.399764,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
4,0.125000,0.342478,-0.048344,2.413435,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,848.402,330.582,848.402,330.582,351.058,351.058,848.402,330.582,351.058,2.413435,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
5,0.166667,0.345440,-0.060871,2.380509,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,853.112,322.447,853.112,322.447,341.194,341.194,853.112,322.447,341.194,2.380509,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
6,0.208333,0.352458,-0.074956,2.369584,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,858.444,313.544,858.444,313.544,329.284,329.284,858.444,313.544,329.284,2.369584,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
7,0.250000,0.360712,-0.091538,2.356321,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,864.818,302.948,864.818,302.948,318.054,318.054,864.818,302.948,318.054,2.356321,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
8,0.291667,0.372920,-0.108819,2.369584,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,871.126,292.557,871.126,292.557,307.303,307.303,871.126,292.557,307.303,2.369584,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
9,0.333333,0.385612,-0.123241,2.380509,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,877.895,283.969,877.895,283.969,299.265,299.265,877.895,283.969,299.265,2.380509,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
10,0.375000,0.400521,-0.140358,2.408149,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,884.257,274.403,884.257,274.403,292.514,292.514,884.257,274.403,292.514,2.408149,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
11,0.416667,0.409233,-0.155258,2.408149,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,889.570,265.316,889.570,265.316,287.307,287.307,889.570,265.316,287.307,2.408149,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
12,0.458333,0.415680,-0.169448,2.445957,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,889.583,258.260,889.583,258.260,285.028,285.028,889.583,258.260,285.028,2.445957,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
13,0.500000,0.414868,-0.179283,2.466452,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,887.026,253.249,887.026,253.249,282.227,282.227,887.026,253.249,282.227,2.466452,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
14,0.541667,0.412195,-0.185923,2.515173,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,880.680,251.440,880.680,251.440,283.961,283.961,880.680,251.440,283.961,2.515173,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
15,0.583333,0.394983,-0.183025,2.515173,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,870.630,253.132,870.630,253.132,287.793,287.793,870.630,253.132,287.793,2.515173,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
16,0.625000,0.374004,-0.167281,2.515173,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,858.380,262.325,858.380,262.325,299.312,299.312,858.380,262.325,299.312,2.515173,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
17,0.666667,0.344197,-0.132047,2.515173,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,840.976,282.898,840.976,282.898,321.516,321.516,840.976,282.898,321.516,2.515173,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
18,0.708333,0.297129,-0.075133,2.397712,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,821.992,313.981,821.992,313.981,350.268,350.268,821.992,313.981,350.268,2.397712,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
19,0.750000,0.253084,-0.006916,2.302469,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,801.427,355.589,801.427,355.589,388.262,388.262,801.427,355.589,388.262,2.302469,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
20,0.791667,0.219670,0.075684,2.302469,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,780.114,408.274,780.114,408.274,437.789,437.789,780.114,408.274,437.789,2.302469,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
21,0.833333,0.150663,0.177062,2.302469,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,736.099,472.937,736.099,472.937,491.825,491.825,736.099,472.937,491.825,2.302469,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
22,0.875000,0.074657,0.277819,2.302469,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,687.619,537.204,687.619,537.204,570.640,570.640,687.619,537.204,570.640,2.302469,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
23,0.916667,0.021683,0.324050,2.322355,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.712,564.922,653.712,564.922,588.811,588.811,653.712,564.922,588.811,2.322355,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
24,0.958333,-0.016757,0.244622,2.373848,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,629.633,511.338,629.633,511.338,533.640,533.640,629.633,511.338,533.640,2.373848,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
25,1.000000,-0.052545,0.179030,2.410287,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,607.984,469.084,607.984,469.084,488.097,488.097,607.984,469.084,488.097,2.410287,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
26,1.041667,-0.108395,0.111181,2.431295,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,574.525,427.158,574.525,427.158,442.675,442.675,574.525,427.158,442.675,2.431295,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
27,1.083333,-0.169526,0.058299,2.454642,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.573,394.880,538.573,394.880,406.950,406.950,538.573,394.880,406.950,2.454642,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
28,1.125000,-0.194827,0.012039,2.495390,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.339,367.085,525.339,367.085,385.974,385.974,525.339,367.085,385.974,2.495390,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
29,1.166667,-0.220617,-0.028107,2.570753,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.967,343.943,513.967,343.943,367.475,367.475,513.967,343.943,367.475,2.570753,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
30,1.208333,-0.246323,-0.058358,2.634653,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.695,327.470,502.695,327.470,354.554,354.554,502.695,327.470,354.554,2.634653,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
