frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
1,0.041667,1,-0.194881,-0.103676,3.901733,-0.171739,-0.046463,3.931657,-0.213705,0.007939,3.943601,-0.179764,0.040136,3.965391,-0.172811,0.045407,3.949641,-0.163426,0.040719,3.931838,-0.152147,0.023296,3.909458,1,0.477799,-0.151274,3.427757,0.537048,-0.129671,3.441062,0.499238,-0.114481,3.533399,0.604031,-0.101861,3.506000,0.605608,-0.080303,3.491843,0.597179,-0.060996,3.467247,0.549979,-0.049758,3.448451
2,0.083333,1,-0.195492,-0.104039,3.902592,-0.170655,-0.046820,3.934830,-0.211889,0.007670,3.942706,-0.180554,0.039480,3.967420,-0.172743,0.044670,3.952835,-0.163331,0.040238,3.935694,-0.151038,0.023336,3.914142,1,0.480664,-0.159247,3.415806,0.539426,-0.133461,3.432081,0.506075,-0.122721,3.527247,0.610429,-0.106375,3.493534,0.609249,-0.082085,3.479336,0.598716,-0.064218,3.457397,0.551148,-0.053927,3.439364
3,0.125000,1,-0.191518,-0.104083,3.908876,-0.167778,-0.047362,3.940317,-0.207313,0.007327,3.941296,-0.180367,0.038875,3.970221,-0.171206,0.043867,3.957721,-0.161468,0.039548,3.941831,-0.147706,0.023082,3.921978,1,0.485824,-0.170032,3.401718,0.543734,-0.141511,3.417717,0.516118,-0.138454,3.516430,0.619945,-0.116315,3.475171,0.615158,-0.088165,3.460832,0.601464,-0.071709,3.442821,0.553789,-0.062621,3.425850
4,0.166667,1,-0.183968,-0.104492,3.916500,-0.162504,-0.048111,3.946970,-0.199666,0.006877,3.940265,-0.177455,0.038827,3.973163,-0.167062,0.043577,3.962983,-0.156319,0.038815,3.948870,-0.141068,0.022088,3.931251,1,0.492444,-0.183511,3.385992,0.549814,-0.154641,3.401781,0.526023,-0.159823,3.502844,0.629314,-0.132941,3.458273,0.622913,-0.102068,3.443029,0.606509,-0.085089,3.427810,0.559418,-0.076244,3.411573
5,0.208333,1,-0.174391,-0.107305,3.927245,-0.154529,-0.049464,3.953899,-0.190035,0.005812,3.941236,-0.171094,0.038833,3.976720,-0.160035,0.043474,3.968287,-0.147635,0.037724,3.956258,-0.130976,0.020064,3.940656,1,0.499651,-0.203442,3.368555,0.557972,-0.173053,3.385927,0.534506,-0.183865,3.487988,0.637689,-0.156146,3.445712,0.633281,-0.125113,3.428374,0.616189,-0.105202,3.412745,0.570035,-0.094504,3.396485
6,0.250000,1,-0.162294,-0.110504,3.934952,-0.143610,-0.051942,3.960227,-0.179788,0.003310,3.945330,-0.161122,0.037701,3.980591,-0.149845,0.042554,3.973149,-0.135836,0.035659,3.962969,-0.118127,0.016898,3.948629,1,0.508569,-0.222873,3.349365,0.568330,-0.195185,3.369855,0.542835,-0.208068,3.472424,0.646432,-0.182851,3.434824,0.645982,-0.153560,3.415215,0.630411,-0.129990,3.396549,0.584638,-0.115864,3.379863
7,0.291667,1,-0.144164,-0.114759,3.942768,-0.129978,-0.056455,3.964896,-0.169000,-0.002194,3.950736,-0.147886,0.033213,3.983330,-0.136421,0.038772,3.976800,-0.121598,0.031026,3.967782,-0.103758,0.011516,3.954003,1,0.520682,-0.244570,3.329151,0.580416,-0.218288,3.352991,0.554409,-0.231739,3.456065,0.657143,-0.208190,3.421250,0.659047,-0.180448,3.400665,0.645236,-0.154755,3.379382,0.598798,-0.138110,3.362794
8,0.333333,1,-0.126919,-0.120750,3.947815,-0.114768,-0.065931,3.967493,-0.155767,-0.015185,3.952840,-0.133065,0.018617,3.983785,-0.121616,0.025274,3.978817,-0.107072,0.017589,3.970705,-0.090471,-0.001300,3.957601,1,0.532051,-0.266385,3.312737,0.593594,-0.240649,3.336512,0.571474,-0.255813,3.439677,0.669503,-0.229390,3.405100,0.670720,-0.201856,3.384929,0.657321,-0.176394,3.363227,0.609816,-0.159828,3.347270
9,0.375000,1,-0.106225,-0.127488,3.946505,-0.099522,-0.085773,3.968968,-0.136091,-0.043935,3.948099,-0.119109,-0.018657,3.981073,-0.109142,-0.011151,3.978106,-0.096441,-0.016959,3.972018,-0.082917,-0.031886,3.961620,1,0.545327,-0.286935,3.296474,0.607356,-0.262494,3.324024,0.592494,-0.281645,3.425952,0.681086,-0.247385,3.392500,0.680728,-0.219695,3.372946,0.667157,-0.195865,3.351708,0.619412,-0.181081,3.335600
10,0.416667,1,-0.083844,-0.137375,3.947147,-0.084976,-0.117116,3.971318,-0.107209,-0.090814,3.939002,-0.106519,-0.081417,3.975896,-0.100279,-0.073933,3.974441,-0.091374,-0.075937,3.972111,-0.082841,-0.083125,3.967709,1,0.560977,-0.310218,3.288068,0.620763,-0.284239,3.319802,0.612662,-0.308303,3.418829,0.689370,-0.263971,3.390309,0.689443,-0.237352,3.370631,0.676637,-0.215157,3.348660,0.630256,-0.202209,3.330463
11,0.458333,1,-0.058759,-0.152062,3.959005,-0.069558,-0.147321,3.976396,-0.074806,-0.136353,3.934403,-0.092304,-0.139735,3.973409,-0.089864,-0.132928,3.972787,-0.084774,-0.131540,3.974085,-0.080748,-0.131918,3.976458,1,0.576506,-0.333387,3.295644,0.632024,-0.304878,3.325729,0.626064,-0.330927,3.421108,0.693670,-0.279321,3.400003,0.696743,-0.255158,3.379525,0.685952,-0.234193,3.355296,0.642597,-0.222570,3.333158
12,0.500000,1,-0.036670,-0.164207,3.969136,-0.050344,-0.158360,3.984199,-0.051119,-0.149737,3.939761,-0.073329,-0.150491,3.979336,-0.071234,-0.144265,3.980061,-0.066341,-0.143289,3.982407,-0.062074,-0.144463,3.987896,1,0.587873,-0.350198,3.312975,0.639376,-0.322966,3.339251,0.630257,-0.343462,3.431058,0.695305,-0.292600,3.416014,0.702266,-0.271460,3.394536,0.693914,-0.252103,3.367920,0.655171,-0.241839,3.341197
13,0.541667,1,-0.013616,-0.177725,3.974776,-0.027644,-0.148706,3.992292,-0.040946,-0.126195,3.950310,-0.051046,-0.111768,3.992293,-0.045727,-0.105710,3.995649,-0.036857,-0.109093,3.996434,-0.026784,-0.118661,4.000368,1,0.592761,-0.365797,3.328082,0.642082,-0.337622,3.354671,0.630500,-0.343399,3.441588,0.696438,-0.302722,3.429211,0.706022,-0.284969,3.406808,0.699650,-0.268744,3.379230,0.667090,-0.261204,3.349089
14,0.583333,1,0.006903,-0.187429,3.978340,-0.006469,-0.132252,3.997173,-0.037588,-0.091172,3.958728,-0.030318,-0.062465,4.004729,-0.021463,-0.056401,4.010826,-0.007991,-0.064647,4.009026,0.009168,-0.083428,4.009494,1,0.589116,-0.376264,3.346544,0.639419,-0.346337,3.368160,0.633416,-0.332334,3.446376,0.696918,-0.306905,3.434916,0.706816,-0.293032,3.411953,0.701801,-0.281715,3.385211,0.676438,-0.279100,3.353958
15,0.625000,1,0.017232,-0.185728,3.973974,0.007903,-0.116946,3.996043,-0.034779,-0.063774,3.961256,-0.015363,-0.028388,4.009830,-0.004757,-0.022300,4.017349,0.011056,-0.033299,4.013266,0.032646,-0.057360,4.011274,1,0.576429,-0.371112,3.363037,0.629123,-0.342522,3.381493,0.634838,-0.310370,3.447524,0.691027,-0.298368,3.438434,0.699797,-0.288360,3.415747,0.696143,-0.282551,3.390808,0.677757,-0.285787,3.360013
16,0.666667,1,0.020802,-0.172597,3.965940,0.013130,-0.099435,3.988485,-0.034074,-0.041851,3.956731,-0.009342,-0.005118,4.006457,0.001679,0.001121,4.014121,0.018094,-0.010462,4.008716,0.041364,-0.036096,4.006063,1,0.555821,-0.348403,3.383008,0.608202,-0.318228,3.399619,0.622011,-0.272944,3.453631,0.670870,-0.268488,3.449276,0.678645,-0.261513,3.427885,0.677024,-0.260427,3.404750,0.664274,-0.268387,3.374411
17,0.708333,1,0.014413,-0.146133,3.947055,0.009727,-0.075906,3.977081,-0.039773,-0.018201,3.946813,-0.013992,0.017429,3.999448,-0.002962,0.024014,4.006921,0.014101,0.013395,4.000981,0.038057,-0.011358,3.997860,1,0.522637,-0.301958,3.400200,0.574853,-0.270522,3.426152,0.587437,-0.216321,3.471551,0.633452,-0.214547,3.472306,0.640854,-0.209328,3.452800,0.641930,-0.211799,3.431226,0.633188,-0.222768,3.400630
