frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,0.492186738,-0.048196067,3.624564842,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
2,0.041667,0.500176277,-0.053461038,3.624751405,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
3,0.083333,0.506402643,-0.061394625,3.624945626,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
4,0.125,0.514422490,-0.072619924,3.625118464,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
5,0.166667,0.526065859,-0.092696392,3.625248232,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
6,0.208333,0.539247585,-0.114682750,3.625369644,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
7,0.25,0.554994965,-0.140840905,3.625464327,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
8,0.291667,0.570584362,-0.166493690,3.625562231,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
9,0.333333,0.587307463,-0.187706449,3.625644565,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
10,0.375,0.603020764,-0.211320894,3.625673174,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
11,0.416667,0.616125854,-0.233751362,3.625641484,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
12,0.458333,0.616161627,-0.251172100,3.625625523,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
13,0.5,0.609822700,-0.263531324,3.625487296,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
14,0.541667,0.594109326,-0.267979650,3.625199410,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
15,0.583333,0.569223168,-0.263762030,3.624680303,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
16,0.625,0.538862013,-0.241014997,3.623870809,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
17,0.666667,0.495779417,-0.190199674,3.622825333,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
18,0.708333,0.448770200,-0.113477838,3.621404950,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
19,0.75,0.397874847,-0.010871877,3.619601780,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
20,0.791667,0.345105651,0.118919595,3.617469182,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
21,0.833333,0.236585224,0.278058545,3.615551453,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
22,0.875,0.117198182,0.436081396,3.614050921,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
23,0.916667,0.033742192,0.504136238,3.613744146,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
24,0.958333,-0.025520926,0.372696461,3.615894082,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
25,1.0,-0.078887264,0.268718903,3.618004398,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
26,1.041667,-0.161400468,0.165551667,3.620006018,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
27,1.083333,-0.250101908,0.086013030,3.621721001,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
28,1.125,-0.282901344,0.017478481,3.623323832,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
29,1.166667,-0.311054481,-0.039624328,3.624539959,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
30,1.208333,-0.338945267,-0.080306636,3.625356673,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
31,1.25,-0.358253668,-0.113160294,3.625827884,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
32,1.291667,-0.369166559,-0.135026899,3.625976221,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
33,1.333333,-0.371794847,-0.168738032,3.625738468,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
34,1.375,-0.365770693,-0.171373555,3.625255505,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
35,1.416667,-0.346179530,-0.163278704,3.624422852,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
36,1.458333,-0.317512545,-0.142388439,3.623167942,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
37,1.5,-0.285747917,-0.113792211,3.621394139,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
38,1.541667,-0.239791386,-0.058316250,3.619221827,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
39,1.583333,-0.147799483,0.041870101,3.616943222,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
40,1.625,0.004887573,0.186434686,3.614868494,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
41,1.666667,0.094530611,0.347853759,3.613143339,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
42,1.708333,0.199061483,0.488371991,3.612144758,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
43,1.75,0.270464181,0.403266064,3.614022022,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
44,1.791667,0.341379844,0.295112449,3.616278122,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
45,1.833333,0.396268134,0.169401900,3.618703237,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
46,1.875,0.528253344,0.083056872,3.620248488,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
47,1.916667,0.596946993,0.000972411,3.621965209,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
48,1.958333,0.655852375,-0.076844317,3.623167371,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
49,2.0,0.694237451,-0.137897262,3.623889995,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
50,2.041667,0.717933079,-0.177953172,3.624003969,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
51,2.083333,0.720373588,-0.194578381,3.623546066,1.0,0.0,0.0,0.0,0.12,generic_sequence_executor,generic-solve-0dac7bb06917
