frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,1737,,,,12955,,,0,0,0
2,1760,,,,12999,,,0,0,0
3,1763,,,,12916,,,0,0,0
4,1735,,,,13017,,,0,0,0
5,1749,,,,13159,,,0,0,0
6,1773,,,,13315,,,0,0,0
7,1773,,,,13354,,,0,0,0
8,1753,,,,13384,,,0,0,0
9,1731,,,,13299,,,0,0,0
10,1772,,,,13385,,,0,0,0
11,1727,,,,13543,,,0,0,0
12,1746,,,,13516,,,0,0,0
13,1728,,,,13367,,,0,0,0
14,1754,,,,13225,,,0,0,0
15,1716,,,,13446,,,0,0,0
16,1736,,,,13600,,,0,0,0
17,1737,,,,13610,,,0,0,0
18,1711,,,,13559,,,0,0,0
19,1795,,,,13706,,,0,0,0
20,1785,,,,13992,,,0,0,0
21,1759,,,,13736,,,0,0,0
22,1785,,,,13805,,,0,0,0
23,1782,,,,13694,,,0,0,0
24,1748,,,,13465,,,0,0,0
25,1795,,,,13022,,,0,0,0
26,1767,,,,12329,,,0,0,0
27,1792,,,,12065,,,0,0,0
28,1810,,,,12379,,,0,0,0
29,1762,,,,12377,,,0,0,0
30,1795,,,,12653,,,0,0,0
31,1781,,,,12809,,,0,0,0
32,1775,,,,12875,,,0,0,0
33,1750,,,,12805,,,0,0,0
34,1785,,,,12583,,,0,0,0
35,1801,,,,12431,,,0,0,0
36,1762,,,,12141,,,0,0,0
37,1748,,,,12017,,,0,0,0
38,1717,,,,12183,,,0,0,0
39,1758,,,,12265,,,0,0,0
40,1752,,,,13357,,,0,0,0
41,1799,,,,13859,,,0,0,0
42,1747,,,,13872,,,0,0,0
43,1787,,,,13794,,,0,0,0
44,1766,,,,13479,,,0,0,0
45,1781,,,,13558,,,0,0,0
46,1766,,,,13679,,,0,0,0
47,1783,,,,13680,,,0,0,0
48,1812,,,,13590,,,0,0,0
49,1804,,,,13426,,,0,0,0
50,1738,,,,13352,,,0,0,0
51,1760,,,,13378,,,0,0,0
52,1777,,,,13192,,,0,0,0
53,1776,,,,13100,,,0,0,0
54,1769,,,,13023,,,0,0,0
55,1791,,,,13115,,,0,0,0
56,1765,,,,12927,,,0,0,0
57,1734,,,,12789,,,0,0,0
58,1813,,,,12940,,,0,0,0
59,1745,,,,12688,,,0,0,0
60,1784,,,,12596,,,0,0,0
61,1780,,,,12740,,,0,0,0
62,1747,,,,12817,,,0,0,0
63,1757,,,,12792,,,0,0,0
64,1759,,,,12786,,,0,0,0
65,1784,,,,13151,,,0,0,0
66,1782,,,,13204,,,0,0,0
67,1806,,,,13214,,,0,0,0
68,1784,,,,13114,,,0,0,0
69,1790,,,,13112,,,0,0,0
70,1824,,,,13031,,,0,0,0
71,1789,,,,12734,,,0,0,0
72,1742,,,,12465,,,0,0,0
73,1775,,,,12251,,,0,0,0
74,1773,,,,12167,,,0,0,0
75,1713,,,,12084,,,0,0,0
76,1759,,,,13123,,,0,0,0
77,1829,,,,13420,,,0,0,0
78,1757,,,,13284,,,0,0,0
79,1767,,,,13120,,,0,0,0
80,1767,,,,13486,,,0,0,0
81,1758,,,,13805,,,0,0,0
82,1748,,,,13303,,,0,0,0
83,1776,,,,13370,,,0,0,0
84,1765,,,,13435,,,0,0,0
85,1754,,,,13434,,,0,0,0
86,1790,,,,13515,,,0,0,0
87,1762,,,,13448,,,0,0,0
88,1803,,,,13524,,,0,0,0
89,1762,,,,13487,,,0,0,0
90,1791,,,,13334,,,0,0,0
91,1760,,,,13370,,,0,0,0
92,1799,,,,13412,,,0,0,0
93,1757,,,,13455,,,0,0,0
94,1779,,,,13297,,,0,0,0
95,1785,,,,12613,,,0,0,0
96,1815,,,,12829,,,0,0,0
97,1776,,,,12812,,,0,0,0
98,1783,,,,12666,,,0,0,0
99,1740,,,,12421,,,0,0,0
100,1796,,,,12360,,,0,0,0
101,1800,,,,12619,,,0,0,0
102,1772,,,,12690,,,0,0,0
103,1731,,,,12593,,,0,0,0
104,1756,,,,12711,,,0,0,0
105,1769,,,,12604,,,0,0,0
106,1751,,,,12562,,,0,0,0
107,1742,,,,12386,,,0,0,0
108,1792,,,,12238,,,0,0,0
109,1753,,,,11978,,,0,0,0
110,1772,,,,11761,,,0,0,0
111,1718,,,,11628,,,0,0,0
112,1755,,,,11728,,,0,0,0
113,1733,,,,11935,,,0,0,0
114,1733,,,,11807,,,0,0,0
115,1748,,,,12088,,,0,0,0
116,1771,,,,12282,,,0,0,0
117,1770,,,,12322,,,0,0,0
118,1768,,,,12531,,,0,0,0
119,1749,,,,12558,,,0,0,0
120,1737,,,,12445,,,0,0,0
121,1724,,,,12278,,,0,0,0
122,1767,,,,12382,,,0,0,0
123,1776,,,,12460,,,0,0,0
124,1775,,,,12427,,,0,0,0
125,1747,,,,12402,,,0,0,0
126,1736,,,,12334,,,0,0,0
127,1767,,,,12355,,,0,0,0
128,1736,,,,12264,,,0,0,0
129,1787,,,,12375,,,0,0,0
130,1772,,,,12418,,,0,0,0
131,1802,,,,12573,,,0,0,0
132,1741,,,,12499,,,0,0,0
133,1784,,,,12509,,,0,0,0
134,1743,,,,12387,,,0,0,0
135,1788,,,,12331,,,0,0,0
