frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
1,0.000000,839.422,340.466,839.422,340.466,839.422,340.466,cotracker_sam2_mask_points,center,839.422,374.000,374.000,33.534,33.534,cotracker_bottom,,,stage2_contact_policy,2.434702,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.439460,2.434702,2.434702,2.434702,1.000000,0.000000,,0.000000,37.960
2,0.041667,842.652,338.340,842.652,338.340,842.652,338.340,cotracker_sam2_mask_points,center,842.652,368.426,368.426,30.086,30.086,cotracker_bottom,,,stage2_contact_policy,2.429944,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.429944,2.429944,2.429944,2.429944,1.000000,0.000000,,0.000000,36.507
3,0.083333,845.163,335.126,845.163,335.126,845.163,335.126,cotracker_sam2_mask_points,center,845.163,360.516,360.516,25.390,25.390,cotracker_bottom,,,stage2_contact_policy,2.399764,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.490223,2.399764,2.399764,2.399764,1.000000,0.000000,,0.000000,37.061
4,0.125000,848.402,330.582,848.402,330.582,848.402,330.582,cotracker_sam2_mask_points,center,848.402,351.058,351.058,20.476,20.476,cotracker_bottom,,,stage2_contact_policy,2.413435,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.321105,2.413435,2.413435,2.413435,1.000000,0.000000,,0.000000,36.598
5,0.166667,853.112,322.447,853.112,322.447,853.112,322.447,cotracker_sam2_mask_points,center,853.112,341.194,341.194,18.747,18.747,cotracker_bottom,,,stage2_contact_policy,2.380509,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.311898,2.380509,2.380509,2.380509,1.000000,0.000000,,0.000000,36.104
6,0.208333,858.444,313.544,858.444,313.544,858.444,313.544,cotracker_sam2_mask_points,center,858.444,329.284,329.284,15.740,15.740,cotracker_bottom,,,stage2_contact_policy,2.369584,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.369584,2.369584,2.369584,2.369584,1.000000,0.000000,,0.000000,36.437
7,0.250000,864.818,302.948,864.818,302.948,864.818,302.948,cotracker_sam2_mask_points,center,864.818,318.054,318.054,15.106,15.106,cotracker_bottom,,,stage2_contact_policy,2.356321,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.413435,2.356321,2.356321,2.356321,1.000000,0.000000,,0.000000,36.011
8,0.291667,871.126,292.557,871.126,292.557,871.126,292.557,cotracker_sam2_mask_points,center,871.126,307.303,307.303,14.746,14.746,cotracker_bottom,,,stage2_contact_policy,2.369584,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.380509,2.369584,2.369584,2.369584,1.000000,0.000000,,0.000000,35.772
9,0.333333,877.895,283.969,877.895,283.969,877.895,283.969,cotracker_sam2_mask_points,center,877.895,299.265,299.265,15.296,15.296,cotracker_bottom,,,stage2_contact_policy,2.380509,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.356321,2.380509,2.380509,2.380509,1.000000,0.000000,,0.000000,37.219
10,0.375000,884.257,274.403,884.257,274.403,884.257,274.403,cotracker_sam2_mask_points,center,884.257,292.514,292.514,18.111,18.111,cotracker_bottom,,,stage2_contact_policy,2.408149,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.352192,2.408149,2.408149,2.408149,1.000000,0.000000,,0.000000,35.571
