frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
1,0.000000,left,left,548.489,57.283,28.194815,28.194815,0.598591,0.340858,proposal,1,1
2,0.041667,left,left,548.798,57.155,29.687083,29.687083,0.798121,0.380591,proposal,1,1
3,0.083333,left,bottom,583.266,87.942,28.309926,28.309926,0.598591,0.339247,proposal,1,1
4,0.125000,left,bottom,582.106,87.969,26.939792,26.939792,0.399061,0.299174,proposal,1,1
5,0.166667,left,bottom,580.945,92.359,24.384967,24.384967,0.439636,0.351596,proposal,1,1
6,0.208333,left,bottom,580.501,100.364,22.311955,22.311955,0.586182,0.430959,proposal,1,1
7,0.250000,left,bottom,579.563,111.470,19.862519,19.862519,0.439636,0.431085,proposal,1,1
8,0.291667,left,bottom,577.793,126.511,14.041465,14.041465,0.493644,0.493644,soft,1,1
9,0.333333,left,bottom,575.911,145.020,14.566109,14.566109,0.528208,0.528208,soft,1,1
10,0.375000,right,bottom,575.761,160.002,22.455255,22.455255,1.000000,0.450263,soft,1,1
11,0.416667,right,right,605.834,121.958,30.000358,30.000358,1.000000,0.400701,proposal,1,1
12,0.458333,right,right,590.762,102.699,32.260955,32.260955,0.658905,0.308036,proposal,1,1
13,0.500000,right,right,575.339,79.575,36.825935,36.825935,0.749221,0.292602,proposal,1,1
14,0.541667,right,right,567.422,53.832,49.035475,49.035475,0.998961,0.313143,proposal,1,1
15,0.583333,left,right,567.000,27.841,61.909240,61.909240,0.831676,0.250988,proposal,1,1
16,0.625000,left,grid_10_09,551.718,24.230,47.753124,47.753124,0.623757,0.203422,none,1,1
17,0.666667,left,,,,inf,inf,0.415838,0.124751,none,0,0
18,0.708333,left,,,,inf,inf,0.000000,0.000000,none,0,0
19,0.750000,left,,,,inf,inf,0.180873,0.000000,none,0,0
20,0.791667,left,,,,inf,inf,0.000000,0.000000,none,0,0
21,0.833333,left,,,,inf,inf,0.000000,0.000000,none,0,0
22,0.875000,left,,,,inf,inf,0.000000,0.000000,none,0,0
23,0.916667,left,,,,inf,inf,0.000000,0.000000,none,0,0
24,0.958333,left,,,,inf,inf,0.000000,0.000000,none,0,0
25,1.000000,left,,,,inf,inf,0.026647,0.000000,none,0,0
26,1.041667,left,,,,inf,inf,0.352779,0.105834,none,0,0
27,1.083333,left,,,,inf,inf,0.529168,0.158750,none,0,0
28,1.125000,left,grid_10_09,587.243,30.904,118.418358,118.418358,0.705557,0.211667,none,0,0
29,1.166667,left,right,603.434,26.707,129.730150,129.730150,0.917711,0.158750,none,0,0
30,1.208333,left,left,551.888,56.064,102.083635,102.083635,0.352779,0.105834,none,0,0
31,1.250000,left,bottom,584.122,125.914,38.761418,38.761418,0.322565,0.150896,none,1,1
32,1.291667,left,bottom,582.196,165.197,18.429532,18.429532,1.000000,0.475307,soft,1,1
33,1.333333,left,left,555.899,141.191,14.287070,14.287070,1.000000,0.625894,soft,1,1
34,1.375000,left,left,553.054,123.711,19.054820,19.054820,1.000000,0.613413,soft,1,1
35,1.416667,right,bottom,572.295,136.304,23.911442,23.911442,0.748369,0.452108,soft,1,1
36,1.458333,left,bottom,563.846,106.970,28.448330,28.448330,0.595927,0.336524,proposal,1,1
37,1.500000,left,bottom,558.275,76.607,28.953894,28.953894,0.794569,0.389208,proposal,1,1
38,1.541667,left,bottom,554.983,51.898,31.636535,31.636535,0.815935,0.296152,proposal,1,1
39,1.583333,left,bottom,552.072,34.225,33.128870,33.128870,0.397285,0.220296,none,1,1
40,1.625000,left,bottom,549.536,21.082,40.205259,40.205259,0.045394,0.045394,none,0,0
41,1.666667,left,bottom,548.975,10.542,53.860485,53.860485,0.322565,0.103023,none,0,0
42,1.708333,left,bottom,546.937,7.733,65.973293,65.973293,0.483847,0.145820,none,0,0
43,1.750000,left,bottom,545.808,8.190,78.603148,78.603148,0.645129,0.193579,none,0,0
44,1.791667,left,bottom,545.016,12.331,87.941273,87.941273,0.483847,0.145158,none,0,0
45,1.833333,left,bottom,543.137,21.832,92.591226,92.591226,0.322565,0.096770,none,0,0
46,1.875000,left,bottom,540.282,37.988,90.029299,90.029299,0.523099,0.000002,none,0,0
47,1.916667,left,bottom,538.837,59.631,79.247932,79.247932,0.870670,0.085524,none,0,0
48,1.958333,left,bottom,537.717,85.766,59.724631,59.724631,0.499347,0.152041,none,0,0
49,2.000000,left,bottom,538.630,120.926,25.719731,25.719731,1.000000,0.422867,proposal,1,1
50,2.041667,left,bottom,536.019,134.740,10.289416,10.289416,1.000000,0.766705,strong,1,1
51,2.083333,left,bottom,536.568,117.019,25.216660,25.216660,1.000000,0.430860,proposal,1,1
52,2.125000,left,bottom,536.952,95.006,44.862399,44.862399,0.514490,0.178978,none,1,1
