frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
16,1,16,0.625000,anchor_contact_event,left_hand,0.203422,none,0.000000,0.203422,0.000000,0.623757,0.000000,0.000000
39,31,39,1.583333,anchor_contact_event,left_hand,0.220296,none,0.000000,0.220296,0.214385,0.397285,0.000000,0.000000
52,49,52,2.125000,anchor_contact_event,left_hand,0.178978,none,0.000000,0.178978,0.000000,0.514490,0.000000,0.000000
68,63,68,2.791667,anchor_contact_event,left_hand,0.176887,none,0.000000,0.176887,0.077682,0.480374,0.000000,0.000000
97,93,97,4.000000,anchor_contact_event,right_hand,0.385996,proposal,0.000000,0.385996,0.000000,0.497594,0.000000,0.000000
118,114,118,4.875000,anchor_contact_event,right_hand,0.214695,none,0.000000,0.214695,0.000000,0.600589,0.000000,0.000000
136,130,136,5.625000,anchor_contact_event,left_hand,0.243011,none,0.000000,0.243011,0.526552,0.607211,0.000000,0.000000
162,162,162,6.708333,plane_support_contact_event,fallback,1.000000,strong,1.000000,0.299913,1.000000,0.999709,0.000000,0.000000
184,184,189,7.625000,anchor_contact_event,left_hand,0.674707,soft,0.052444,0.674707,1.000000,0.499601,0.000000,0.000000
196,196,202,8.125000,anchor_contact_event,right_hand,0.465428,soft,1.000000,0.465428,0.000000,0.371594,0.000000,0.000000
199,199,199,8.250000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.437095,0.000000,0.557391,0.000000,0.000000
222,222,222,9.208333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.510852,0.229548,0.000000,0.000000,0.000000
228,227,228,9.458333,anchor_contact_event,left_hand,0.525679,soft,0.912485,0.525679,0.975512,0.000000,0.000000,0.000000
