human_part,human_side,object_part,start_frame,end_frame,n_frames,mean_contact_confidence,mean_surface_gap_m,mean_anchor_drift,source
hand,left,surface,1,3,3,1.0,0.0004036834630256154,,vlm_confirmed:human:hand:left->object:surface
hand,left,surface,10,15,6,1.0,6.364524407583393e-05,,vlm_confirmed:human:hand:left->object:surface
hand,left,surface,33,35,3,1.0,0.00015463307788724507,,vlm_confirmed:human:hand:left->object:surface
hand,left,surface,49,51,3,1.0,0.00022696555760966683,,vlm_confirmed:human:hand:left->object:surface
hand,left,surface,65,67,3,1.0,0.0002094104356382256,,vlm_confirmed:human:hand:left->object:surface
hand,left,surface,94,96,3,1.0,9.199172662677787e-05,,vlm_confirmed:human:hand:left->object:surface
hand,left,surface,114,116,3,1.0,5.642384279956142e-05,,vlm_confirmed:human:hand:left->object:surface
hand,left,surface,130,132,3,1.0,0.00013000290149319397,,vlm_confirmed:human:hand:left->object:surface
hand,left,surface,185,187,3,1.0,0.0002801698193234531,,vlm_confirmed:human:hand:left->object:surface
hand,right,surface,1,3,3,1.0,0.0005799157255287134,,vlm_confirmed:human:hand:right->object:surface
hand,right,surface,10,15,6,1.0,0.00022458383110591628,,vlm_confirmed:human:hand:right->object:surface
hand,right,surface,33,35,3,1.0,0.00010700541788486259,,vlm_confirmed:human:hand:right->object:surface
hand,right,surface,49,51,3,1.0,0.0005461289237654363,,vlm_confirmed:human:hand:right->object:surface
hand,right,surface,65,67,3,1.0,0.00020092038035169255,,vlm_confirmed:human:hand:right->object:surface
hand,right,surface,94,96,3,1.0,4.083437214946159e-05,,vlm_confirmed:human:hand:right->object:surface
hand,right,surface,114,116,3,1.0,0.0003205566867183714,,vlm_confirmed:human:hand:right->object:surface
hand,right,surface,130,132,3,1.0,0.0001831476765429804,,vlm_confirmed:human:hand:right->object:surface
hand,right,surface,185,187,3,1.0,0.00023427513639475174,,vlm_confirmed:human:hand:right->object:surface
