frame,time,human_part,human_side,object_part,object_local_id,expected,observed,persistent,rel_static,min_distance_m,surface_gap_m,penetration_depth_m,contact_confidence,contact_state,anchor_update_allowed,pose_anchor_allowed,stable_local_x,stable_local_y,stable_local_z,stable_local_s,observed_local_x,observed_local_y,observed_local_z,observed_local_s,contact_u,contact_v,contact_depth_offset_m,local_s_drift,source
1,0.000000,hand,left,surface,object:surface,1,1,0,0,0.00046053501459516333,0.00046053501459516333,,1.0,observed_anchor,1,1,,,,,,,,,552.5573769571129,85.18274783555415,0.00046053501459516333,,vlm_confirmed:human:hand:left->object:surface
1,0.000000,hand,right,surface,object:surface,1,1,0,0,0.0005922589610473191,0.0005922589610473191,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,615.2512885981176,100.92310930904966,0.0005922589610473191,,vlm_confirmed:human:hand:right->object:surface
2,0.041667,hand,left,surface,object:surface,1,1,1,0,0.00040778166693442296,0.00040778166693442296,,1.0,persistent_anchor,1,1,,,,,,,,,553.7639426373856,86.42379368418648,0.00040778166693442296,,vlm_confirmed:human:hand:left->object:surface
2,0.041667,hand,right,surface,object:surface,1,1,0,0,0.0005924540040999892,0.0005924540040999892,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,616.6138200642241,101.87333246946707,0.0005924540040999892,,vlm_confirmed:human:hand:right->object:surface
3,0.083333,hand,left,surface,object:surface,1,1,1,0,0.00034273370754725994,0.00034273370754725994,,1.0,persistent_anchor,1,1,,,,,,,,,555.0296783451566,89.98210432749227,0.00034273370754725994,,vlm_confirmed:human:hand:left->object:surface
3,0.083333,hand,right,surface,object:surface,1,1,0,0,0.0005550342114388319,0.0005550342114388319,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,617.6640105731998,105.53853218415179,0.0005550342114388319,,vlm_confirmed:human:hand:right->object:surface
10,0.375000,hand,left,surface,object:surface,1,1,0,0,4.122147231018245e-05,4.122147231018245e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,554.6296276144789,137.3984193058222,4.122147231018245e-05,,vlm_confirmed:human:hand:left->object:surface
10,0.375000,hand,right,surface,object:surface,1,1,0,0,4.584871144354292e-06,4.584871144354292e-06,,1.0,observed_anchor,1,1,,,,,,,,,597.4627579617191,154.23379744917392,4.584871144354292e-06,,vlm_confirmed:human:hand:right->object:surface
11,0.416667,hand,left,surface,object:surface,1,1,0,0,0.00011521260520291274,0.00011521260520291274,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,545.6554409731846,129.74771364531722,0.00011521260520291274,,vlm_confirmed:human:hand:left->object:surface
11,0.416667,hand,right,surface,object:surface,1,1,1,0,0.0001161153865439679,0.0001161153865439679,,1.0,persistent_anchor,1,1,,,,,,,,,588.7618795642268,146.62709418118857,0.0001161153865439679,,vlm_confirmed:human:hand:right->object:surface
12,0.458333,hand,left,surface,object:surface,1,1,0,0,2.4244781125670826e-05,2.4244781125670826e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,535.4002715476385,116.66685845684131,2.4244781125670826e-05,,vlm_confirmed:human:hand:left->object:surface
12,0.458333,hand,right,surface,object:surface,1,1,1,0,0.00012912633170223835,0.00012912633170223835,,1.0,persistent_anchor,1,1,,,,,,,,,580.2072416790653,133.18450950909192,0.00012912633170223835,,vlm_confirmed:human:hand:right->object:surface
13,0.500000,hand,left,surface,object:surface,1,1,0,0,4.050774603253084e-05,4.050774603253084e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,526.3975003044818,98.51237507171737,4.050774603253084e-05,,vlm_confirmed:human:hand:left->object:surface
13,0.500000,hand,right,surface,object:surface,1,1,1,0,0.0003062045978140375,0.0003062045978140375,,1.0,persistent_anchor,1,1,,,,,,,,,575.8123782063129,116.3978919215136,0.0003062045978140375,,vlm_confirmed:human:hand:right->object:surface
14,0.541667,hand,left,surface,object:surface,1,1,0,0,3.905420231805354e-05,3.905420231805354e-05,,1.0,observed_no_pose_anchor,0,0,,,,,,,,,520.7018626863223,83.52911625774476,3.905420231805354e-05,,vlm_confirmed:human:hand:left->object:surface
14,0.541667,hand,right,surface,object:surface,1,1,1,0,0.0003608839744271467,0.0003608839744271467,,1.0,persistent_anchor,1,1,,,,,,,,,576.8452917307654,101.95350674256247,0.0003608839744271467,,vlm_confirmed:human:hand:right->object:surface
