frame,observed_mask,rendered_mask,iou,coverage,render_false_coverage,observed_area_px,rendered_area_px
1,samples_known_object/13_volleyball/results/segmentation/masks/00001_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00001_mask.pgm,0.879675647397332,0.895367412140575,0.019533527696793004,3756.0,3430.0
2,samples_known_object/13_volleyball/results/segmentation/masks/00002_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00002_mask.pgm,0.8871943202734683,0.9026217228464419,0.018900843268391976,3738.0,3439.0
3,samples_known_object/13_volleyball/results/segmentation/masks/00003_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00003_mask.pgm,0.893853305785124,0.8954721862871927,0.002018454440599769,3865.0,3468.0
4,samples_known_object/13_volleyball/results/segmentation/masks/00004_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00004_mask.pgm,0.8987927048548677,0.8987927048548677,0.0,3893.0,3499.0
5,samples_known_object/13_volleyball/results/segmentation/masks/00005_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00005_mask.pgm,0.8815,0.8815,0.0,4000.0,3526.0
6,samples_known_object/13_volleyball/results/segmentation/masks/00006_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00006_mask.pgm,0.8852581691194812,0.8852581691194812,0.0,4009.0,3549.0
7,samples_known_object/13_volleyball/results/segmentation/masks/00007_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00007_mask.pgm,0.8990687138182734,0.8990687138182734,0.0,3973.0,3572.0
8,samples_known_object/13_volleyball/results/segmentation/masks/00008_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00008_mask.pgm,0.9142930459327688,0.9185357050786285,0.00502652890254119,3879.0,3581.0
9,samples_known_object/13_volleyball/results/segmentation/masks/00009_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00009_mask.pgm,0.8868168868168869,0.9219170705438879,0.041164939792775135,3714.0,3571.0
10,samples_known_object/13_volleyball/results/segmentation/masks/00010_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00010_mask.pgm,0.7939685757729347,0.8842788597233983,0.11397058823529412,3543.0,3536.0
11,samples_known_object/13_volleyball/results/segmentation/masks/00011_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00011_mask.pgm,0.8006119326874044,0.8807854137447405,0.10208750357449242,3565.0,3497.0
12,samples_known_object/13_volleyball/results/segmentation/masks/00012_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00012_mask.pgm,0.8217661355657575,0.9450310559006211,0.13698241633579125,3220.0,3526.0
13,samples_known_object/13_volleyball/results/segmentation/masks/00013_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00013_mask.pgm,0.8453099286889743,0.9556589147286821,0.12018270054239223,3225.0,3503.0
14,samples_known_object/13_volleyball/results/segmentation/masks/00014_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00014_mask.pgm,0.8945002644103649,0.9153138528138528,0.024791006053617757,3696.0,3469.0
15,samples_known_object/13_volleyball/results/segmentation/masks/00015_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00015_mask.pgm,0.8946574102022337,0.9610894941634242,0.07171938615721891,3084.0,3193.0
16,samples_known_object/13_volleyball/results/segmentation/masks/00016_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00016_mask.pgm,0.5314262691377921,0.9992424242424243,0.4683595324465941,1320.0,2481.0
17,samples_known_object/13_volleyball/results/segmentation/masks/00017_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00017_mask.pgm,0.09284232365145229,1.0,0.9071576763485477,179.0,1928.0
18,samples_known_object/13_volleyball/results/segmentation/masks/00018_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00018_mask.pgm,0.0,,1.0,0.0,661.0
19,samples_known_object/13_volleyball/results/segmentation/masks/00019_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00019_mask.pgm,0.0,,1.0,0.0,191.0
24,samples_known_object/13_volleyball/results/segmentation/masks/00024_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00024_mask.pgm,0.0,,1.0,0.0,87.0
25,samples_known_object/13_volleyball/results/segmentation/masks/00025_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00025_mask.pgm,0.0,,1.0,0.0,441.0
26,samples_known_object/13_volleyball/results/segmentation/masks/00026_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00026_mask.pgm,0.0,,1.0,0.0,1104.0
27,samples_known_object/13_volleyball/results/segmentation/masks/00027_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00027_mask.pgm,0.3600352112676056,1.0,0.6399647887323944,818.0,2272.0
28,samples_known_object/13_volleyball/results/segmentation/masks/00028_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00028_mask.pgm,0.746177370030581,0.974267968056788,0.2388214904679376,2254.0,2885.0
29,samples_known_object/13_volleyball/results/segmentation/masks/00029_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00029_mask.pgm,0.9475392103839914,0.950366151342555,0.0031294452347083927,3687.0,3515.0
30,samples_known_object/13_volleyball/results/segmentation/masks/00030_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00030_mask.pgm,0.8933673469387755,0.8933673469387755,0.0,3920.0,3502.0
31,samples_known_object/13_volleyball/results/segmentation/masks/00031_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00031_mask.pgm,0.8805555555555555,0.8805555555555555,0.0,3960.0,3487.0
32,samples_known_object/13_volleyball/results/segmentation/masks/00032_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00032_mask.pgm,0.8963785355537933,0.9150026983270373,0.022202998846597464,3706.0,3468.0
33,samples_known_object/13_volleyball/results/segmentation/masks/00033_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00033_mask.pgm,0.8919502971366828,0.9351458510337015,0.049236970918514256,3531.0,3473.0
34,samples_known_object/13_volleyball/results/segmentation/masks/00034_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00034_mask.pgm,0.8769883351007424,0.9302587176602924,0.06129398410896708,3556.0,3524.0
35,samples_known_object/13_volleyball/results/segmentation/masks/00035_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00035_mask.pgm,0.8733724789379628,0.9062251655629139,0.039854055571147906,3775.0,3563.0
36,samples_known_object/13_volleyball/results/segmentation/masks/00036_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00036_mask.pgm,0.8861104233721218,0.8883097542814594,0.0027862914460852605,4029.0,3589.0
37,samples_known_object/13_volleyball/results/segmentation/masks/00037_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00037_mask.pgm,0.914795918367347,0.9194871794871795,0.005546311702717693,3900.0,3606.0
38,samples_known_object/13_volleyball/results/segmentation/masks/00038_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00038_mask.pgm,0.8941574936494496,0.946236559139785,0.05798394290811775,3348.0,3363.0
39,samples_known_object/13_volleyball/results/segmentation/masks/00039_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00039_mask.pgm,0.694868238557559,0.9690522243713733,0.28936170212765955,2068.0,2820.0
40,samples_known_object/13_volleyball/results/segmentation/masks/00040_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00040_mask.pgm,0.4238329238329238,1.0,0.5761670761670762,1035.0,2442.0
41,samples_known_object/13_volleyball/results/segmentation/masks/00041_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00041_mask.pgm,0.26215356656065425,1.0,0.7378464334393458,577.0,2201.0
42,samples_known_object/13_volleyball/results/segmentation/masks/00042_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00042_mask.pgm,0.19915254237288135,1.0,0.8008474576271186,423.0,2124.0
43,samples_known_object/13_volleyball/results/segmentation/masks/00043_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00043_mask.pgm,0.23261169967756795,1.0,0.7673883003224321,505.0,2171.0
44,samples_known_object/13_volleyball/results/segmentation/masks/00044_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00044_mask.pgm,0.37383177570093457,1.0,0.6261682242990654,880.0,2354.0
45,samples_known_object/13_volleyball/results/segmentation/masks/00045_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00045_mask.pgm,0.6116611661166117,0.9904988123515439,0.3847288823312431,1684.0,2711.0
46,samples_known_object/13_volleyball/results/segmentation/masks/00046_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00046_mask.pgm,0.8410876132930514,0.9659958362248439,0.13325031133250312,2882.0,3212.0
47,samples_known_object/13_volleyball/results/segmentation/masks/00047_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00047_mask.pgm,0.9438841479182829,0.9468223086900129,0.0032768978700163844,3855.0,3662.0
48,samples_known_object/13_volleyball/results/segmentation/masks/00048_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00048_mask.pgm,0.9491219008264463,0.9491219008264463,0.0,3872.0,3675.0
49,samples_known_object/13_volleyball/results/segmentation/masks/00049_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00049_mask.pgm,0.9353767560664112,0.9353767560664112,0.0,3915.0,3662.0
50,samples_known_object/13_volleyball/results/segmentation/masks/00050_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00050_mask.pgm,0.9249226006191951,0.9387274155538099,0.015650741350906095,3819.0,3642.0
51,samples_known_object/13_volleyball/results/segmentation/masks/00051_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00051_mask.pgm,0.9442262372348782,0.948198790428609,0.004417448923246825,3803.0,3622.0
52,samples_known_object/13_volleyball/results/segmentation/masks/00052_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00052_mask.pgm,0.9081735620585267,0.9081735620585267,0.0,3964.0,3600.0
53,samples_known_object/13_volleyball/results/segmentation/masks/00053_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00053_mask.pgm,0.9150393101699213,0.9150393101699213,0.0,3943.0,3608.0
54,samples_known_object/13_volleyball/results/segmentation/masks/00054_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00054_mask.pgm,0.9508716323296355,0.9518773135906927,0.0011098779134295228,3782.0,3604.0
55,samples_known_object/13_volleyball/results/segmentation/masks/00055_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00055_mask.pgm,0.958691433324092,0.9683562027443293,0.01030337721808815,3571.0,3494.0
56,samples_known_object/13_volleyball/results/segmentation/masks/00056_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00056_mask.pgm,0.9111493264545715,0.9624583711777173,0.05527488855869242,3303.0,3365.0
57,samples_known_object/13_volleyball/results/segmentation/masks/00057_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00057_mask.pgm,0.896320093457944,0.9611650485436893,0.07,3193.0,3300.0
58,samples_known_object/13_volleyball/results/segmentation/masks/00058_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00058_mask.pgm,0.9132783622405459,0.954248366013072,0.044900386559619386,3366.0,3363.0
59,samples_known_object/13_volleyball/results/segmentation/masks/00059_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00059_mask.pgm,0.9538629538629538,0.9567360350492881,0.003138373751783167,3652.0,3505.0
60,samples_known_object/13_volleyball/results/segmentation/masks/00060_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00060_mask.pgm,0.9200205075621636,0.9200205075621636,0.0,3901.0,3589.0
61,samples_known_object/13_volleyball/results/segmentation/masks/00061_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00061_mask.pgm,0.9290155440414508,0.9290155440414508,0.0,3860.0,3586.0
62,samples_known_object/13_volleyball/results/segmentation/masks/00062_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00062_mask.pgm,0.9115628970775095,0.9115628970775095,0.0,3935.0,3587.0
63,samples_known_object/13_volleyball/results/segmentation/masks/00063_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00063_mask.pgm,0.9022613065326633,0.9024880623272179,0.00027839643652561246,3979.0,3592.0
64,samples_known_object/13_volleyball/results/segmentation/masks/00064_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00064_mask.pgm,0.9035110533159948,0.9321169841695733,0.03285077951002227,3727.0,3592.0
65,samples_known_object/13_volleyball/results/segmentation/masks/00065_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00065_mask.pgm,0.9007150715071507,0.9846662657847264,0.08647140864714087,3326.0,3585.0
66,samples_known_object/13_volleyball/results/segmentation/masks/00066_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00066_mask.pgm,0.8939765603706732,0.9735826654793708,0.08379888268156424,3369.0,3580.0
67,samples_known_object/13_volleyball/results/segmentation/masks/00067_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00067_mask.pgm,0.8935135135135135,0.9630061170987475,0.07472712006717044,3433.0,3573.0
68,samples_known_object/13_volleyball/results/segmentation/masks/00068_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00068_mask.pgm,0.9115918803418803,0.9509612705488995,0.04344170403587444,3589.0,3568.0
69,samples_known_object/13_volleyball/results/segmentation/masks/00069_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00069_mask.pgm,0.8911511354737667,0.9294854342499319,0.044232922732362824,3673.0,3572.0
70,samples_known_object/13_volleyball/results/segmentation/masks/00070_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00070_mask.pgm,0.9240305987865999,0.9343825020005335,0.011847672778561354,3749.0,3545.0
71,samples_known_object/13_volleyball/results/segmentation/masks/00071_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00071_mask.pgm,0.7093103448275863,0.9827998088867654,0.2817737430167598,2093.0,2864.0
72,samples_known_object/13_volleyball/results/segmentation/masks/00072_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00072_mask.pgm,0.26988382484361034,1.0,0.7301161751563896,604.0,2238.0
73,samples_known_object/13_volleyball/results/segmentation/masks/00073_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00073_mask.pgm,0.0,,1.0,0.0,1263.0
74,samples_known_object/13_volleyball/results/segmentation/masks/00074_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00074_mask.pgm,0.0,,1.0,0.0,541.0
75,samples_known_object/13_volleyball/results/segmentation/masks/00075_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00075_mask.pgm,0.0,,1.0,0.0,92.0
84,samples_known_object/13_volleyball/results/segmentation/masks/00084_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00084_mask.pgm,0.0,,1.0,0.0,234.0
85,samples_known_object/13_volleyball/results/segmentation/masks/00085_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00085_mask.pgm,0.0,,1.0,0.0,788.0
86,samples_known_object/13_volleyball/results/segmentation/masks/00086_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00086_mask.pgm,0.300944669365722,1.0,0.699055330634278,669.0,2223.0
87,samples_known_object/13_volleyball/results/segmentation/masks/00087_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00087_mask.pgm,0.6605339105339105,0.9902650081124933,0.33514887436456064,1849.0,2754.0
88,samples_known_object/13_volleyball/results/segmentation/masks/00088_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00088_mask.pgm,0.9084259801053247,0.9700093720712277,0.06532209512341963,3201.0,3322.0
89,samples_known_object/13_volleyball/results/segmentation/masks/00089_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00089_mask.pgm,0.9251170046801872,0.9253576072821846,0.0002809778027535825,3845.0,3559.0
90,samples_known_object/13_volleyball/results/segmentation/masks/00090_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00090_mask.pgm,0.8912333584526501,0.8912333584526501,0.0,3981.0,3548.0
