frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,-0.172911654,-0.871856745,4.667910594,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
2,0.041667,-0.168726630,-0.866946373,4.659931069,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
3,0.083333,-0.163770362,-0.854791961,4.642083619,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
4,0.125,-0.173044657,-0.967701051,4.621084826,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
5,0.166667,-0.174409453,-0.952455419,4.602798938,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
6,0.208333,-0.174247797,-0.925225109,4.586639785,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
7,0.25,-0.175636748,-0.887255654,4.574670520,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
8,0.291667,-0.175962826,-0.837620691,4.569704756,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
9,0.333333,-0.176220501,-0.786029707,4.575104308,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
10,0.375,-0.172159336,-0.735662805,4.594950299,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
11,0.416667,-0.203739023,-0.754402232,4.632460597,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
12,0.458333,-0.233302988,-0.807747452,4.609628635,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
13,0.5,-0.260405277,-0.855115742,4.618430999,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
14,0.541667,-0.275320245,-0.889422595,4.636341421,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
15,0.583333,-0.267578685,-0.915016400,4.633362534,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
16,0.625,-0.282617299,-1.100395629,4.629012196,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
17,0.666667,-0.275211016,-1.127495348,4.628873776,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
18,0.708333,-0.269822145,-1.189381165,4.627968953,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
19,0.75,-0.264095191,-1.219160586,4.627185981,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
20,0.791667,-0.258216661,-1.239224818,4.625563941,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
21,0.833333,-0.252176041,-1.249705418,4.622854957,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
22,0.875,-0.245978208,-1.250570614,4.619014974,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
23,0.916667,-0.239631055,-1.241890678,4.614226245,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
24,0.958333,-0.233170666,-1.223821217,4.608936919,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
25,1.0,-0.226631134,-1.196600629,4.603894651,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
26,1.041667,-0.220041009,-1.160417157,4.600155056,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
27,1.083333,-0.208652303,-1.105000081,4.599288755,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
28,1.125,-0.203753946,-1.074439558,4.601678406,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
29,1.166667,-0.199500450,-1.024940543,4.608968110,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
30,1.208333,-0.196016342,-0.934713923,4.620799659,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
31,1.25,-0.192418039,-0.830192624,4.633606201,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
32,1.291667,-0.187646420,-0.720272194,4.641533539,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
33,1.333333,-0.161753094,-0.647530616,4.635791252,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
34,1.375,-0.181257642,-0.702166386,4.604807677,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
35,1.416667,-0.207954612,-0.757581396,4.576626288,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
36,1.458333,-0.213381673,-0.882137796,4.559573758,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
37,1.5,-0.225899429,-0.977067340,4.551519655,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
38,1.541667,-0.235668630,-1.036813881,4.549263289,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
39,1.583333,-0.239183955,-1.068540725,4.549918484,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
40,1.625,-0.240616133,-1.087742689,4.551032530,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
41,1.666667,-0.246216594,-1.098945326,4.550993598,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
42,1.708333,-0.245835507,-1.102238141,4.548923307,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
43,1.75,-0.246674307,-1.098953522,4.544407525,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
44,1.791667,-0.247471497,-1.089052656,4.537615948,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
45,1.833333,-0.247216386,-1.070191709,4.529287485,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
46,1.875,-0.250600622,-1.042327012,4.520625042,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
47,1.916667,-0.254883415,-0.998102572,4.513563651,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
48,1.958333,-0.257710830,-0.912671455,4.510962166,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
49,2.0,-0.207719724,-0.680063090,4.517937974,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
50,2.041667,-0.218748653,-0.678596967,4.531069800,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
51,2.083333,-0.220374181,-0.673531228,4.541813756,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
52,2.125,-0.256968604,-0.888416864,4.546119663,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
53,2.166667,-0.250867972,-0.949347202,4.551024242,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
54,2.208333,-0.243431339,-0.998071376,4.554491972,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
55,2.25,-0.238681600,-1.026763982,4.557206175,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
56,2.291667,-0.233030255,-1.038547621,4.559474959,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
57,2.333333,-0.226839281,-1.042842156,4.561269274,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
58,2.375,-0.220910683,-1.038943138,4.562613832,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
59,2.416667,-0.215335971,-1.027049807,4.563465150,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
60,2.458333,-0.207993579,-1.002483501,4.563901510,1.0,0.0,0.0,0.0,0.105,generic_sequence_executor,generic-solve-cdcb0ce16742
