frame,stage,constraint,active,weight,source_gate,reason
1,stage1,keypart_identity_check,1,,pass,ball_center
121,stage1,keypart_identity_check,1,,pass,ball_center
240,stage1,keypart_identity_check,1,,pass,ball_center
1,stage1,track_stability_check,1,,pass,stable
121,stage1,track_stability_check,1,,pass,stable
240,stage1,track_stability_check,1,,pass,stable
22,stage1,keypart_visibility_check,1,,pass,out_of_frame
79,stage1,keypart_visibility_check,1,,pass,out_of_frame
142,stage1,keypart_visibility_check,1,,reject,detection_failure
161,stage1,keypart_visibility_check,1,,pass,out_of_frame
1,stage2,contact_relation_check,1,,pass,left_hand
68,stage2,contact_relation_check,1,,pass,left_hand
228,stage2,contact_relation_check,1,,pass,left_hand
121,stage2,contact_relation_check,1,,pass,both_hands
240,stage2,contact_relation_check,1,,pass,left_hand
1,stage2,keypart_visibility_check,1,,pass,out_of_frame
68,stage2,keypart_visibility_check,1,,pass,out_of_frame
228,stage2,keypart_visibility_check,1,,pass,visible
121,stage2,keypart_visibility_check,1,,pass,visible
240,stage2,keypart_visibility_check,1,,pass,visible
1,stage3,overlay_alignment_check,1,,pass,aligned
121,stage3,overlay_alignment_check,1,,unclear,unclear
240,stage3,overlay_alignment_check,1,,pass,aligned
1,stage4,anchor_update_check,1,,pass,no_change
2,stage4,contact_relation_check,1,,pass,left_hand
11,stage4,contact_relation_check,1,,pass,left_hand
14,stage4,contact_relation_check,1,,pass,left_hand
34,stage4,contact_relation_check,1,,pass,both_hands
50,stage4,contact_relation_check,1,,pass,left_hand
66,stage4,contact_relation_check,1,,pass,both_hands
95,stage4,contact_relation_check,1,,pass,left_hand
115,stage4,contact_relation_check,1,,pass,left_hand
131,stage4,contact_relation_check,1,,pass,both_hands
186,stage4,contact_relation_check,1,,pass,left_hand
1,stage4,overlay_alignment_check,1,,pass,aligned
1,stage4,temporal_motion_check,1,,unclear,unclear
15,stage4,constraint_reliability_check,1,,pass,both_consistent
31,stage4,constraint_reliability_check,1,,pass,both_consistent
52,stage4,constraint_reliability_check,1,,pass,both_consistent
63,stage4,constraint_reliability_check,1,,pass,both_consistent
97,stage4,constraint_reliability_check,1,,pass,both_consistent
114,stage4,constraint_reliability_check,1,,pass,both_consistent
130,stage4,constraint_reliability_check,1,,pass,both_consistent
162,stage4,constraint_reliability_check,1,,unclear,unclear
185,stage4,constraint_reliability_check,1,,pass,both_consistent
202,stage4,constraint_reliability_check,1,,pass,both_consistent
222,stage4,constraint_reliability_check,1,,pass,both_consistent
228,stage4,constraint_reliability_check,1,,pass,both_consistent
