frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,1052,98323,939,0.892586,557,557,1.000000,1,1,0
2,1055,98739,952,0.902370,512,512,1.000000,1,1,0
3,1068,97878,885,0.828652,494,494,1.000000,1,1,0
4,1069,99409,998,0.933583,776,776,1.000000,1,1,0
5,1100,99303,952,0.865455,785,785,1.000000,1,1,0
6,1065,98683,1012,0.950235,861,861,1.000000,1,1,0
7,1085,99239,1014,0.934562,798,798,1.000000,1,1,0
8,1084,97666,993,0.916052,810,810,1.000000,1,1,0
9,1076,95834,956,0.888476,757,757,1.000000,1,1,0
10,1066,95579,942,0.883677,752,752,1.000000,1,1,0
11,1078,93758,972,0.901670,746,746,1.000000,1,1,0
12,1087,96316,1047,0.963201,868,868,1.000000,1,1,0
13,1057,96089,1030,0.974456,711,711,1.000000,1,1,0
14,1059,98300,926,0.874410,921,921,1.000000,1,1,0
15,1054,98219,711,0.674573,751,751,1.000000,1,1,0
16,758,98098,502,0.662269,719,719,1.000000,1,1,0
17,595,95864,189,0.317647,338,338,1.000000,1,1,0
18,227,94842,0,0.000000,0,0,,1,1,0
19,74,95255,0,0.000000,0,0,,1,1,0
20,5,93372,0,0.000000,0,0,,1,1,0
21,0,92957,0,,0,0,,1,1,0
22,0,92896,0,,0,0,,1,1,0
23,0,91793,0,,0,0,,1,1,0
24,54,92854,0,0.000000,0,0,,1,1,0
25,168,93014,0,0.000000,0,0,,1,1,0
26,339,91325,0,0.000000,0,0,,1,1,0
27,704,94191,350,0.497159,255,255,1.000000,1,1,0
28,865,96350,607,0.701734,423,423,1.000000,1,1,0
29,1078,97200,782,0.725417,502,502,1.000000,1,1,0
30,1045,99412,895,0.856459,752,752,1.000000,1,1,0
31,1069,98332,803,0.751169,602,602,1.000000,1,1,0
32,1022,96429,889,0.869863,809,809,1.000000,1,1,0
33,1055,93418,1016,0.963033,602,602,1.000000,1,1,0
34,1056,94498,1047,0.991477,888,888,1.000000,1,1,0
35,1053,95811,1034,0.981956,861,861,1.000000,1,1,0
36,1101,94883,1087,0.987284,1047,1047,1.000000,1,1,0
37,1113,98018,1002,0.900270,978,978,1.000000,1,1,0
38,1035,98294,978,0.944928,784,784,1.000000,1,1,0
39,866,98402,635,0.733256,769,769,1.000000,1,1,0
40,741,96897,570,0.769231,814,814,1.000000,1,1,0
41,676,96079,344,0.508876,465,465,1.000000,1,1,0
42,637,93976,344,0.540031,499,499,1.000000,1,1,0
43,662,97170,363,0.548338,518,518,1.000000,1,1,0
44,720,96068,429,0.595833,599,599,1.000000,1,1,0
45,792,97259,567,0.715909,662,662,1.000000,1,1,0
46,966,98772,820,0.848861,741,741,1.000000,1,1,0
47,1130,98646,883,0.781416,903,903,1.000000,1,1,0
48,1121,99776,939,0.837645,930,930,1.000000,1,1,0
49,1101,99549,1048,0.951862,1086,1086,1.000000,1,1,0
50,1088,97991,1043,0.958640,548,548,1.000000,1,1,0
51,1094,99405,928,0.848263,583,583,1.000000,1,1,0
52,1094,101079,933,0.852834,973,973,1.000000,1,1,0
53,1097,99509,690,0.628988,652,652,1.000000,1,1,0
54,1073,100537,727,0.677540,726,726,1.000000,1,1,0
55,1040,98688,644,0.619231,431,431,1.000000,1,1,0
56,1019,98928,745,0.731109,529,529,1.000000,1,1,0
57,1016,98878,542,0.533465,486,486,1.000000,1,1,0
58,1022,98178,608,0.594912,474,474,1.000000,1,1,0
59,1065,99017,485,0.455399,328,328,1.000000,1,1,0
60,1078,100874,643,0.596475,393,393,1.000000,1,1,0
61,1096,98733,503,0.458942,342,342,1.000000,1,1,0
62,1065,98352,654,0.614085,441,441,1.000000,1,1,0
63,1092,98704,681,0.623626,377,377,1.000000,1,1,0
64,1063,95377,758,0.713076,424,424,1.000000,1,1,0
65,1084,94323,942,0.869004,515,515,1.000000,1,1,0
66,1059,95150,846,0.798867,476,476,1.000000,1,1,0
67,1108,97008,1008,0.909747,575,575,1.000000,1,1,0
68,1040,97659,847,0.814423,670,670,1.000000,1,1,0
69,1071,101358,937,0.874883,677,677,1.000000,1,1,0
70,1077,100433,761,0.706592,571,571,1.000000,1,1,0
71,882,100989,633,0.717687,754,754,1.000000,1,1,0
72,692,98275,352,0.508671,623,623,1.000000,1,1,0
73,384,95852,0,0.000000,0,0,,1,1,0
74,192,95202,0,0.000000,0,0,,1,1,0
75,47,95171,0,0.000000,0,0,,1,1,0
76,0,94792,0,,0,0,,1,1,0
77,0,95206,0,,0,0,,1,1,0
78,0,94456,0,,0,0,,1,1,0
79,0,95497,0,,0,0,,1,1,0
80,0,94822,0,,0,0,,1,1,0
81,0,96517,0,,0,0,,1,1,0
82,0,95426,0,,0,0,,1,1,0
83,0,96333,0,,0,0,,1,1,0
84,85,95292,0,0.000000,0,0,,1,1,0
85,249,95203,0,0.000000,0,0,,1,1,0
86,677,96749,417,0.615953,578,578,1.000000,1,1,0
87,839,96874,572,0.681764,632,632,1.000000,1,1,0
88,1011,99547,703,0.695351,633,633,1.000000,1,1,0
89,1082,101633,861,0.795749,842,842,1.000000,1,1,0
90,1086,101303,913,0.840700,897,897,1.000000,1,1,0
91,1092,101773,849,0.777473,859,859,1.000000,1,1,0
92,1068,99756,937,0.877341,823,823,1.000000,1,1,0
93,1070,97511,1014,0.947664,1005,1005,1.000000,1,1,0
94,1076,96964,992,0.921933,548,548,1.000000,1,1,0
95,1066,97192,929,0.871482,484,484,1.000000,1,1,0
96,1074,97608,1009,0.939479,651,651,1.000000,1,1,0
97,1074,98350,1042,0.970205,824,824,1.000000,1,1,0
98,1080,99089,919,0.850926,775,775,1.000000,1,1,0
99,1070,100803,922,0.861682,831,831,1.000000,1,1,0
100,1080,102187,934,0.864815,810,810,1.000000,1,1,0
101,965,100923,777,0.805181,559,559,1.000000,1,1,0
102,862,101188,710,0.823666,653,653,1.000000,1,1,0
103,755,98982,447,0.592053,663,663,1.000000,1,1,0
104,693,98892,368,0.531025,660,660,1.000000,1,1,0
105,647,97273,351,0.542504,639,639,1.000000,1,1,0
106,649,97409,349,0.537750,628,628,1.000000,1,1,0
107,690,95662,340,0.492754,587,587,1.000000,1,1,0
108,772,96583,472,0.611399,637,637,1.000000,1,1,0
109,859,98417,575,0.669383,617,617,1.000000,1,1,0
110,979,100279,879,0.897855,739,739,1.000000,1,1,0
111,1099,101075,936,0.851683,872,872,1.000000,1,1,0
112,1089,101612,1037,0.952250,962,962,1.000000,1,1,0
113,1070,102520,962,0.899065,944,944,1.000000,1,1,0
114,1088,99170,1025,0.942096,1404,1404,1.000000,1,1,0
115,1093,97885,1025,0.937786,484,484,1.000000,1,1,0
116,1072,97045,1019,0.950560,511,511,1.000000,1,1,0
117,1066,99928,899,0.843340,748,748,1.000000,1,1,0
118,1063,99943,725,0.682032,553,553,1.000000,1,1,0
119,1078,101169,683,0.633581,593,593,1.000000,1,1,0
120,1059,102171,922,0.870633,834,834,1.000000,1,1,0
121,1091,101041,801,0.734189,738,738,1.000000,1,1,0
122,1089,101550,934,0.857668,792,792,1.000000,1,1,0
123,1030,99312,549,0.533010,603,603,1.000000,1,1,0
124,1034,100960,923,0.892650,774,774,1.000000,1,1,0
125,1038,101305,884,0.851638,687,687,1.000000,1,1,0
126,1126,101589,985,0.874778,748,748,1.000000,1,1,0
127,1089,101532,890,0.817264,770,770,1.000000,1,1,0
128,1115,102406,1025,0.919283,861,861,1.000000,1,1,0
129,1086,102409,938,0.863720,909,909,1.000000,1,1,0
130,1072,100630,1072,1.000000,826,826,1.000000,1,1,0
131,1071,98419,929,0.867414,808,808,1.000000,1,1,0
132,1061,99275,958,0.902922,908,908,1.000000,1,1,0
133,1050,99552,849,0.808571,662,662,1.000000,1,1,0
134,1075,101267,897,0.834419,844,844,1.000000,1,1,0
135,1075,100857,772,0.718140,705,705,1.000000,1,1,0
136,962,98271,617,0.641372,558,558,1.000000,1,1,0
137,829,101029,673,0.811821,588,588,1.000000,1,1,0
138,679,98922,425,0.625920,484,484,1.000000,1,1,0
139,586,97489,85,0.145051,118,118,1.000000,1,1,0
140,593,97480,0,0.000000,0,0,,1,1,0
141,601,97985,0,0.000000,0,0,,1,1,0
142,619,97913,0,0.000000,0,0,,1,1,0
143,625,96092,0,0.000000,0,0,,1,1,0
144,646,94664,0,0.000000,0,0,,1,1,0
145,649,95425,370,0.570108,533,533,1.000000,1,1,0
146,775,94670,520,0.670968,557,557,1.000000,1,1,0
147,907,95470,610,0.672547,612,612,1.000000,1,1,0
148,1078,93427,764,0.708720,577,577,1.000000,1,1,0
149,1148,97373,945,0.823171,810,810,1.000000,1,1,0
150,1122,97422,984,0.877005,768,768,1.000000,1,1,0
151,1128,97386,1011,0.896277,806,806,1.000000,1,1,0
152,1131,100126,978,0.864721,806,806,1.000000,1,1,0
153,1145,100848,1071,0.935371,937,937,1.000000,1,1,0
154,1154,101436,1103,0.955806,1055,1055,1.000000,1,1,0
155,1141,101601,947,0.829974,859,859,1.000000,1,1,0
156,1123,104750,944,0.840606,639,639,1.000000,1,1,0
157,995,103867,973,0.977889,551,551,1.000000,1,1,0
158,769,101649,479,0.622887,190,190,1.000000,1,1,0
159,592,100150,0,0.000000,0,0,,1,1,0
160,436,98363,0,0.000000,0,0,,1,1,0
161,394,99986,146,0.370558,105,105,1.000000,1,1,0
162,365,101410,0,0.000000,0,0,,1,1,0
163,426,100025,0,0.000000,0,0,,1,1,0
164,569,98122,0,0.000000,0,0,,1,1,0
165,785,98705,472,0.601274,99,99,1.000000,1,1,0
166,953,99788,695,0.729276,368,368,1.000000,1,1,0
167,1148,100725,939,0.817944,719,719,1.000000,1,1,0
168,1147,101431,1067,0.930253,1062,1062,1.000000,1,1,0
169,1163,100342,1034,0.889080,1161,1161,1.000000,1,1,0
170,1123,97667,991,0.882458,994,994,1.000000,1,1,0
171,1107,98029,969,0.875339,962,962,1.000000,1,1,0
172,1127,99565,1079,0.957409,1043,1043,1.000000,1,1,0
173,1110,100030,1004,0.904505,993,993,1.000000,1,1,0
174,1142,97492,877,0.767951,573,573,1.000000,1,1,0
175,1137,98506,899,0.790677,773,773,1.000000,1,1,0
176,1140,99182,913,0.800877,860,860,1.000000,1,1,0
177,1150,99118,916,0.796522,882,882,1.000000,1,1,0
178,1123,101051,1035,0.921638,967,967,1.000000,1,1,0
179,1123,100461,785,0.699020,856,856,1.000000,1,1,0
180,1146,101159,1057,0.922339,1028,1028,1.000000,1,1,0
181,1118,102622,988,0.883721,962,962,1.000000,1,1,0
182,1116,102508,999,0.895161,934,934,1.000000,1,1,0
183,1086,101585,989,0.910681,956,956,1.000000,1,1,0
184,1068,97999,948,0.887640,1055,1055,1.000000,1,1,0
185,1088,97803,952,0.875000,797,797,1.000000,1,1,0
186,1089,96848,835,0.766758,790,790,1.000000,1,1,0
187,1097,98486,719,0.655424,749,749,1.000000,1,1,0
188,1088,98657,845,0.776654,619,619,1.000000,1,1,0
189,1101,98599,874,0.793824,688,688,1.000000,1,1,0
190,1102,98289,844,0.765880,663,663,1.000000,1,1,0
191,1090,98329,887,0.813761,863,863,1.000000,1,1,0
192,1089,98980,845,0.775941,868,868,1.000000,1,1,0
193,1064,97690,792,0.744361,764,764,1.000000,1,1,0
194,1069,97586,852,0.797007,992,992,1.000000,1,1,0
195,1088,96759,694,0.637868,787,787,1.000000,1,1,0
196,1075,94230,598,0.556279,740,740,1.000000,1,1,0
197,1072,94683,746,0.695896,935,935,1.000000,1,1,0
198,1071,95239,731,0.682540,865,865,1.000000,1,1,0
199,1070,95702,615,0.574766,717,717,1.000000,1,1,0
200,1058,94703,613,0.579395,716,716,1.000000,1,1,0
201,1071,93936,643,0.600373,760,760,1.000000,1,1,0
202,1086,94300,656,0.604052,765,765,1.000000,1,1,0
203,1087,93673,629,0.578657,794,794,1.000000,1,1,0
204,1073,94045,613,0.571295,787,787,1.000000,1,1,0
205,1096,93696,645,0.588504,797,797,1.000000,1,1,0
206,1084,92956,691,0.637454,853,853,1.000000,1,1,0
207,1095,93047,746,0.681279,845,845,1.000000,1,1,0
208,1085,93191,717,0.660829,849,849,1.000000,1,1,0
209,1111,92837,702,0.631863,792,792,1.000000,1,1,0
210,1091,93250,848,0.777269,928,928,1.000000,1,1,0
211,1093,92357,621,0.568161,662,662,1.000000,1,1,0
212,1077,94500,794,0.737233,772,772,1.000000,1,1,0
213,1088,93356,883,0.811581,697,697,1.000000,1,1,0
214,1096,93003,858,0.782847,551,551,1.000000,1,1,0
215,1088,93731,852,0.783088,451,451,1.000000,1,1,0
216,1073,95876,992,0.924511,551,551,1.000000,1,1,0
217,1079,94549,742,0.687674,263,263,1.000000,1,1,0
218,1087,92995,752,0.691812,271,271,1.000000,1,1,0
219,1073,93981,533,0.496738,110,110,1.000000,1,1,0
220,1082,95345,898,0.829945,313,313,1.000000,1,1,0
221,1075,93240,461,0.428837,72,72,1.000000,1,1,0
222,1075,92467,651,0.605581,138,138,1.000000,1,1,0
223,1081,92802,650,0.601295,170,170,1.000000,1,1,0
224,1088,92056,913,0.839154,478,478,1.000000,1,1,0
225,1095,91621,770,0.703196,461,461,1.000000,1,1,0
226,1090,93734,978,0.897248,603,603,1.000000,1,1,0
227,1095,90957,930,0.849315,583,583,1.000000,1,1,0
228,1085,91416,946,0.871889,704,704,1.000000,1,1,0
229,1117,93525,981,0.878245,796,796,1.000000,1,1,0
230,1083,96806,881,0.813481,798,798,1.000000,1,1,0
231,1071,98022,845,0.788982,761,761,1.000000,1,1,0
232,1109,98397,740,0.667268,622,622,1.000000,1,1,0
233,1060,100793,837,0.789623,663,663,1.000000,1,1,0
234,1117,102313,919,0.822739,763,763,1.000000,1,1,0
235,1108,102648,710,0.640794,547,547,1.000000,1,1,0
236,1083,102227,761,0.702678,586,586,1.000000,1,1,0
237,1101,101233,678,0.615804,501,501,1.000000,1,1,0
238,1096,101790,732,0.667883,459,459,1.000000,1,1,0
239,1101,100770,565,0.513170,311,311,1.000000,1,1,0
240,1090,103676,752,0.689908,460,460,1.000000,1,1,0
