frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,2300,,,,4210,,,0,0,0
2,2303,,,,4200,,,0,0,0
3,2267,,,,4145,,,0,0,0
4,2216,,,,4046,,,0,0,0
5,2242,,,,4147,,,0,0,0
6,2348,,,,4318,,,0,0,0
7,2322,,,,4287,,,0,0,0
8,2278,,,,4224,,,0,0,0
9,2411,,,,4449,,,0,0,0
10,2527,,,,4668,,,0,0,0
11,2504,,,,4600,,,0,0,0
12,2520,,,,4620,,,0,0,0
13,2523,,,,4648,,,0,0,0
14,2130,,,,3941,,,0,0,0
15,1549,,,,2871,,,0,0,0
16,1179,,,,2247,,,0,0,0
17,781,,,,1564,,,0,0,0
18,357,,,,733,,,0,0,0
19,242,,,,488,,,0,0,0
20,118,,,,238,,,0,0,0
21,77,,,,169,,,0,0,0
22,80,,,,157,,,0,0,0
23,92,,,,195,,,0,0,0
24,155,,,,326,,,0,0,0
25,308,,,,618,,,0,0,0
26,499,,,,997,,,0,0,0
27,917,,,,1754,,,0,0,0
28,1186,,,,2220,,,0,0,0
29,1497,,,,2814,,,0,0,0
30,1678,,,,3211,,,0,0,0
31,1801,,,,3363,,,0,0,0
32,2159,,,,4095,,,0,0,0
33,2313,,,,4283,,,0,0,0
34,2278,,,,4282,,,0,0,0
35,2330,,,,4278,,,0,0,0
36,2307,,,,4269,,,0,0,0
37,2101,,,,3850,,,0,0,0
38,1635,,,,3019,,,0,0,0
39,1389,,,,2570,,,0,0,0
40,1014,,,,1930,,,0,0,0
41,929,,,,1791,,,0,0,0
42,882,,,,1740,,,0,0,0
43,917,,,,1781,,,0,0,0
44,991,,,,1915,,,0,0,0
45,1145,,,,2168,,,0,0,0
46,1340,,,,2486,,,0,0,0
47,1554,,,,2938,,,0,0,0
48,1702,,,,3239,,,0,0,0
49,1859,,,,3453,,,0,0,0
50,1846,,,,3450,,,0,0,0
51,1861,,,,3460,,,0,0,0
52,1801,,,,3441,,,0,0,0
53,1833,,,,3471,,,0,0,0
54,1522,,,,2871,,,0,0,0
55,1417,,,,2670,,,0,0,0
56,1334,,,,2524,,,0,0,0
57,1310,,,,2496,,,0,0,0
58,1347,,,,2522,,,0,0,0
59,1380,,,,2603,,,0,0,0
60,1528,,,,2903,,,0,0,0
61,1640,,,,3126,,,0,0,0
62,1644,,,,3122,,,0,0,0
63,1844,,,,3467,,,0,0,0
64,2284,,,,4226,,,0,0,0
65,2332,,,,4318,,,0,0,0
66,2374,,,,4427,,,0,0,0
67,2400,,,,4466,,,0,0,0
68,2339,,,,4379,,,0,0,0
69,2329,,,,4326,,,0,0,0
70,1705,,,,3198,,,0,0,0
71,1274,,,,2403,,,0,0,0
72,1050,,,,2020,,,0,0,0
73,708,,,,1388,,,0,0,0
74,423,,,,832,,,0,0,0
75,298,,,,577,,,0,0,0
76,131,,,,267,,,0,0,0
77,73,,,,158,,,0,0,0
78,16,,,,27,,,0,0,0
79,0,,,,0,,,0,0,0
80,0,,,,0,,,0,0,0
81,18,,,,31,,,0,0,0
82,85,,,,162,,,0,0,0
83,137,,,,286,,,0,0,0
84,299,,,,607,,,0,0,0
85,472,,,,920,,,0,0,0
86,958,,,,1832,,,0,0,0
87,1135,,,,2157,,,0,0,0
88,1334,,,,2520,,,0,0,0
89,1575,,,,2990,,,0,0,0
90,1736,,,,3270,,,0,0,0
91,1801,,,,3372,,,0,0,0
92,2173,,,,4076,,,0,0,0
93,2289,,,,4304,,,0,0,0
94,2374,,,,4402,,,0,0,0
95,2407,,,,4446,,,0,0,0
96,2413,,,,4491,,,0,0,0
97,2427,,,,4477,,,0,0,0
98,2382,,,,4409,,,0,0,0
99,2353,,,,4335,,,0,0,0
100,1903,,,,3545,,,0,0,0
101,1544,,,,2809,,,0,0,0
102,1274,,,,2346,,,0,0,0
103,1028,,,,1995,,,0,0,0
104,853,,,,1688,,,0,0,0
105,837,,,,1645,,,0,0,0
106,826,,,,1637,,,0,0,0
107,871,,,,1712,,,0,0,0
108,948,,,,1871,,,0,0,0
109,1071,,,,2043,,,0,0,0
110,1280,,,,2435,,,0,0,0
111,1488,,,,2851,,,0,0,0
112,1572,,,,3034,,,0,0,0
113,1703,,,,3230,,,0,0,0
114,1987,,,,3725,,,0,0,0
115,2132,,,,4012,,,0,0,0
116,2108,,,,4012,,,0,0,0
117,2121,,,,3967,,,0,0,0
118,2136,,,,3965,,,0,0,0
119,1792,,,,3386,,,0,0,0
120,1743,,,,3314,,,0,0,0
121,1676,,,,3154,,,0,0,0
122,1532,,,,2855,,,0,0,0
123,1479,,,,2782,,,0,0,0
124,1465,,,,2761,,,0,0,0
125,1520,,,,2841,,,0,0,0
126,1553,,,,2925,,,0,0,0
127,1718,,,,3271,,,0,0,0
128,1764,,,,3324,,,0,0,0
129,1922,,,,3637,,,0,0,0
130,2271,,,,4239,,,0,0,0
131,2320,,,,4319,,,0,0,0
132,2314,,,,4317,,,0,0,0
133,2354,,,,4326,,,0,0,0
134,2337,,,,4328,,,0,0,0
135,1893,,,,3529,,,0,0,0
136,1573,,,,2928,,,0,0,0
137,1175,,,,2212,,,0,0,0
138,646,,,,1206,,,0,0,0
139,518,,,,1046,,,0,0,0
140,523,,,,1057,,,0,0,0
141,586,,,,1192,,,0,0,0
142,580,,,,1191,,,0,0,0
143,672,,,,1356,,,0,0,0
144,739,,,,1475,,,0,0,0
145,815,,,,1617,,,0,0,0
146,963,,,,1881,,,0,0,0
147,1122,,,,2162,,,0,0,0
148,1340,,,,2591,,,0,0,0
149,1480,,,,2899,,,0,0,0
150,1438,,,,2842,,,0,0,0
151,1439,,,,2832,,,0,0,0
152,1430,,,,2792,,,0,0,0
153,1423,,,,2766,,,0,0,0
154,1467,,,,2844,,,0,0,0
155,1453,,,,2843,,,0,0,0
156,1383,,,,2657,,,0,0,0
157,1185,,,,2135,,,0,0,0
158,935,,,,1652,,,0,0,0
159,709,,,,1165,,,0,0,0
160,525,,,,809,,,0,0,0
161,443,,,,782,,,0,0,0
162,414,,,,768,,,0,0,0
163,461,,,,753,,,0,0,0
164,633,,,,1072,,,0,0,0
165,840,,,,1474,,,0,0,0
166,1066,,,,1983,,,0,0,0
167,1274,,,,2484,,,0,0,0
168,1497,,,,2894,,,0,0,0
169,1510,,,,2921,,,0,0,0
170,1548,,,,2993,,,0,0,0
171,1514,,,,2923,,,0,0,0
172,1496,,,,2921,,,0,0,0
173,1508,,,,2948,,,0,0,0
174,1488,,,,2916,,,0,0,0
175,1563,,,,3025,,,0,0,0
176,1530,,,,3002,,,0,0,0
177,1542,,,,2969,,,0,0,0
178,1523,,,,2951,,,0,0,0
179,1515,,,,2957,,,0,0,0
180,1530,,,,2996,,,0,0,0
181,1621,,,,3151,,,0,0,0
182,1801,,,,3435,,,0,0,0
183,2165,,,,4064,,,0,0,0
184,2482,,,,4626,,,0,0,0
185,2497,,,,4605,,,0,0,0
186,2511,,,,4644,,,0,0,0
187,2496,,,,4655,,,0,0,0
188,2536,,,,4690,,,0,0,0
189,2436,,,,4591,,,0,0,0
190,2453,,,,4583,,,0,0,0
191,2454,,,,4598,,,0,0,0
192,2434,,,,4560,,,0,0,0
193,2424,,,,4550,,,0,0,0
194,2347,,,,4404,,,0,0,0
195,2298,,,,4296,,,0,0,0
196,2181,,,,4110,,,0,0,0
197,2169,,,,4109,,,0,0,0
198,2150,,,,4063,,,0,0,0
199,2130,,,,4009,,,0,0,0
200,2111,,,,4007,,,0,0,0
201,2117,,,,4027,,,0,0,0
202,2124,,,,4060,,,0,0,0
203,2175,,,,4148,,,0,0,0
204,2183,,,,4121,,,0,0,0
205,2216,,,,4161,,,0,0,0
206,2197,,,,4142,,,0,0,0
207,2219,,,,4190,,,0,0,0
208,2228,,,,4195,,,0,0,0
209,2204,,,,4141,,,0,0,0
210,2111,,,,4048,,,0,0,0
211,2116,,,,4001,,,0,0,0
212,2117,,,,3991,,,0,0,0
213,2073,,,,3952,,,0,0,0
214,2053,,,,3834,,,0,0,0
215,2012,,,,3777,,,0,0,0
216,2030,,,,3786,,,0,0,0
217,2031,,,,3801,,,0,0,0
218,2044,,,,3803,,,0,0,0
219,2095,,,,3846,,,0,0,0
220,2098,,,,3853,,,0,0,0
221,2123,,,,3902,,,0,0,0
222,2160,,,,3967,,,0,0,0
223,2155,,,,3954,,,0,0,0
224,2186,,,,4018,,,0,0,0
225,2169,,,,4023,,,0,0,0
226,2178,,,,4044,,,0,0,0
227,2428,,,,4428,,,0,0,0
228,2488,,,,4617,,,0,0,0
229,2514,,,,4645,,,0,0,0
230,2510,,,,4664,,,0,0,0
231,2528,,,,4693,,,0,0,0
232,2495,,,,4663,,,0,0,0
233,2153,,,,4046,,,0,0,0
234,1934,,,,3632,,,0,0,0
235,1934,,,,3658,,,0,0,0
236,1902,,,,3584,,,0,0,0
237,1817,,,,3451,,,0,0,0
238,1818,,,,3412,,,0,0,0
239,1769,,,,3334,,,0,0,0
240,1811,,,,3346,,,0,0,0
