frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,2300,98323,1287,0.559565,1150,1150,1.000000,1,1,0
2,2303,98739,1284,0.557534,1117,1117,1.000000,1,1,0
3,2267,97878,1349,0.595060,1166,1166,1.000000,1,1,0
4,2216,99409,1419,0.640343,1251,1251,1.000000,1,1,0
5,2242,99303,1330,0.593220,1422,1422,1.000000,1,1,0
6,2348,98683,1505,0.640971,1668,1668,1.000000,1,1,0
7,2322,99239,1413,0.608527,1542,1542,1.000000,1,1,0
8,2278,97666,1384,0.607550,1482,1482,1.000000,1,1,0
9,2411,95834,1409,0.584405,1388,1388,1.000000,1,1,0
10,2527,95579,1506,0.595964,1367,1367,1.000000,1,1,0
11,2504,93758,1378,0.550319,1353,1353,1.000000,1,1,0
12,2520,96316,1434,0.569048,1396,1396,1.000000,1,1,0
13,2523,96089,1357,0.537852,1247,1247,1.000000,1,1,0
14,2130,98300,1322,0.620657,1366,1366,1.000000,1,1,0
15,1549,98219,904,0.583602,794,794,1.000000,1,1,0
16,1179,98098,582,0.493639,938,938,1.000000,1,1,0
17,781,95864,198,0.253521,362,362,1.000000,1,1,0
18,357,94842,0,0.000000,0,0,,1,1,0
19,242,95255,0,0.000000,0,0,,1,1,0
20,118,93372,0,0.000000,0,0,,1,1,0
21,77,92957,0,0.000000,0,0,,1,1,0
22,80,92896,0,0.000000,0,0,,1,1,0
23,92,91793,0,0.000000,0,0,,1,1,0
24,155,92854,0,0.000000,0,0,,1,1,0
25,308,93014,0,0.000000,0,0,,1,1,0
26,499,91325,0,0.000000,0,0,,1,1,0
27,917,94191,348,0.379498,262,262,1.000000,1,1,0
28,1186,96350,549,0.462901,382,382,1.000000,1,1,0
29,1497,97200,979,0.653975,1005,1005,1.000000,1,1,0
30,1678,99412,1137,0.677592,1335,1335,1.000000,1,1,0
31,1801,98332,1082,0.600777,1180,1180,1.000000,1,1,0
32,2159,96429,1379,0.638722,1310,1310,1.000000,1,1,0
33,2313,93418,1588,0.686554,1469,1469,1.000000,1,1,0
34,2278,94498,1466,0.643547,1575,1575,1.000000,1,1,0
35,2330,95811,1453,0.623605,1498,1498,1.000000,1,1,0
36,2307,94883,1508,0.653663,1577,1577,1.000000,1,1,0
37,2101,98018,1471,0.700143,1601,1601,1.000000,1,1,0
38,1635,98294,1221,0.746789,1211,1211,1.000000,1,1,0
39,1389,98402,834,0.600432,1060,1060,1.000000,1,1,0
40,1014,96897,588,0.579882,850,850,1.000000,1,1,0
41,929,96079,343,0.369214,464,464,1.000000,1,1,0
42,882,93976,278,0.315193,371,371,1.000000,1,1,0
43,917,97170,282,0.307525,376,376,1.000000,1,1,0
44,991,96068,397,0.400605,550,550,1.000000,1,1,0
45,1145,97259,606,0.529258,687,687,1.000000,1,1,0
46,1340,98772,884,0.659701,917,917,1.000000,1,1,0
47,1554,98646,1008,0.648649,1273,1273,1.000000,1,1,0
48,1702,99776,1111,0.652761,1396,1396,1.000000,1,1,0
49,1859,99549,1339,0.720280,1577,1577,1.000000,1,1,0
50,1846,97991,1323,0.716685,1114,1114,1.000000,1,1,0
51,1861,99405,1281,0.688340,1115,1115,1.000000,1,1,0
52,1801,101079,1175,0.652415,1518,1518,1.000000,1,1,0
53,1833,99509,838,0.457174,992,992,1.000000,1,1,0
54,1522,100537,908,0.596583,1080,1080,1.000000,1,1,0
55,1417,98688,779,0.549753,815,815,1.000000,1,1,0
56,1334,98928,828,0.620690,810,810,1.000000,1,1,0
57,1310,98878,569,0.434351,619,619,1.000000,1,1,0
58,1347,98178,661,0.490720,685,685,1.000000,1,1,0
59,1380,99017,549,0.397826,622,622,1.000000,1,1,0
60,1528,100874,898,0.587696,974,974,1.000000,1,1,0
61,1640,98733,649,0.395732,783,783,1.000000,1,1,0
62,1644,98352,825,0.501825,934,934,1.000000,1,1,0
63,1844,98704,814,0.441432,798,798,1.000000,1,1,0
64,2284,95377,1205,0.527583,924,924,1.000000,1,1,0
65,2332,94323,1256,0.538593,1005,1005,1.000000,1,1,0
66,2374,95150,1366,0.575400,1246,1246,1.000000,1,1,0
67,2400,97008,1431,0.596250,1270,1270,1.000000,1,1,0
68,2339,97659,1265,0.540829,1187,1187,1.000000,1,1,0
69,2329,101358,1362,0.584800,1403,1403,1.000000,1,1,0
70,1705,100433,1077,0.631672,1183,1183,1.000000,1,1,0
71,1274,100989,693,0.543956,884,884,1.000000,1,1,0
72,1050,98275,388,0.369524,679,679,1.000000,1,1,0
73,708,95852,7,0.009887,18,18,1.000000,1,1,0
74,423,95202,0,0.000000,0,0,,1,1,0
75,298,95171,0,0.000000,0,0,,1,1,0
76,131,94792,0,0.000000,0,0,,1,1,0
77,73,95206,0,0.000000,0,0,,1,1,0
78,16,94456,0,0.000000,0,0,,1,1,0
79,0,95497,0,,0,0,,1,1,0
80,0,94822,0,,0,0,,1,1,0
81,18,96517,0,0.000000,0,0,,1,1,0
82,85,95426,0,0.000000,0,0,,1,1,0
83,137,96333,0,0.000000,0,0,,1,1,0
84,299,95292,0,0.000000,0,0,,1,1,0
85,472,95203,0,0.000000,0,0,,1,1,0
86,958,96749,347,0.362213,439,439,1.000000,1,1,0
87,1135,96874,545,0.480176,580,580,1.000000,1,1,0
88,1334,99547,834,0.625187,945,945,1.000000,1,1,0
89,1575,101633,1127,0.715556,1445,1445,1.000000,1,1,0
90,1736,101303,1256,0.723502,1584,1584,1.000000,1,1,0
91,1801,101773,1151,0.639089,1458,1458,1.000000,1,1,0
92,2173,99756,1351,0.621721,1263,1263,1.000000,1,1,0
93,2289,97511,1483,0.647881,1401,1401,1.000000,1,1,0
94,2374,96964,1569,0.660910,1504,1504,1.000000,1,1,0
95,2407,97192,1488,0.618197,1384,1384,1.000000,1,1,0
96,2413,97608,1440,0.596768,1395,1395,1.000000,1,1,0
97,2427,98350,1459,0.601154,1567,1567,1.000000,1,1,0
98,2382,99089,1315,0.552057,1500,1500,1.000000,1,1,0
99,2353,100803,1388,0.589885,1706,1706,1.000000,1,1,0
100,1903,102187,1310,0.688387,1495,1495,1.000000,1,1,0
101,1544,100923,958,0.620466,981,981,1.000000,1,1,0
102,1274,101188,716,0.562009,781,781,1.000000,1,1,0
103,1028,98982,458,0.445525,645,645,1.000000,1,1,0
104,853,98892,321,0.376319,538,538,1.000000,1,1,0
105,837,97273,295,0.352449,514,514,1.000000,1,1,0
106,826,97409,290,0.351090,493,493,1.000000,1,1,0
107,871,95662,311,0.357061,514,514,1.000000,1,1,0
108,948,96583,396,0.417722,535,535,1.000000,1,1,0
109,1071,98417,558,0.521008,639,639,1.000000,1,1,0
110,1280,100279,954,0.745313,1002,1002,1.000000,1,1,0
111,1488,101075,1191,0.800403,1512,1512,1.000000,1,1,0
112,1572,101612,1287,0.818702,1633,1633,1.000000,1,1,0
113,1703,102520,1281,0.752202,1600,1600,1.000000,1,1,0
114,1987,99170,1190,0.598893,1337,1337,1.000000,1,1,0
115,2132,97885,1204,0.564728,815,815,1.000000,1,1,0
116,2108,97045,1156,0.548387,811,811,1.000000,1,1,0
117,2121,99928,1219,0.574729,1096,1096,1.000000,1,1,0
118,2136,99943,1055,0.493914,1128,1128,1.000000,1,1,0
119,1792,101169,999,0.557478,1161,1161,1.000000,1,1,0
120,1743,102171,1202,0.689616,1413,1413,1.000000,1,1,0
121,1676,101041,1013,0.604415,1240,1240,1.000000,1,1,0
122,1532,101550,1049,0.684726,1208,1208,1.000000,1,1,0
123,1479,99312,667,0.450980,896,896,1.000000,1,1,0
124,1465,100960,990,0.675768,1035,1035,1.000000,1,1,0
125,1520,101305,1070,0.703947,1101,1101,1.000000,1,1,0
126,1553,101589,1109,0.714102,1199,1199,1.000000,1,1,0
127,1718,101532,1112,0.647264,1330,1330,1.000000,1,1,0
128,1764,102406,1238,0.701814,1431,1431,1.000000,1,1,0
129,1922,102409,1258,0.654527,1538,1538,1.000000,1,1,0
130,2271,100630,1474,0.649053,1414,1414,1.000000,1,1,0
131,2320,98419,1514,0.652586,1479,1479,1.000000,1,1,0
132,2314,99275,1458,0.630078,1400,1400,1.000000,1,1,0
133,2354,99552,1243,0.528037,1013,1013,1.000000,1,1,0
134,2337,101267,1220,0.522037,1319,1319,1.000000,1,1,0
135,1893,100857,962,0.508188,1140,1140,1.000000,1,1,0
136,1573,98271,714,0.453910,823,823,1.000000,1,1,0
137,1175,101029,692,0.588936,785,785,1.000000,1,1,0
138,646,98922,449,0.695046,456,456,1.000000,1,1,0
139,518,97489,86,0.166023,122,122,1.000000,1,1,0
140,523,97480,0,0.000000,0,0,,1,1,0
141,586,97985,0,0.000000,0,0,,1,1,0
142,580,97913,0,0.000000,0,0,,1,1,0
143,672,96092,0,0.000000,0,0,,1,1,0
144,739,94664,0,0.000000,0,0,,1,1,0
145,815,95425,281,0.344785,394,394,1.000000,1,1,0
146,963,94670,505,0.524403,550,550,1.000000,1,1,0
147,1122,95470,684,0.609626,836,836,1.000000,1,1,0
148,1340,93427,983,0.733582,1019,1019,1.000000,1,1,0
149,1480,97373,1246,0.841892,1400,1400,1.000000,1,1,0
150,1438,97422,1190,0.827538,1267,1267,1.000000,1,1,0
151,1439,97386,1204,0.836692,1294,1294,1.000000,1,1,0
152,1430,100126,1263,0.883217,1390,1390,1.000000,1,1,0
153,1423,100848,1303,0.915671,1459,1459,1.000000,1,1,0
154,1467,101436,1386,0.944785,1664,1664,1.000000,1,1,0
155,1453,101601,1170,0.805231,1195,1195,1.000000,1,1,0
156,1383,104750,1157,0.836587,776,776,1.000000,1,1,0
157,1185,103867,1096,0.924895,526,526,1.000000,1,1,0
158,935,101649,521,0.557219,154,154,1.000000,1,1,0
159,709,100150,0,0.000000,0,0,,1,1,0
160,525,98363,0,0.000000,0,0,,1,1,0
161,443,99986,134,0.302483,98,98,1.000000,1,1,0
162,414,101410,0,0.000000,5,5,1.000000,1,1,0
163,461,100025,0,0.000000,0,0,,1,1,0
164,633,98122,0,0.000000,0,0,,1,1,0
165,840,98705,470,0.559524,86,86,1.000000,1,1,0
166,1066,99788,746,0.699812,397,397,1.000000,1,1,0
167,1274,100725,1064,0.835165,818,818,1.000000,1,1,0
168,1497,101431,1376,0.919172,1715,1715,1.000000,1,1,0
169,1510,100342,1264,0.837086,1745,1745,1.000000,1,1,0
170,1548,97667,1277,0.824935,1684,1684,1.000000,1,1,0
171,1514,98029,1252,0.826948,1584,1584,1.000000,1,1,0
172,1496,99565,1390,0.929144,1724,1724,1.000000,1,1,0
173,1508,100030,1379,0.914456,1773,1773,1.000000,1,1,0
174,1488,97492,1061,0.713038,1084,1084,1.000000,1,1,0
175,1563,98506,1157,0.740243,1341,1341,1.000000,1,1,0
176,1530,99182,1218,0.796078,1561,1561,1.000000,1,1,0
177,1542,99118,1131,0.733463,1395,1395,1.000000,1,1,0
178,1523,101051,1272,0.835194,1514,1514,1.000000,1,1,0
179,1515,100461,970,0.640264,1349,1349,1.000000,1,1,0
180,1530,101159,1277,0.834641,1583,1583,1.000000,1,1,0
181,1621,102622,1185,0.731030,1514,1514,1.000000,1,1,0
182,1801,102508,1213,0.673515,1468,1468,1.000000,1,1,0
183,2165,101585,1281,0.591686,1465,1465,1.000000,1,1,0
184,2482,97999,1431,0.576551,1898,1898,1.000000,1,1,0
185,2497,97803,1357,0.543452,1457,1457,1.000000,1,1,0
186,2511,96848,1264,0.503385,1454,1454,1.000000,1,1,0
187,2496,98486,1136,0.455128,1237,1237,1.000000,1,1,0
188,2536,98657,1238,0.488170,1124,1124,1.000000,1,1,0
189,2436,98599,1223,0.502053,1102,1102,1.000000,1,1,0
190,2453,98289,1168,0.476152,1080,1080,1.000000,1,1,0
191,2454,98329,1262,0.514262,1178,1178,1.000000,1,1,0
192,2434,98980,1197,0.491783,1237,1237,1.000000,1,1,0
193,2424,97690,1117,0.460809,991,991,1.000000,1,1,0
194,2347,97586,1174,0.500213,1068,1068,1.000000,1,1,0
195,2298,96759,1078,0.469104,879,879,1.000000,1,1,0
196,2181,94230,945,0.433287,669,669,1.000000,1,1,0
197,2169,94683,1128,0.520055,809,809,1.000000,1,1,0
198,2150,95239,1147,0.533488,803,803,1.000000,1,1,0
199,2130,95702,1037,0.486854,685,685,1.000000,1,1,0
200,2111,94703,1020,0.483183,705,705,1.000000,1,1,0
201,2117,93936,1027,0.485120,705,705,1.000000,1,1,0
202,2124,94300,1062,0.500000,702,702,1.000000,1,1,0
203,2175,93673,1015,0.466667,726,726,1.000000,1,1,0
204,2183,94045,1040,0.476409,707,707,1.000000,1,1,0
205,2216,93696,1100,0.496390,911,911,1.000000,1,1,0
206,2197,92956,1101,0.501138,943,943,1.000000,1,1,0
207,2219,93047,1076,0.484903,938,938,1.000000,1,1,0
208,2228,93191,1124,0.504488,1100,1100,1.000000,1,1,0
209,2204,92837,1098,0.498185,1060,1060,1.000000,1,1,0
210,2111,93250,1211,0.573662,1210,1210,1.000000,1,1,0
211,2116,92357,1039,0.491021,884,884,1.000000,1,1,0
212,2117,94500,1215,0.573925,921,921,1.000000,1,1,0
213,2073,93356,1218,0.587554,859,859,1.000000,1,1,0
214,2053,93003,1162,0.566001,554,554,1.000000,1,1,0
215,2012,93731,1147,0.570080,408,408,1.000000,1,1,0
216,2030,95876,1313,0.646798,637,637,1.000000,1,1,0
217,2031,94549,1055,0.519449,317,317,1.000000,1,1,0
218,2044,92995,1059,0.518102,300,300,1.000000,1,1,0
219,2095,93981,860,0.410501,236,236,1.000000,1,1,0
220,2098,95345,1104,0.526215,406,406,1.000000,1,1,0
221,2123,93240,796,0.374941,260,260,1.000000,1,1,0
222,2160,92467,1012,0.468519,319,319,1.000000,1,1,0
223,2155,92802,1026,0.476102,321,321,1.000000,1,1,0
224,2186,92056,1211,0.553980,553,553,1.000000,1,1,0
225,2169,91621,1107,0.510373,494,494,1.000000,1,1,0
226,2178,93734,1337,0.613866,639,639,1.000000,1,1,0
227,2428,90957,1245,0.512768,606,606,1.000000,1,1,0
228,2488,91416,1229,0.493971,1015,1015,1.000000,1,1,0
