frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
1,0.000000,584.283,56.797,584.206,57.505,ref,562.681,72.030,human_nearest_mesh_topk,584.260,86.598,86.122,29.801,29.093,bottom_percentile_95,2.878239,2.891261,0.013022,1.000000,0.749393,0.731943,0.747993,0.747993,0.917003,1.706310,0.007550,5.000000,8.000000,left_hand,0.494173,552.557,85.183,4.544759,grid_08_01,2.878239,2.878239,0.747993,0.475944,0.000000,0.000000
2,0.041667,584.233,56.763,584.351,55.117,ref,563.031,72.130,human_nearest_mesh_topk,584.044,84.539,86.010,27.776,29.422,bottom_percentile_95,2.879467,2.892538,0.013072,1.000000,0.000000,0.709560,0.870904,0.870904,0.972344,0.568570,0.092950,5.000000,8.000000,left_hand,0.476076,553.764,86.424,4.536272,grid_08_01,2.880471,2.879467,0.870904,1.470955,0.000000,0.000000
3,0.083333,583.759,53.467,583.715,54.057,ref,569.226,75.841,human_nearest_mesh_topk,583.266,83.768,82.807,30.301,29.710,bottom_percentile_95,2.879202,2.908547,0.029345,1.000000,0.318619,0.601317,0.751437,0.751437,0.843548,3.216430,0.304000,5.000000,8.000000,left_hand,0.492753,555.030,89.982,4.517151,grid_08_01,2.878985,2.879202,0.751437,0.961070,0.000000,0.000000
4,0.125000,582.356,52.802,582.295,53.282,ref,572.360,79.007,human_nearest_mesh_topk,582.106,83.241,82.750,30.439,29.959,bottom_percentile_95,2.911609,2.947602,0.035993,1.000000,0.740193,0.564318,0.911751,0.911751,0.807331,3.961000,0.000000,5.000000,8.000000,left_hand,0.509923,556.530,96.432,4.496558,grid_11_05,2.938124,2.911609,0.911751,0.491426,0.000000,0.000000
5,0.166667,580.061,56.449,580.100,56.699,ref,576.336,85.702,human_nearest_mesh_topk,580.945,87.035,86.955,30.586,30.336,bottom_percentile_95,2.968919,2.997088,0.028168,1.000000,0.509471,0.590843,0.440627,0.440627,0.984727,0.314000,0.557900,5.000000,8.000000,left_hand,0.543555,560.995,106.381,4.486507,grid_11_05,3.015810,2.968919,0.440627,0.079931,0.000000,0.000000
6,0.208333,577.622,64.255,577.682,64.072,ref,578.681,94.957,human_nearest_mesh_topk,580.501,94.521,94.886,30.266,30.449,bottom_percentile_95,2.967029,2.938068,-0.028961,1.000000,0.293472,0.613379,0.652464,0.652464,1.000000,0.000000,0.682800,5.000000,8.000000,left_hand,0.572468,564.461,115.873,4.453803,grid_11_05,2.965482,2.967029,0.652464,0.364910,0.001413,0.000000
7,0.250000,575.334,75.813,575.351,76.178,ref,577.729,106.275,human_nearest_mesh_topk,579.563,106.352,106.057,30.539,30.174,bottom_percentile_95,2.965266,2.969322,0.004056,1.000000,0.000000,0.644333,0.639695,0.639695,1.000000,0.000000,0.296050,5.000000,8.000000,left_hand,0.608619,566.792,126.683,4.437397,grid_11_05,2.963823,2.965266,0.639695,0.295081,0.000000,0.000000
8,0.291667,572.793,92.190,572.454,92.455,ref,576.064,121.474,human_nearest_mesh_topk,577.793,125.139,121.303,32.949,32.684,bottom_percentile_95,2.923497,2.896626,-0.026871,1.000000,0.000000,0.750518,1.000000,1.000000,1.000000,0.000000,0.541800,5.000000,8.000000,left_hand,0.703958,566.548,134.921,4.433537,grid_11_05,2.889323,2.923497,1.000000,3.835943,0.000000,0.000000
9,0.333333,569.396,110.198,570.558,110.406,ref,568.413,134.227,human_nearest_mesh_topk,575.911,138.414,139.853,28.216,28.009,bottom_percentile_95,2.933485,2.924427,-0.009059,1.000000,0.000000,0.845389,1.000000,1.000000,0.611014,7.997000,0.287000,5.000000,8.000000,left_hand,0.694785,562.965,138.343,4.441594,grid_09_04,2.941658,2.933485,1.000000,1.438324,0.102197,0.000000
10,0.375000,568.493,127.138,567.415,123.494,ref,591.472,150.758,human_nearest_mesh_topk,575.761,142.496,156.506,15.358,19.002,bottom_percentile_95,2.849840,2.765865,-0.083975,1.000000,0.000000,0.896059,0.284797,0.284797,0.000000,24.937000,0.254800,5.000000,8.000000,right_hand,0.570421,597.463,154.234,4.677231,grid_10_09,2.781404,2.849840,0.284797,14.009588,0.960305,0.000000
