frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
1,0.000000,left,left,548.489,57.283,28.194815,28.194815,0.161281,0.161281,none,0,0
2,0.041667,left,left,548.798,57.155,29.687083,29.687083,0.141154,0.141154,none,0,0
3,0.083333,left,bottom,583.266,87.942,28.309926,28.309926,0.159670,0.159670,none,0,0
4,0.125000,left,bottom,582.106,87.969,26.939792,26.939792,0.179456,0.179456,none,0,0
5,0.166667,left,bottom,580.945,92.359,24.384967,24.384967,0.219705,0.219705,none,0,0
6,0.208333,left,bottom,580.501,100.364,22.311955,22.311955,0.255104,0.255104,proposal,0,0
7,0.250000,left,bottom,579.563,111.470,19.862519,19.862519,0.299194,0.299194,proposal,0,0
8,0.291667,left,bottom,577.793,126.511,14.041465,14.041465,0.405717,0.405717,proposal,1,0
9,0.333333,left,bottom,575.911,145.020,14.566109,14.566109,0.396427,0.396427,proposal,0,0
10,0.375000,right,bottom,575.761,160.002,22.455255,22.455255,0.960305,0.252591,proposal,1,1
11,0.416667,right,right,605.834,121.958,30.000358,30.000358,0.948512,0.137139,none,1,1
12,0.458333,right,right,590.762,102.699,32.260955,32.260955,0.242247,0.110365,none,1,1
13,0.500000,right,right,575.339,79.575,36.825935,36.825935,0.186710,0.067836,none,1,1
14,0.541667,right,right,567.422,53.832,49.035475,49.035475,1.000000,0.013454,none,1,1
15,0.583333,left,right,567.000,27.841,61.909240,61.909240,1.000000,0.001485,none,0,0
28,1.125000,left,grid_08_01,556.046,20.834,52.904219,52.904219,1.000000,0.007321,none,0,0
29,1.166667,right,right,603.434,26.707,61.330559,61.330559,1.000000,0.001657,none,0,0
30,1.208333,left,left,551.888,56.064,19.455507,19.455507,0.306675,0.306675,proposal,0,0
31,1.250000,left,left,552.531,90.341,8.372866,8.372866,0.493603,0.493603,soft,1,0
32,1.291667,right,right,610.182,128.889,15.172295,15.172295,1.000000,0.385551,proposal,1,1
33,1.333333,right,top,588.928,119.446,24.327219,24.327219,1.000000,0.220661,none,1,1
34,1.375000,right,right,614.960,135.075,0.468717,0.468717,0.918660,0.549814,soft,1,1
35,1.416667,left,bottom,572.295,136.304,15.707617,15.707617,0.375840,0.375840,proposal,0,0
36,1.458333,left,bottom,563.846,106.970,23.819499,23.819499,0.229144,0.229144,none,0,0
37,1.500000,left,bottom,558.275,76.607,60.388288,60.388288,0.124609,0.001978,none,0,0
38,1.541667,left,bottom,554.983,51.898,89.932242,89.932242,0.503096,0.000002,none,0,0
39,1.583333,left,bottom,552.072,34.225,111.344161,111.344161,0.829255,0.000000,none,0,0
45,1.833333,left,right,579.383,20.737,127.455660,127.455660,0.788229,0.000000,none,0,0
46,1.875000,left,right,576.880,36.479,115.255626,115.255626,0.480576,0.000000,none,0,0
47,1.916667,left,right,575.840,58.369,98.874049,98.874049,0.102518,0.000000,none,0,0
48,1.958333,left,right,575.602,85.286,76.156128,76.156128,0.000071,0.000071,none,0,0
49,2.000000,left,bottom,538.630,120.926,47.562520,47.562520,0.891712,0.016758,none,1,1
50,2.041667,left,right,574.594,133.289,26.768237,26.768237,1.000000,0.182026,none,1,1
51,2.083333,left,bottom,536.568,117.019,28.710053,28.710053,0.493989,0.154146,none,0,0
52,2.125000,left,bottom,536.952,95.006,29.431464,29.431464,0.144485,0.144485,none,0,0
53,2.166667,left,bottom,539.853,76.139,28.199869,28.199869,0.161210,0.161210,none,0,0
54,2.208333,left,bottom,542.187,59.750,26.121408,26.121408,0.191894,0.191894,none,0,0
55,2.250000,left,bottom,544.588,47.461,26.308045,26.308045,0.189018,0.189018,none,0,0
56,2.291667,left,bottom,546.343,39.935,25.049610,25.049610,0.208842,0.208842,none,1,0
57,2.333333,right,right,579.002,45.554,42.704412,42.704412,0.033010,0.032971,none,0,0
58,2.375000,left,right,580.408,48.535,44.325730,44.325730,0.026519,0.026519,none,0,0
59,2.416667,right,right,581.982,55.380,44.032871,44.032871,0.027600,0.027600,none,0,0
60,2.458333,left,right,582.618,66.855,42.977883,42.977883,0.052275,0.031800,none,0,0
61,2.500000,left,right,583.311,82.558,40.691806,40.691806,0.042719,0.042719,none,0,0
62,2.541667,right,right,584.119,101.083,37.186795,37.186795,0.065097,0.065097,none,0,0
63,2.583333,right,right,585.751,124.667,28.779952,28.779952,0.153193,0.153193,none,0,0
64,2.625000,right,right,587.539,147.152,18.969570,18.969570,0.436005,0.315640,proposal,1,0
65,2.666667,left,left,564.551,126.845,28.615623,28.615623,1.000000,0.155439,none,1,1
66,2.708333,left,left,562.562,123.655,32.589402,32.589402,0.884581,0.106796,none,1,1
67,2.750000,left,left,558.834,103.405,47.646275,47.646275,0.332352,0.016553,none,0,0
68,2.791667,left,left,552.391,78.131,66.413508,66.413508,0.000608,0.000608,none,0,0
69,2.833333,left,left,547.618,50.781,89.716838,89.716838,0.000002,0.000002,none,0,0
70,2.875000,left,left,547.119,22.951,117.242163,117.242163,0.638846,0.000000,none,0,0
71,2.916667,left,grid_10_07,549.065,25.797,117.108558,117.108558,1.000000,0.000000,none,0,0
87,3.583333,left,grid_10_05,578.939,21.225,128.574458,128.574458,0.985640,0.000000,none,0,0
88,3.625000,left,left,558.216,22.988,127.505862,127.505862,0.577882,0.000000,none,0,0
89,3.666667,left,bottom,584.276,69.856,87.301532,87.301532,0.060786,0.000004,none,0,0
90,3.708333,left,bottom,583.988,95.620,63.001608,63.001608,0.001203,0.001203,none,0,0
91,3.750000,left,bottom,583.733,121.307,39.376804,39.376804,0.050256,0.050256,none,0,0
92,3.791667,left,bottom,582.701,153.525,21.412901,21.412901,0.271059,0.271059,proposal,0,0
93,3.833333,left,left,560.153,145.153,9.289686,9.289686,0.786740,0.481421,soft,0,0
94,3.875000,left,left,560.415,152.399,4.499034,4.499034,0.945232,0.533085,soft,1,1
95,3.916667,left,left,557.595,141.578,17.268003,17.268003,0.469229,0.347150,proposal,0,0
96,3.958333,left,bottom,575.850,155.279,20.172956,20.172956,0.293510,0.293510,proposal,0,0
97,4.000000,left,bottom,576.137,133.730,33.992372,33.992372,0.092459,0.092459,none,0,0
98,4.041667,left,left,543.603,79.986,66.868175,66.868175,0.000554,0.000554,none,0,0
99,4.083333,left,bottom,568.568,87.414,56.682996,56.682996,0.003864,0.003864,none,0,0
100,4.125000,left,bottom,568.586,64.861,62.844194,62.844194,0.001240,0.001240,none,0,0
101,4.166667,left,bottom,569.309,44.968,65.800876,65.800876,0.150660,0.000689,none,0,0
102,4.208333,left,bottom,569.483,27.887,67.703746,67.703746,0.106522,0.000466,none,0,0
103,4.250000,left,bottom,571.492,16.084,68.175236,68.175236,0.065354,0.000422,none,0,0
104,4.291667,left,grid_11_06,574.270,9.693,68.881592,68.881592,0.226265,0.000363,none,0,0
109,4.500000,left,left,545.682,17.776,47.614356,47.614356,0.513837,0.016631,none,0,0
110,4.541667,left,left,544.958,33.407,37.072422,37.072422,0.398285,0.065956,none,0,0
111,4.583333,left,left,544.485,53.155,27.149039,27.149039,0.176349,0.176349,none,0,0
112,4.625000,left,left,544.707,77.507,13.658481,13.658481,0.412413,0.412413,proposal,0,0
113,4.666667,left,left,546.867,104.885,5.989100,5.989100,0.520383,0.520383,soft,0,0
114,4.708333,left,top,554.498,94.098,16.637988,16.637988,0.429470,0.358785,proposal,0,0
115,4.750000,left,top,553.824,124.445,4.959857,4.959857,1.000000,0.529512,soft,1,1
116,4.791667,left,top,553.827,114.863,14.105841,14.105841,1.000000,0.404584,proposal,1,1
117,4.833333,left,left,543.873,129.898,14.831321,14.831321,0.391686,0.391686,proposal,0,0
118,4.875000,left,bottom,585.483,118.028,37.699532,37.699532,0.061352,0.061352,none,0,0
119,4.916667,left,bottom,584.674,98.827,56.075985,56.075985,0.004294,0.004294,none,0,0
120,4.958333,left,bottom,584.534,83.029,72.949755,72.949755,0.000149,0.000149,none,0,0
121,5.000000,left,bottom,583.207,70.726,86.109875,86.109875,0.000006,0.000006,none,0,0
122,5.041667,left,bottom,582.720,62.165,95.522003,95.522003,0.000000,0.000000,none,0,0
123,5.083333,left,bottom,582.391,57.927,100.828722,100.828722,0.000000,0.000000,none,0,0
124,5.125000,left,left,551.596,41.799,118.828402,118.828402,0.000000,0.000000,none,0,0
