frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema
1,0.000000,-0.109699,-0.596967,2.891488,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.283,56.797,584.283,56.797,91.211,91.211,584.283,56.797,91.211,2.891488,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
2,0.041667,-0.109846,-0.597294,2.892750,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.233,56.763,584.233,56.763,91.102,91.102,584.233,56.763,91.102,2.892750,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
3,0.083333,-0.111664,-0.608608,2.915853,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,583.759,53.467,583.759,53.467,87.942,87.942,583.759,53.467,87.942,2.915853,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
4,0.125000,-0.115357,-0.614761,2.938956,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.356,52.802,582.356,52.802,87.969,87.969,582.356,52.802,87.969,2.938956,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
5,0.166667,-0.119949,-0.607463,2.938956,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,580.061,56.449,580.061,56.449,92.359,92.359,580.061,56.449,92.359,2.938956,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
6,0.208333,-0.124887,-0.592109,2.940285,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,577.622,64.255,577.622,64.255,100.364,100.364,577.622,64.255,100.364,2.940285,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
7,0.250000,-0.129467,-0.568969,2.940285,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,575.334,75.813,575.334,75.813,111.470,111.470,575.334,75.813,111.470,2.940285,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
8,0.291667,-0.134555,-0.536181,2.940285,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,572.793,92.190,572.793,92.190,126.511,126.511,572.793,92.190,126.511,2.940285,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
9,0.333333,-0.138385,-0.489615,2.878482,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,569.396,110.198,569.396,110.198,145.020,145.020,569.396,110.198,145.020,2.878482,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
10,0.375000,-0.134977,-0.439551,2.772144,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,568.493,127.138,568.493,127.138,160.002,160.002,568.493,127.138,160.002,2.772144,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init,1
