frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
1,0,0,0,0,optimize,static_hold,0.000000,0.000000,0.100000,0.120000,0.120000,0,0,0,0,0.019621,0.000000
2,0,0,0,0,optimize,static_hold,0.001312,0.002643,0.100000,0.120000,0.120000,0,0,0,0,0.020082,0.000000
3,0,0,0,0,optimize,low_speed,0.025789,0.002701,0.100000,0.120000,0.120000,0,0,0,0,0.013779,0.000000
4,0,0,0,0,optimize,low_speed,0.024192,0.002818,0.100000,0.120000,0.120000,0,0,0,0,0.031323,0.000000
5,0,0,0,0,optimize,static_hold,0.008622,0.002959,0.100000,0.120000,0.120000,0,0,0,0,0.026839,0.000000
6,0,0,0,0,optimize,low_speed,0.016183,0.003141,0.100000,0.120000,0.120000,0,0,0,0,0.026238,0.000000
7,0,0,0,0,optimize,low_speed,0.023589,0.003367,0.100000,0.120000,0.120000,0,0,0,0,0.038751,0.000000
8,0,0,0,0,optimize,uniform_motion,0.033180,0.003883,0.180000,0.220000,0.220000,0,0,0,0,0.067694,0.000000
9,0,0,0,0,optimize,free_motion,0.077477,0.004897,0.180000,0.220000,0.220000,0,0,0,0,0.118714,0.000000
10,0,0,0,0,optimize,short_impact,0.117583,0.039430,0.300000,0.420000,0.340000,0,0,0,0,0.252928,0.000000
11,0,0,0,0,optimize,sustained_grasp,0.017607,0.080233,0.180000,0.220000,0.220000,0,0,0,0,0.321798,0.000000
12,0,0,0,0,optimize,sustained_grasp,0.048141,0.083668,0.180000,0.220000,0.220000,0,0,0,0,0.375218,0.000000
13,0,0,0,0,optimize,sustained_grasp,0.053374,0.084898,0.180000,0.220000,0.220000,0,0,0,0,0.433088,0.000000
14,0,1,0,0,optimize,sustained_grasp,0.209853,0.086115,0.180000,0.220000,0.220000,0,1,0,0,0.310873,0.000000
15,0,1,0,0,optimize,high_speed,0.375636,0.197281,0.300000,0.420000,0.340000,1,0,1,0,0.129289,0.000000
16,0,1,0,0,optimize,high_speed,0.248591,0.200030,0.300000,0.420000,0.340000,1,0,0,0,0.087264,0.000000
17,0,1,0,0,optimize,high_speed,0.623040,0.194098,0.300000,0.420000,0.340000,1,0,1,1,0.378056,0.000000
18,1,0,0,1,optimize,static_hold,0.009035,0.190772,0.100000,0.120000,0.120000,1,1,0,0,0.240237,0.000000
19,0,0,0,0,optimize,low_speed,0.013257,0.006248,0.100000,0.120000,0.120000,0,0,0,0,0.239507,0.000000
20,0,0,0,0,optimize,static_hold,0.009481,0.005486,0.100000,0.120000,0.120000,0,0,0,0,0.240414,0.000000
21,0,0,0,0,optimize,static_hold,0.007971,0.004491,0.100000,0.120000,0.120000,0,0,0,0,0.245334,0.000000
22,0,0,0,0,optimize,static_hold,0.008755,0.003928,0.100000,0.120000,0.120000,0,0,0,0,0.249776,0.000000
23,0,0,0,0,optimize,static_hold,0.004240,0.003512,0.100000,0.120000,0.120000,0,0,0,0,0.245923,0.000000
24,0,0,0,0,optimize,low_speed,0.013780,0.003202,0.100000,0.120000,0.120000,0,0,0,0,0.233615,0.000000
25,0,0,0,0,optimize,low_speed,0.027095,0.003116,0.100000,0.120000,0.120000,0,0,0,0,0.209762,0.000000
26,0,0,0,0,optimize,free_motion,0.066603,0.003641,0.180000,0.220000,0.220000,0,0,0,0,0.158449,0.000000
27,0,0,0,0,optimize,uniform_motion,0.047166,0.004927,0.180000,0.220000,0.220000,0,1,0,0,0.194680,0.000000
28,0,1,0,0,optimize,high_speed,0.291321,0.142634,0.300000,0.420000,0.340000,0,0,0,0,0.071714,0.000000
29,0,0,0,0,optimize,free_motion,0.081332,0.143922,0.180000,0.220000,0.220000,0,0,0,0,0.086280,0.000000
30,0,0,0,0,optimize,free_motion,0.164225,0.144260,0.180000,0.220000,0.220000,0,0,0,0,0.131408,0.000000
31,0,0,0,0,optimize,free_motion,0.142114,0.143907,0.180000,0.220000,0.220000,0,0,0,1,0.229618,0.000000
32,0,1,0,0,optimize,sustained_grasp_high_speed,0.563801,0.142015,0.300000,0.420000,0.340000,0,0,1,1,0.421895,0.000000
33,0,0,0,0,optimize,sustained_grasp,0.115731,0.055178,0.180000,0.220000,0.220000,0,0,0,0,0.487926,0.000000
34,0,0,0,0,optimize,sustained_grasp,0.033233,0.006457,0.180000,0.220000,0.220000,0,0,0,0,0.466082,0.000000
35,0,0,0,0,optimize,uniform_motion,0.056964,0.004901,0.180000,0.220000,0.220000,0,0,0,0,0.420275,0.000000
36,0,0,0,0,optimize,uniform_motion,0.060471,0.003403,0.180000,0.220000,0.220000,0,0,0,0,0.379839,0.000000
37,0,0,0,0,optimize,uniform_motion,0.062240,0.060382,0.180000,0.220000,0.220000,0,0,0,0,0.400189,0.000000
38,0,1,0,0,optimize,free_motion,0.213792,0.062994,0.180000,0.220000,0.220000,0,0,0,0,0.247112,0.000000
