frame,time,object_support_v_raw,object_support_v,support_v_raw,support_v,signed_gap,gap,floor_score,proposal_score,confidence_level,is_candidate,floor_contact_state
1,0.000000,86.122,86.122,674.172,674.172,-588.050411,588.050411,0.000000,0.598591,none,0,0
2,0.041667,86.010,86.088,674.172,674.172,-588.084011,588.084011,0.000000,0.798121,none,0,0
3,0.083333,82.807,85.104,674.172,674.172,-589.068431,589.068431,0.000000,0.598591,none,0,0
4,0.125000,82.750,84.398,674.172,674.172,-589.774625,589.774625,0.000000,0.399061,none,0,0
5,0.166667,86.955,85.165,674.172,674.172,-589.007460,589.007460,0.000000,0.439636,none,0,0
6,0.208333,94.886,88.081,674.172,674.172,-586.091146,586.091146,0.000000,0.586182,none,0,0
7,0.250000,106.057,93.474,674.172,674.172,-580.698425,580.698425,0.000000,0.439636,none,0,0
8,0.291667,121.303,101.823,674.172,674.172,-572.349721,572.349721,0.000000,0.493644,none,0,0
9,0.333333,139.853,113.232,674.172,674.172,-560.940628,560.940628,0.000000,0.528208,none,0,0
10,0.375000,156.506,126.214,674.172,674.172,-547.958363,547.958363,0.029604,0.960305,none,0,0
11,0.416667,120.267,124.430,674.172,674.172,-549.742477,549.742477,0.000000,0.948512,none,0,0
12,0.458333,100.953,117.387,674.172,674.172,-556.785557,556.785557,0.000000,0.658905,none,0,0
13,0.500000,77.715,105.485,674.172,674.172,-568.687113,568.687113,0.000000,0.749221,none,0,0
14,0.541667,51.830,89.389,674.172,674.172,-584.783702,584.783702,0.000000,1.000000,none,0,0
15,0.583333,27.841,70.924,674.172,674.172,-603.248015,603.248015,0.000000,1.000000,none,0,0
28,1.125000,29.607,58.529,674.172,674.172,-615.643234,615.643234,0.000000,1.000000,none,0,0
29,1.166667,26.707,48.983,674.172,674.172,-625.189887,625.189887,0.000000,1.000000,none,0,0
30,1.208333,56.780,51.322,674.172,674.172,-622.850644,622.850644,0.000000,0.412508,none,0,0
31,1.250000,120.869,72.186,674.172,674.172,-601.986474,601.986474,0.000000,0.590372,none,0,0
32,1.291667,159.751,98.455,674.172,674.172,-575.716955,575.716955,0.049639,1.000000,none,0,0
33,1.333333,175.466,121.559,674.172,674.172,-552.613792,552.613792,0.146663,1.000000,none,0,0
34,1.375000,158.708,132.703,674.172,674.172,-541.468977,541.468977,0.043199,0.997825,none,0,0
35,1.416667,132.161,132.541,674.172,674.172,-541.631707,541.631707,0.000000,0.748369,none,0,0
36,1.458333,102.961,123.667,674.172,674.172,-550.505618,550.505618,0.000000,0.595927,none,0,0
37,1.500000,72.696,108.376,674.172,674.172,-565.796856,565.796856,0.000000,0.794569,none,0,0
38,1.541667,49.759,90.791,674.172,674.172,-583.381822,583.381822,0.000000,0.595927,none,0,0
39,1.583333,33.300,73.543,674.172,674.172,-600.628999,600.628999,0.000000,0.829255,none,0,0
45,1.833333,21.777,58.013,674.172,674.172,-616.158922,616.158922,0.000000,0.788229,none,0,0
46,1.875000,37.913,51.983,674.172,674.172,-622.189069,622.189069,0.000000,0.480576,none,0,0
47,1.916667,59.442,54.221,674.172,674.172,-619.951471,619.951471,0.000000,0.284965,none,0,0
48,1.958333,85.694,63.663,674.172,674.172,-610.509553,610.509553,0.000000,0.499347,none,0,0
49,2.000000,119.842,80.517,674.172,674.172,-593.655810,593.655810,0.000000,0.891712,none,0,0
50,2.041667,134.522,96.718,674.172,674.172,-577.454191,577.454191,0.000000,1.000000,none,0,0
51,2.083333,116.638,102.694,674.172,674.172,-571.478257,571.478257,0.000000,0.749021,none,0,0
52,2.125000,94.943,100.369,674.172,674.172,-573.803603,573.803603,0.000000,0.514490,none,0,0
53,2.166667,77.518,93.514,674.172,674.172,-580.658845,580.658845,0.000000,0.342994,none,0,0
54,2.208333,63.208,84.422,674.172,674.172,-589.750515,589.750515,0.000000,0.191894,none,0,0
55,2.250000,53.028,75.004,674.172,674.172,-599.168684,599.168684,0.000000,0.189018,none,0,0
56,2.291667,47.950,66.888,674.172,674.172,-607.284802,607.284802,0.000000,0.208842,none,0,0
57,2.333333,45.554,60.488,674.172,674.172,-613.684884,613.684884,0.000000,0.033010,none,0,0
58,2.375000,46.601,56.322,674.172,674.172,-617.850842,617.850842,0.000000,0.356719,none,0,0
59,2.416667,51.271,54.806,674.172,674.172,-619.366013,619.366013,0.000000,0.535079,none,0,0
60,2.458333,62.587,57.141,674.172,674.172,-617.031832,617.031832,0.000000,0.713439,none,0,0
61,2.500000,78.190,63.455,674.172,674.172,-610.717006,610.717006,0.000000,0.535079,none,0,0
62,2.541667,96.691,73.426,674.172,674.172,-600.746327,600.746327,0.000000,0.499109,none,0,0
63,2.583333,120.223,87.465,674.172,674.172,-586.707252,586.707252,0.000000,0.748664,none,0,0
64,2.625000,143.037,104.137,674.172,674.172,-570.035700,570.035700,0.000000,0.998219,none,0,0
65,2.666667,128.172,111.347,674.172,674.172,-562.825113,562.825113,0.000000,1.000000,none,0,0
66,2.708333,125.241,115.515,674.172,674.172,-558.657002,558.657002,0.000000,0.960748,none,0,0
67,2.750000,103.391,111.878,674.172,674.172,-562.294325,562.294325,0.000000,0.720561,none,0,0
68,2.791667,78.031,101.724,674.172,674.172,-572.448451,572.448451,0.000000,0.480374,none,0,0
69,2.833333,50.405,86.328,674.172,674.172,-587.844139,587.844139,0.000000,0.000002,none,0,0
70,2.875000,22.552,67.195,674.172,674.172,-606.977020,606.977020,0.000000,0.638846,none,0,0
71,2.916667,25.424,54.664,674.172,674.172,-619.508437,619.508437,0.000000,1.000000,none,0,0
87,3.583333,19.954,44.251,674.172,674.172,-629.921429,629.921429,0.000000,0.985640,none,0,0
88,3.625000,22.555,37.742,674.172,674.172,-636.430224,636.430224,0.000000,0.577882,none,0,0
89,3.666667,65.949,46.204,674.172,674.172,-627.968180,627.968180,0.000000,0.060786,none,0,0
90,3.708333,91.435,59.773,674.172,674.172,-614.398949,614.398949,0.000000,0.001203,none,0,0
91,3.750000,117.101,76.972,674.172,674.172,-597.200688,597.200688,0.000000,0.050256,none,0,0
92,3.791667,148.776,98.513,674.172,674.172,-575.659404,575.659404,0.000000,0.271059,none,0,0
93,3.833333,169.613,119.843,674.172,674.172,-554.329406,554.329406,0.110526,0.786740,none,0,0
94,3.875000,179.003,137.591,674.172,674.172,-536.581408,536.581408,0.168500,0.945232,none,0,0
95,3.916667,150.508,141.466,674.172,674.172,-532.706309,532.706309,0.000000,0.995187,none,0,0
96,3.958333,152.631,144.816,674.172,674.172,-529.356839,529.356839,0.005680,0.746390,none,0,0
97,4.000000,131.208,140.733,674.172,674.172,-533.439111,533.439111,0.000000,0.497594,none,0,0
98,4.041667,93.060,126.431,674.172,674.172,-547.741101,547.741101,0.000000,0.000554,none,0,0
99,4.083333,84.990,113.999,674.172,674.172,-560.173494,560.173494,0.000000,0.003864,none,0,0
100,4.125000,62.569,98.570,674.172,674.172,-575.602469,575.602469,0.000000,0.001240,none,0,0
101,4.166667,43.626,82.087,674.172,674.172,-592.085651,592.085651,0.000000,0.150660,none,0,0
102,4.208333,27.378,65.674,674.172,674.172,-608.498279,608.498279,0.000000,0.106522,none,0,0
103,4.250000,16.084,50.797,674.172,674.172,-623.375319,623.375319,0.000000,0.291202,none,0,0
104,4.291667,9.685,38.463,674.172,674.172,-635.708946,635.708946,0.000000,0.436802,none,0,0
109,4.500000,22.669,33.725,674.172,674.172,-640.447286,640.447286,0.000000,0.513837,none,0,0
110,4.541667,38.285,35.093,674.172,674.172,-639.079323,639.079323,0.000000,0.398285,none,0,0
111,4.583333,58.546,42.129,674.172,674.172,-632.043449,632.043449,0.000000,0.176349,none,0,0
112,4.625000,82.850,54.345,674.172,674.172,-619.827138,619.827138,0.000000,0.412413,none,0,0
113,4.666667,109.252,70.817,674.172,674.172,-603.355120,603.355120,0.000000,0.670119,none,0,0
114,4.708333,139.967,91.562,674.172,674.172,-582.610207,582.610207,0.000000,0.748684,none,0,0
115,4.750000,167.959,114.481,674.172,674.172,-559.691168,559.691168,0.100315,1.000000,none,0,0
116,4.791667,159.832,128.086,674.172,674.172,-546.085941,546.085941,0.050139,1.000000,none,0,0
117,4.833333,139.047,131.375,674.172,674.172,-542.797782,542.797782,0.000000,0.571714,none,0,0
118,4.875000,116.392,126.880,674.172,674.172,-547.292570,547.292570,0.000000,0.600589,none,0,0
119,4.916667,96.998,117.915,674.172,674.172,-556.257123,556.257123,0.000000,0.450442,none,0,0
120,4.958333,81.023,106.848,674.172,674.172,-567.324809,567.324809,0.000000,0.450442,none,0,0
121,5.000000,68.471,95.335,674.172,674.172,-578.837789,578.837789,0.000000,0.600589,none,0,0
122,5.041667,59.900,84.704,674.172,674.172,-589.468176,589.468176,0.000000,0.450442,none,0,0
123,5.083333,55.616,75.978,674.172,674.172,-598.194646,598.194646,0.000000,0.300295,none,0,0
124,5.125000,40.508,65.337,674.172,674.172,-608.835576,608.835576,0.000000,0.000000,none,0,0
