frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
1,0.000000,1,hand,left,ball_boundary,left,548.489,57.283,0.013022,0.731943,0.340858,hand_floor_from_anchor_floor_candidates
2,0.041667,1,hand,left,ball_boundary,left,548.798,57.155,0.013072,0.709560,0.380591,hand_floor_from_anchor_floor_candidates
3,0.083333,1,hand,left,ball_boundary,bottom,583.266,87.942,0.029345,0.601317,0.339247,hand_floor_from_anchor_floor_candidates
4,0.125000,1,hand,left,ball_boundary,bottom,582.106,87.969,0.035993,0.564318,0.299174,hand_floor_from_anchor_floor_candidates
5,0.166667,1,hand,left,ball_boundary,bottom,580.945,92.359,0.028168,0.590843,0.351596,hand_floor_from_anchor_floor_candidates
6,0.208333,1,hand,left,ball_boundary,bottom,580.501,100.364,-0.028961,0.613379,0.430959,hand_floor_from_anchor_floor_candidates
7,0.250000,1,hand,left,ball_boundary,bottom,579.563,111.470,0.004056,0.644333,0.431085,hand_floor_from_anchor_floor_candidates
8,0.291667,1,hand,left,ball_boundary,bottom,577.793,126.511,-0.026871,0.750518,0.493644,hand_floor_from_anchor_floor_candidates
9,0.333333,1,hand,left,ball_boundary,bottom,575.911,145.020,-0.009059,0.845389,0.528208,hand_floor_from_anchor_floor_candidates
10,0.375000,1,hand,right,ball_boundary,bottom,575.761,160.002,-0.083975,0.896059,0.450263,hand_floor_from_anchor_floor_candidates
11,0.416667,1,hand,right,ball_boundary,right,605.834,121.958,-0.051818,0.941664,0.400701,hand_floor_from_anchor_floor_candidates
12,0.458333,1,hand,right,ball_boundary,right,590.762,102.699,-0.024284,0.814154,0.308036,hand_floor_from_anchor_floor_candidates
13,0.500000,1,hand,right,ball_boundary,right,575.339,79.575,-0.049130,0.589389,0.292602,hand_floor_from_anchor_floor_candidates
14,0.541667,1,hand,right,ball_boundary,right,567.422,53.832,0.045828,0.403047,0.313143,hand_floor_from_anchor_floor_candidates
15,0.583333,0,none,left,none,right,567.000,27.841,0.597181,0.464909,0.000000,hand_floor_from_anchor_floor_candidates
28,1.125000,0,none,left,none,grid_08_01,556.046,20.834,0.744119,0.051795,0.000000,hand_floor_from_anchor_floor_candidates
29,1.166667,0,none,right,none,right,603.434,26.707,0.889123,0.093090,0.000000,hand_floor_from_anchor_floor_candidates
30,1.208333,1,hand,left,ball_boundary,left,551.888,56.064,0.827733,0.172320,0.412508,hand_floor_from_anchor_floor_candidates
31,1.250000,1,hand,left,ball_boundary,left,552.531,90.341,0.591448,0.383853,0.590372,hand_floor_from_anchor_floor_candidates
32,1.291667,1,hand,right,ball_boundary,right,610.182,128.889,-0.027764,0.752599,0.535225,hand_floor_from_anchor_floor_candidates
33,1.333333,1,hand,right,ball_boundary,top,588.928,119.446,0.033061,0.942394,0.445171,hand_floor_from_anchor_floor_candidates
34,1.375000,1,hand,right,ball_boundary,right,614.960,135.075,-0.028388,0.893828,0.849161,hand_floor_from_anchor_floor_candidates
35,1.416667,1,hand,left,ball_boundary,bottom,572.295,136.304,-0.029550,0.831394,0.600351,hand_floor_from_anchor_floor_candidates
36,1.458333,1,hand,left,ball_boundary,bottom,563.846,106.970,-0.261586,0.592166,0.407922,hand_floor_from_anchor_floor_candidates
37,1.500000,0,none,left,none,bottom,558.275,76.607,-0.051401,0.542171,0.000000,hand_floor_from_anchor_floor_candidates
