frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
1,0.000000,584.283,56.797,584.283,56.797,584.283,56.797,cotracker_sam2_mask_points,center,584.283,91.211,91.211,34.414,34.414,cotracker_bottom,,,stage2_contact_policy,2.891488,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.890023,2.891488,2.891488,2.891488,1.000000,0.000000,,,34.577
2,0.041667,584.233,56.763,584.233,56.763,584.233,56.763,cotracker_sam2_mask_points,center,584.233,91.102,91.102,34.339,34.339,cotracker_bottom,,,stage2_contact_policy,2.892750,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.892750,2.892750,2.892750,2.892750,1.000000,0.000000,,,34.494
3,0.083333,583.759,53.467,583.759,53.467,583.759,53.467,cotracker_sam2_mask_points,center,583.759,87.942,87.942,34.475,34.475,cotracker_bottom,,,stage2_contact_policy,2.915853,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.890227,2.915853,2.915853,2.915853,1.000000,0.000000,,,35.075
4,0.125000,582.356,52.802,582.356,52.802,582.356,52.802,cotracker_sam2_mask_points,center,582.356,87.969,87.969,35.167,35.167,cotracker_bottom,,,stage2_contact_policy,2.938956,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.938956,2.938956,2.938956,2.938956,1.000000,0.000000,,,35.202
5,0.166667,580.061,56.449,580.061,56.449,580.061,56.449,cotracker_sam2_mask_points,center,580.061,92.359,92.359,35.910,35.910,cotracker_bottom,,,stage2_contact_policy,2.938956,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.007194,2.938956,2.938956,2.938956,1.000000,0.000000,,,35.682
6,0.208333,577.622,64.255,577.622,64.255,577.622,64.255,cotracker_sam2_mask_points,center,577.622,100.364,100.364,36.109,36.109,cotracker_bottom,,,stage2_contact_policy,2.940285,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.965097,2.940285,2.940285,2.940285,1.000000,0.000000,,,35.723
7,0.250000,575.334,75.813,575.334,75.813,575.334,75.813,cotracker_sam2_mask_points,center,575.334,111.470,111.470,35.657,35.657,cotracker_bottom,,,stage2_contact_policy,2.940285,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.966302,2.940285,2.940285,2.940285,1.000000,0.000000,,,35.562
8,0.291667,572.793,92.190,572.793,92.190,572.793,92.190,cotracker_sam2_mask_points,center,572.793,126.511,126.511,34.321,34.321,cotracker_bottom,,,stage2_contact_policy,2.940285,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.878482,2.940285,2.940285,2.940285,1.000000,0.000000,,,35.139
9,0.333333,569.396,110.198,569.396,110.198,569.396,110.198,cotracker_sam2_mask_points,center,569.396,145.020,145.020,34.822,34.822,cotracker_bottom,,,stage2_contact_policy,2.878482,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.940285,2.878482,2.878482,2.878482,1.000000,0.000000,,,34.383
10,0.375000,568.493,127.138,568.493,127.138,568.493,127.138,cotracker_sam2_mask_points,center,568.493,160.002,160.002,32.864,32.864,cotracker_bottom,,,stage2_contact_policy,2.772144,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.771045,2.772144,2.772144,2.772144,1.000000,0.000000,,,33.582
