frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
1,0,0,0,0,optimize,short_impact,0.000000,0.000000,0.300000,0.420000,0.340000,0,0,0,0,0.008624,0.000000
2,0,0,0,0,optimize,sustained_grasp,0.001312,0.004246,0.180000,0.220000,0.220000,0,0,0,0,0.007784,0.000000
3,0,0,0,0,optimize,sustained_grasp,0.025789,0.004345,0.180000,0.220000,0.220000,0,0,0,0,0.020483,0.000000
4,0,0,0,0,optimize,sustained_grasp,0.024192,0.004492,0.180000,0.220000,0.220000,0,0,0,0,0.042684,0.000000
5,0,0,0,0,optimize,sustained_grasp,0.008622,0.004735,0.180000,0.220000,0.220000,0,0,0,0,0.039481,0.000000
6,0,0,0,0,optimize,sustained_grasp,0.016183,0.005077,0.180000,0.220000,0.220000,0,0,0,0,0.038694,0.000000
7,0,0,0,0,optimize,sustained_grasp,0.023589,0.005528,0.180000,0.220000,0.220000,0,0,0,0,0.046826,0.000000
8,0,0,0,0,optimize,sustained_grasp,0.033180,0.006095,0.180000,0.220000,0.220000,0,0,0,0,0.071395,0.000000
9,0,0,0,0,optimize,sustained_grasp,0.077477,0.006770,0.180000,0.220000,0.220000,0,0,0,0,0.111765,0.000000
10,0,0,0,0,optimize,short_impact,0.117583,0.010305,0.300000,0.420000,0.340000,0,0,0,0,0.211229,0.000000
11,0,0,0,0,optimize,sustained_grasp,0.017607,0.015409,0.180000,0.220000,0.220000,0,0,0,0,0.216018,0.000000
12,0,0,0,0,optimize,sustained_grasp,0.048141,0.062718,0.180000,0.220000,0.220000,0,0,0,0,0.246243,0.000000
13,0,0,0,0,optimize,sustained_grasp,0.053374,0.063975,0.180000,0.220000,0.220000,0,0,0,0,0.275902,0.000000
14,0,1,0,1,optimize,sustained_grasp,0.209853,0.065094,0.180000,0.220000,0.220000,0,1,0,0,0.156724,0.000000
15,1,1,0,0,optimize,high_speed,0.375636,0.316160,0.300000,0.420000,0.340000,1,0,1,0,0.074238,0.000000
16,1,1,0,0,optimize,high_speed,0.248591,0.318561,0.300000,0.420000,0.340000,1,0,0,0,0.116758,0.000000
17,1,1,0,0,optimize,high_speed,0.623040,0.314286,0.300000,0.420000,0.340000,1,1,1,1,0.236013,0.000000
18,1,0,0,1,optimize,static_hold,0.009035,0.124550,0.100000,0.120000,0.120000,0,1,0,0,0.163059,0.000000
19,0,0,0,0,optimize,low_speed,0.013257,0.005595,0.100000,0.120000,0.120000,0,0,0,0,0.161753,0.000000
20,0,0,0,0,optimize,static_hold,0.009481,0.004819,0.100000,0.120000,0.120000,0,0,0,0,0.162789,0.000000
21,0,0,0,0,optimize,static_hold,0.007971,0.003838,0.100000,0.120000,0.120000,0,0,0,0,0.168853,0.000000
22,0,0,0,0,optimize,static_hold,0.008755,0.003243,0.100000,0.120000,0.120000,0,0,0,0,0.173628,0.000000
23,0,0,0,0,optimize,static_hold,0.004240,0.002772,0.100000,0.120000,0.120000,0,0,0,0,0.169586,0.000000
24,0,0,0,0,optimize,low_speed,0.013780,0.002379,0.100000,0.120000,0.120000,0,0,0,0,0.156201,0.000000
25,0,0,0,0,optimize,low_speed,0.027095,0.002251,0.100000,0.120000,0.120000,0,0,0,0,0.130586,0.000000
26,0,0,0,0,optimize,free_motion,0.066603,0.003138,0.180000,0.220000,0.220000,0,0,0,0,0.070992,0.000000
27,0,0,0,0,optimize,uniform_motion,0.047166,0.005125,0.180000,0.220000,0.220000,0,1,0,0,0.112490,0.000000
28,0,1,0,0,optimize,high_speed,0.291321,0.174049,0.300000,0.420000,0.340000,0,0,0,0,0.070682,0.000000
29,0,0,0,0,optimize,free_motion,0.081332,0.175048,0.180000,0.220000,0.220000,0,0,0,0,0.071488,0.000000
30,0,0,0,0,optimize,sustained_grasp,0.164225,0.174976,0.180000,0.220000,0.220000,0,0,0,0,0.139259,0.000000
31,0,0,0,0,optimize,sustained_grasp,0.142114,0.174706,0.180000,0.220000,0.220000,0,0,0,1,0.243221,0.000000
32,0,1,0,0,optimize,sustained_grasp_high_speed,0.563801,0.173995,0.300000,0.420000,0.340000,0,0,1,1,0.346729,0.000000
33,0,0,0,0,optimize,sustained_grasp,0.115731,0.170560,0.180000,0.220000,0.220000,0,1,0,0,0.354057,0.000000
34,0,0,0,0,optimize,sustained_grasp,0.033233,0.002183,0.180000,0.220000,0.220000,0,0,0,0,0.327806,0.000000
35,0,0,0,0,optimize,sustained_grasp,0.056964,0.002015,0.180000,0.220000,0.220000,0,0,0,0,0.274962,0.000000
36,0,0,0,0,optimize,sustained_grasp,0.060471,0.002971,0.180000,0.220000,0.220000,0,0,0,0,0.223432,0.000000
37,0,0,0,0,optimize,uniform_motion,0.062240,0.007099,0.180000,0.220000,0.220000,0,1,0,0,0.181663,0.000000
38,0,1,0,0,optimize,free_motion,0.213792,0.161401,0.180000,0.220000,0.220000,0,0,0,0,0.111609,0.000000
39,0,0,0,0,optimize,free_motion,0.122176,0.163130,0.180000,0.220000,0.220000,0,0,0,1,0.167332,0.000000
40,0,1,0,0,optimize,high_speed,0.686333,0.163384,0.300000,0.420000,0.340000,0,0,1,1,0.409251,0.000000
41,1,0,0,1,optimize,low_speed,0.026971,0.162341,0.100000,0.120000,0.120000,0,1,0,0,0.306624,0.000000
42,0,0,0,0,optimize,uniform_motion,0.031221,0.006684,0.180000,0.220000,0.220000,0,0,0,0,0.327572,0.000000
43,0,0,0,0,optimize,static_hold,0.007986,0.006622,0.100000,0.120000,0.120000,0,0,0,0,0.317639,0.000000
44,0,0,0,0,optimize,uniform_motion,0.038566,0.006479,0.180000,0.220000,0.220000,0,0,0,0,0.275929,0.000000
45,0,0,0,0,optimize,free_motion,0.164930,0.006267,0.180000,0.220000,0.220000,0,0,0,0,0.144738,0.000000
46,0,0,0,0,optimize,uniform_motion,0.048276,0.004751,0.180000,0.220000,0.220000,0,0,0,0,0.097863,0.000000
47,0,0,0,0,optimize,free_motion,0.063227,0.003246,0.180000,0.220000,0.220000,0,0,0,0,0.039748,0.000000
48,0,0,0,0,optimize,free_motion,0.074443,0.001885,0.180000,0.220000,0.220000,0,0,0,0,0.045085,0.000000
49,0,1,0,0,optimize,sustained_grasp,0.238172,0.001174,0.180000,0.220000,0.220000,0,0,0,0,0.277622,0.000000
50,0,0,0,0,optimize,sustained_grasp,0.043944,0.002348,0.180000,0.220000,0.220000,0,0,0,0,0.304684,0.000000
51,0,0,0,0,optimize,sustained_grasp,0.046035,0.003543,0.180000,0.220000,0.220000,0,0,0,0,0.280444,0.000000
52,0,0,0,0,optimize,sustained_grasp,0.053470,0.004745,0.180000,0.220000,0.220000,0,0,0,0,0.260873,0.000000
53,0,0,0,0,optimize,sustained_grasp,0.060798,0.005508,0.180000,0.220000,0.220000,0,0,0,0,0.219823,0.000000
54,0,1,0,0,optimize,high_speed,0.362546,0.006343,0.300000,0.420000,0.340000,0,0,1,0,0.143269,0.000000
55,0,0,0,0,optimize,uniform_motion,0.031004,0.006593,0.180000,0.220000,0.220000,0,0,0,0,0.160234,0.000000
56,0,0,0,0,optimize,low_speed,0.024437,0.005887,0.100000,0.120000,0.120000,0,0,0,0,0.181373,0.000000
57,0,0,0,0,optimize,static_hold,0.006608,0.005501,0.100000,0.120000,0.120000,0,0,0,0,0.185059,0.000000
58,0,0,0,0,optimize,sustained_grasp,0.009210,0.005178,0.180000,0.220000,0.220000,0,0,0,0,0.179155,0.000000
59,0,0,0,0,optimize,sustained_grasp,0.022811,0.004884,0.180000,0.220000,0.220000,0,0,0,0,0.157822,0.000000
60,0,0,0,0,optimize,sustained_grasp,0.027559,0.004993,0.180000,0.220000,0.220000,0,0,0,0,0.138771,0.000000
61,0,0,0,0,optimize,sustained_grasp,0.077486,0.094995,0.180000,0.220000,0.220000,0,0,0,0,0.147753,0.000000
62,0,0,0,0,optimize,sustained_grasp,0.065681,0.098037,0.180000,0.220000,0.220000,0,0,0,0,0.203575,0.000000
63,0,1,0,0,optimize,sustained_grasp_high_speed,0.285823,0.159627,0.300000,0.420000,0.340000,0,0,0,0,0.148379,0.000000
64,0,1,0,0,optimize,sustained_grasp_high_speed,0.539743,0.160610,0.300000,0.420000,0.340000,0,0,1,1,0.365349,0.000000
65,0,0,0,0,optimize,sustained_grasp,0.098951,0.159425,0.180000,0.220000,0.220000,0,1,0,0,0.354342,0.000000
66,0,0,0,0,optimize,sustained_grasp,0.020187,0.016239,0.180000,0.220000,0.220000,0,0,0,0,0.350990,0.000000
67,0,0,0,0,optimize,sustained_grasp,0.038463,0.014526,0.180000,0.220000,0.220000,0,0,0,0,0.309705,0.000000
68,0,0,0,0,optimize,uniform_motion,0.051859,0.005548,0.180000,0.220000,0.220000,0,0,0,0,0.264758,0.000000
69,0,0,0,0,optimize,free_motion,0.063922,0.003249,0.180000,0.220000,0.220000,0,1,0,0,0.205874,0.000000
70,0,1,0,0,optimize,high_speed,0.361780,0.158138,0.300000,0.420000,0.340000,0,0,1,0,0.028452,0.000000
71,0,1,0,0,optimize,high_speed,0.307995,0.160393,0.300000,0.420000,0.340000,0,0,1,0,0.188312,0.000000
72,0,0,0,0,optimize,uniform_motion,0.041829,0.155777,0.180000,0.220000,0.220000,0,1,0,0,0.139971,0.000000
73,0,0,0,0,optimize,free_motion,0.108946,0.028314,0.180000,0.220000,0.220000,0,0,0,0,0.041159,0.000000
