frame,stage,constraint,active,weight,source_gate,reason
1,stage1,keypart_identity_check,0,,not_evaluated,dry_run_not_evaluated
121,stage1,keypart_identity_check,0,,not_evaluated,dry_run_not_evaluated
240,stage1,keypart_identity_check,0,,not_evaluated,dry_run_not_evaluated
1,stage1,track_stability_check,0,,not_evaluated,dry_run_not_evaluated
121,stage1,track_stability_check,0,,not_evaluated,dry_run_not_evaluated
240,stage1,track_stability_check,0,,not_evaluated,dry_run_not_evaluated
1,stage2,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
62,stage2,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
222,stage2,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
119,stage2,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
240,stage2,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
1,stage2,keypart_visibility_check,0,,not_evaluated,dry_run_not_evaluated
62,stage2,keypart_visibility_check,0,,not_evaluated,dry_run_not_evaluated
222,stage2,keypart_visibility_check,0,,not_evaluated,dry_run_not_evaluated
119,stage2,keypart_visibility_check,0,,not_evaluated,dry_run_not_evaluated
240,stage2,keypart_visibility_check,0,,not_evaluated,dry_run_not_evaluated
1,stage3,overlay_alignment_check,0,,not_evaluated,dry_run_not_evaluated
121,stage3,overlay_alignment_check,0,,not_evaluated,dry_run_not_evaluated
240,stage3,overlay_alignment_check,0,,not_evaluated,dry_run_not_evaluated
1,stage4,anchor_update_check,0,,not_evaluated,dry_run_not_evaluated
62,stage4,anchor_update_check,0,,not_evaluated,dry_run_not_evaluated
222,stage4,anchor_update_check,0,,not_evaluated,dry_run_not_evaluated
119,stage4,anchor_update_check,0,,not_evaluated,dry_run_not_evaluated
240,stage4,anchor_update_check,0,,not_evaluated,dry_run_not_evaluated
1,stage4,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
62,stage4,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
222,stage4,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
119,stage4,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
240,stage4,contact_relation_check,0,,not_evaluated,dry_run_not_evaluated
1,stage4,overlay_alignment_check,0,,not_evaluated,dry_run_not_evaluated
62,stage4,overlay_alignment_check,0,,not_evaluated,dry_run_not_evaluated
222,stage4,overlay_alignment_check,0,,not_evaluated,dry_run_not_evaluated
119,stage4,overlay_alignment_check,0,,not_evaluated,dry_run_not_evaluated
240,stage4,overlay_alignment_check,0,,not_evaluated,dry_run_not_evaluated
1,stage4,temporal_motion_check,0,,not_evaluated,dry_run_not_evaluated
62,stage4,temporal_motion_check,0,,not_evaluated,dry_run_not_evaluated
222,stage4,temporal_motion_check,0,,not_evaluated,dry_run_not_evaluated
119,stage4,temporal_motion_check,0,,not_evaluated,dry_run_not_evaluated
240,stage4,temporal_motion_check,0,,not_evaluated,dry_run_not_evaluated
