frame,time,center_x,center_y,source
1,0.000000,584.283,56.797,cotracker_sam2_mask_points
2,0.041667,584.233,56.763,cotracker_sam2_mask_points
3,0.083333,583.759,53.467,cotracker_sam2_mask_points
4,0.125000,582.356,52.802,cotracker_sam2_mask_points
5,0.166667,580.061,56.449,cotracker_sam2_mask_points
6,0.208333,577.622,64.255,cotracker_sam2_mask_points
7,0.250000,575.334,75.813,cotracker_sam2_mask_points
8,0.291667,572.793,92.190,cotracker_sam2_mask_points
9,0.333333,569.396,110.198,cotracker_sam2_mask_points
10,0.375000,568.493,127.138,cotracker_sam2_mask_points
11,0.416667,559.881,123.555,cotracker_sam2_mask_points
12,0.458333,545.937,102.201,cotracker_sam2_mask_points
13,0.500000,531.786,77.721,cotracker_sam2_mask_points
14,0.541667,524.980,49.243,cotracker_sam2_mask_points
15,0.583333,526.062,19.868,cotracker_sam2_mask_points
16,0.625000,528.562,-3.468,cotracker_sam2_mask_points
17,0.666667,537.246,-22.743,cotracker_sam2_mask_points
18,0.708333,540.430,-22.163,cotracker_sam2_mask_points
19,0.750000,544.738,-23.979,cotracker_sam2_mask_points
20,0.791667,547.500,-25.773,cotracker_sam2_mask_points
21,0.833333,547.307,-28.427,cotracker_sam2_mask_points
22,0.875000,549.065,-30.841,cotracker_sam2_mask_points
23,0.916667,550.008,-29.615,cotracker_sam2_mask_points
24,0.958333,551.333,-24.782,cotracker_sam2_mask_points
25,1.000000,552.125,-15.178,cotracker_sam2_mask_points
26,1.041667,559.166,7.440,cotracker_sam2_mask_points
27,1.083333,566.138,-7.818,cotracker_sam2_mask_points
28,1.125000,569.301,7.493,cotracker_sam2_mask_points
29,1.166667,572.430,28.950,cotracker_sam2_mask_points
30,1.208333,574.947,58.748,cotracker_sam2_mask_points
31,1.250000,576.726,93.645,cotracker_sam2_mask_points
32,1.291667,578.351,129.090,cotracker_sam2_mask_points
33,1.333333,586.696,145.724,cotracker_sam2_mask_points
34,1.375000,584.049,129.660,cotracker_sam2_mask_points
35,1.416667,577.795,101.898,cotracker_sam2_mask_points
36,1.458333,572.310,72.190,cotracker_sam2_mask_points
37,1.500000,567.826,41.421,cotracker_sam2_mask_points
38,1.541667,565.308,18.106,cotracker_sam2_mask_points
39,1.583333,563.610,2.601,cotracker_sam2_mask_points
40,1.625000,559.774,-10.045,cotracker_sam2_mask_points
41,1.666667,553.184,-17.787,cotracker_sam2_mask_points
42,1.708333,551.021,-18.964,cotracker_sam2_mask_points
43,1.750000,549.886,-16.199,cotracker_sam2_mask_points
44,1.791667,548.976,-9.136,cotracker_sam2_mask_points
45,1.833333,546.068,2.748,cotracker_sam2_mask_points
46,1.875000,542.786,17.578,cotracker_sam2_mask_points
47,1.916667,541.238,39.773,cotracker_sam2_mask_points
48,1.958333,539.786,67.839,cotracker_sam2_mask_points
49,2.000000,537.549,98.113,cotracker_sam2_mask_points
50,2.041667,536.645,116.615,cotracker_sam2_mask_points
51,2.083333,536.604,97.210,cotracker_sam2_mask_points
52,2.125000,537.138,74.677,cotracker_sam2_mask_points
53,2.166667,539.527,56.318,cotracker_sam2_mask_points
54,2.208333,541.468,40.540,cotracker_sam2_mask_points
55,2.250000,542.892,29.250,cotracker_sam2_mask_points
56,2.291667,544.309,22.382,cotracker_sam2_mask_points
57,2.333333,544.843,19.937,cotracker_sam2_mask_points
58,2.375000,547.014,22.667,cotracker_sam2_mask_points
59,2.416667,549.152,28.471,cotracker_sam2_mask_points
60,2.458333,550.465,38.323,cotracker_sam2_mask_points
61,2.500000,552.287,54.328,cotracker_sam2_mask_points
62,2.541667,553.448,72.902,cotracker_sam2_mask_points
63,2.583333,554.869,95.871,cotracker_sam2_mask_points
64,2.625000,556.813,122.208,cotracker_sam2_mask_points
65,2.666667,564.648,137.505,cotracker_sam2_mask_points
66,2.708333,562.391,134.193,cotracker_sam2_mask_points
67,2.750000,557.822,115.131,cotracker_sam2_mask_points
68,2.791667,552.997,89.147,cotracker_sam2_mask_points
69,2.833333,550.124,60.368,cotracker_sam2_mask_points
70,2.875000,549.195,30.566,cotracker_sam2_mask_points
71,2.916667,550.399,8.500,cotracker_sam2_mask_points
72,2.958333,557.564,-0.900,cotracker_sam2_mask_points
73,3.000000,557.071,45.200,cotracker_sam2_mask_points
74,3.041667,561.589,49.983,cotracker_sam2_mask_points
75,3.083333,565.842,57.407,cotracker_sam2_mask_points
76,3.125000,568.984,64.831,cotracker_sam2_mask_points
77,3.166667,570.454,69.742,cotracker_sam2_mask_points
78,3.208333,572.908,72.661,cotracker_sam2_mask_points
79,3.250000,576.082,74.612,cotracker_sam2_mask_points
80,3.291667,581.657,72.426,cotracker_sam2_mask_points
81,3.333333,585.078,64.901,cotracker_sam2_mask_points
82,3.375000,586.970,59.794,cotracker_sam2_mask_points
83,3.416667,587.935,53.421,cotracker_sam2_mask_points
84,3.458333,587.943,45.309,cotracker_sam2_mask_points
85,3.500000,583.725,38.123,cotracker_sam2_mask_points
86,3.541667,581.952,2.037,cotracker_sam2_mask_points
87,3.583333,576.412,7.486,cotracker_sam2_mask_points
88,3.625000,575.470,19.488,cotracker_sam2_mask_points
89,3.666667,574.210,41.046,cotracker_sam2_mask_points
90,3.708333,574.466,66.179,cotracker_sam2_mask_points
91,3.750000,575.351,93.653,cotracker_sam2_mask_points
92,3.791667,576.336,123.526,cotracker_sam2_mask_points
93,3.833333,579.155,149.792,cotracker_sam2_mask_points
94,3.875000,579.933,160.714,cotracker_sam2_mask_points
95,3.916667,576.674,152.039,cotracker_sam2_mask_points
96,3.958333,572.153,137.076,cotracker_sam2_mask_points
97,4.000000,570.322,115.494,cotracker_sam2_mask_points
98,4.041667,563.229,94.061,cotracker_sam2_mask_points
99,4.083333,560.912,69.362,cotracker_sam2_mask_points
100,4.125000,559.348,46.906,cotracker_sam2_mask_points
101,4.166667,559.175,26.763,cotracker_sam2_mask_points
102,4.208333,559.062,13.438,cotracker_sam2_mask_points
103,4.250000,559.602,7.726,cotracker_sam2_mask_points
104,4.291667,559.951,1.476,cotracker_sam2_mask_points
105,4.333333,570.988,-10.620,cotracker_sam2_mask_points
106,4.375000,571.575,-11.558,cotracker_sam2_mask_points
107,4.416667,572.564,-10.633,cotracker_sam2_mask_points
108,4.458333,573.827,-6.686,cotracker_sam2_mask_points
109,4.500000,574.467,1.882,cotracker_sam2_mask_points
110,4.541667,573.754,13.564,cotracker_sam2_mask_points
111,4.583333,573.968,34.191,cotracker_sam2_mask_points
112,4.625000,573.977,58.530,cotracker_sam2_mask_points
113,4.666667,574.504,85.201,cotracker_sam2_mask_points
114,4.708333,574.790,116.615,cotracker_sam2_mask_points
115,4.750000,573.221,146.461,cotracker_sam2_mask_points
116,4.791667,571.329,137.875,cotracker_sam2_mask_points
117,4.833333,570.560,115.916,cotracker_sam2_mask_points
118,4.875000,568.733,94.165,cotracker_sam2_mask_points
119,4.916667,567.810,75.817,cotracker_sam2_mask_points
120,4.958333,567.899,60.982,cotracker_sam2_mask_points
121,5.000000,566.075,49.693,cotracker_sam2_mask_points
122,5.041667,565.756,42.597,cotracker_sam2_mask_points
123,5.083333,565.471,39.299,cotracker_sam2_mask_points
124,5.125000,565.237,39.760,cotracker_sam2_mask_points
125,5.166667,565.246,44.934,cotracker_sam2_mask_points
126,5.208333,566.368,52.864,cotracker_sam2_mask_points
127,5.250000,566.789,64.626,cotracker_sam2_mask_points
128,5.291667,567.764,81.285,cotracker_sam2_mask_points
129,5.333333,573.234,99.190,cotracker_sam2_mask_points
130,5.375000,574.710,123.799,cotracker_sam2_mask_points
131,5.416667,574.108,143.581,cotracker_sam2_mask_points
132,5.458333,567.714,134.487,cotracker_sam2_mask_points
133,5.500000,555.169,107.993,cotracker_sam2_mask_points
134,5.541667,536.110,78.273,cotracker_sam2_mask_points
135,5.583333,514.098,51.850,cotracker_sam2_mask_points
136,5.625000,492.259,29.456,cotracker_sam2_mask_points
137,5.666667,472.934,15.263,cotracker_sam2_mask_points
138,5.708333,455.199,8.270,cotracker_sam2_mask_points
139,5.750000,506.803,45.717,cotracker_sam2_mask_points
140,5.791667,514.872,58.893,cotracker_sam2_mask_points
141,5.833333,522.344,72.308,cotracker_sam2_mask_points
142,5.875000,524.751,87.126,cotracker_sam2_mask_points
143,5.916667,528.646,102.990,cotracker_sam2_mask_points
144,5.958333,530.472,118.404,cotracker_sam2_mask_points
145,6.000000,658.276,153.042,cotracker_sam2_mask_points
146,6.041667,657.159,155.732,cotracker_sam2_mask_points
147,6.083333,665.431,153.865,cotracker_sam2_mask_points
148,6.125000,669.209,153.133,cotracker_sam2_mask_points
149,6.166667,671.834,153.191,cotracker_sam2_mask_points
150,6.208333,672.650,153.505,cotracker_sam2_mask_points
151,6.250000,672.661,154.748,cotracker_sam2_mask_points
152,6.291667,672.842,155.774,cotracker_sam2_mask_points
153,6.333333,674.979,155.105,cotracker_sam2_mask_points
154,6.375000,676.811,154.680,cotracker_sam2_mask_points
155,6.416667,678.026,154.599,cotracker_sam2_mask_points
156,6.458333,678.592,154.275,cotracker_sam2_mask_points
157,6.500000,678.988,154.650,cotracker_sam2_mask_points
158,6.541667,678.103,154.309,cotracker_sam2_mask_points
159,6.583333,677.910,153.853,cotracker_sam2_mask_points
160,6.625000,676.866,153.192,cotracker_sam2_mask_points
161,6.666667,674.901,151.665,cotracker_sam2_mask_points
162,6.708333,673.362,151.158,cotracker_sam2_mask_points
163,6.750000,672.426,150.506,cotracker_sam2_mask_points
164,6.791667,670.766,150.659,cotracker_sam2_mask_points
165,6.833333,668.290,150.588,cotracker_sam2_mask_points
166,6.875000,667.144,149.832,cotracker_sam2_mask_points
167,6.916667,665.504,149.732,cotracker_sam2_mask_points
168,6.958333,663.724,149.640,cotracker_sam2_mask_points
169,7.000000,656.773,143.697,cotracker_sam2_mask_points
170,7.041667,653.260,143.485,cotracker_sam2_mask_points
171,7.083333,647.137,142.374,cotracker_sam2_mask_points
172,7.125000,629.418,142.451,cotracker_sam2_mask_points
173,7.166667,562.041,140.315,cotracker_sam2_mask_points
174,7.208333,519.217,137.418,cotracker_sam2_mask_points
175,7.250000,605.984,136.807,cotracker_sam2_mask_points
176,7.291667,491.295,113.654,cotracker_sam2_mask_points
177,7.333333,303.021,76.309,cotracker_sam2_mask_points
178,7.375000,330.874,73.507,cotracker_sam2_mask_points
179,7.416667,360.659,75.244,cotracker_sam2_mask_points
180,7.458333,391.603,80.145,cotracker_sam2_mask_points
181,7.500000,422.905,87.750,cotracker_sam2_mask_points
182,7.541667,454.202,100.474,cotracker_sam2_mask_points
183,7.583333,487.171,112.293,cotracker_sam2_mask_points
184,7.625000,517.560,129.105,cotracker_sam2_mask_points
185,7.666667,538.565,141.764,cotracker_sam2_mask_points
186,7.708333,545.811,148.190,cotracker_sam2_mask_points
187,7.750000,551.899,157.590,cotracker_sam2_mask_points
188,7.791667,555.522,170.240,cotracker_sam2_mask_points
189,7.833333,557.453,186.460,cotracker_sam2_mask_points
190,7.875000,556.977,205.742,cotracker_sam2_mask_points
191,7.916667,556.504,226.429,cotracker_sam2_mask_points
192,7.958333,557.977,247.205,cotracker_sam2_mask_points
193,8.000000,561.868,266.074,cotracker_sam2_mask_points
194,8.041667,569.443,282.857,cotracker_sam2_mask_points
195,8.083333,577.251,295.982,cotracker_sam2_mask_points
196,8.125000,584.414,305.875,cotracker_sam2_mask_points
197,8.166667,591.377,313.263,cotracker_sam2_mask_points
198,8.208333,594.728,317.327,cotracker_sam2_mask_points
199,8.250000,596.900,319.101,cotracker_sam2_mask_points
200,8.291667,596.186,319.062,cotracker_sam2_mask_points
201,8.333333,592.134,316.067,cotracker_sam2_mask_points
202,8.375000,589.389,313.215,cotracker_sam2_mask_points
203,8.416667,584.475,309.525,cotracker_sam2_mask_points
204,8.458333,579.424,304.910,cotracker_sam2_mask_points
205,8.500000,574.979,298.198,cotracker_sam2_mask_points
206,8.541667,571.559,293.161,cotracker_sam2_mask_points
207,8.583333,568.106,287.876,cotracker_sam2_mask_points
208,8.625000,565.590,284.354,cotracker_sam2_mask_points
209,8.666667,560.650,281.893,cotracker_sam2_mask_points
210,8.708333,557.088,283.841,cotracker_sam2_mask_points
211,8.750000,553.295,287.106,cotracker_sam2_mask_points
212,8.791667,549.919,293.174,cotracker_sam2_mask_points
213,8.833333,546.311,301.965,cotracker_sam2_mask_points
214,8.875000,546.240,309.028,cotracker_sam2_mask_points
215,8.916667,546.786,316.114,cotracker_sam2_mask_points
216,8.958333,549.681,322.338,cotracker_sam2_mask_points
217,9.000000,549.264,330.526,cotracker_sam2_mask_points
218,9.041667,552.725,338.780,cotracker_sam2_mask_points
219,9.083333,556.176,346.586,cotracker_sam2_mask_points
220,9.125000,559.177,352.191,cotracker_sam2_mask_points
221,9.166667,559.432,356.395,cotracker_sam2_mask_points
222,9.208333,556.504,358.468,cotracker_sam2_mask_points
223,9.250000,550.206,357.250,cotracker_sam2_mask_points
224,9.291667,540.756,353.207,cotracker_sam2_mask_points
225,9.333333,524.938,346.167,cotracker_sam2_mask_points
226,9.375000,509.291,333.247,cotracker_sam2_mask_points
227,9.416667,491.656,313.502,cotracker_sam2_mask_points
228,9.458333,478.140,286.821,cotracker_sam2_mask_points
229,9.500000,468.405,255.165,cotracker_sam2_mask_points
230,9.541667,465.440,215.032,cotracker_sam2_mask_points
231,9.583333,467.812,179.360,cotracker_sam2_mask_points
232,9.625000,470.202,149.427,cotracker_sam2_mask_points
233,9.666667,474.390,123.475,cotracker_sam2_mask_points
234,9.708333,477.826,104.299,cotracker_sam2_mask_points
235,9.750000,480.704,90.826,cotracker_sam2_mask_points
236,9.791667,482.865,81.351,cotracker_sam2_mask_points
237,9.833333,484.689,75.763,cotracker_sam2_mask_points
238,9.875000,487.105,75.075,cotracker_sam2_mask_points
239,9.916667,488.649,79.381,cotracker_sam2_mask_points
240,9.958333,491.760,87.811,cotracker_sam2_mask_points
