frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
1,0.000000,584.283,56.797,1.000000,548.489,57.283,1.000000,618.801,56.866,1.000000,584.622,22.925,1.000000,584.260,91.211,1.000000
2,0.041667,584.233,56.763,1.000000,548.798,57.155,1.000000,618.786,56.574,1.000000,584.632,23.023,1.000000,584.044,91.102,1.000000
3,0.083333,583.759,53.467,1.000000,548.896,53.654,1.000000,618.954,53.708,1.000000,584.821,19.375,1.000000,583.266,87.942,1.000000
4,0.125000,582.356,52.802,1.000000,548.917,52.876,1.000000,618.604,53.175,1.000000,584.374,18.333,1.000000,582.106,87.969,1.000000
5,0.166667,580.061,56.449,1.000000,549.273,56.331,1.000000,617.534,56.095,1.000000,583.748,21.350,1.000000,580.945,92.359,1.000000
6,0.208333,577.622,64.255,1.000000,549.856,63.842,1.000000,617.092,63.437,1.000000,583.574,28.509,1.000000,580.501,100.364,1.000000
7,0.250000,575.334,75.813,1.000000,550.568,75.383,1.000000,616.670,74.942,1.000000,583.452,39.909,1.000000,579.563,111.470,1.000000
8,0.291667,572.793,92.190,1.000000,550.072,91.791,1.000000,615.617,90.688,1.000000,582.471,56.001,1.000000,577.793,126.511,1.000000
9,0.333333,569.396,110.198,1.000000,548.099,110.572,1.000000,614.870,108.283,1.000000,581.035,75.504,1.000000,575.911,145.020,1.000000
10,0.375000,568.493,127.138,1.000000,548.247,124.712,0.000000,613.878,125.040,1.000000,581.268,91.665,1.000000,575.761,160.002,1.000000
11,0.416667,559.881,123.555,1.000000,541.995,120.980,0.000000,605.834,121.958,1.000000,574.606,88.147,1.000000,568.411,155.322,0.000000
12,0.458333,545.937,102.201,1.000000,531.085,98.699,0.000000,590.762,102.699,1.000000,562.632,67.786,1.000000,554.996,132.331,0.000000
13,0.500000,531.786,77.721,1.000000,521.661,73.953,0.000000,575.339,79.575,1.000000,550.252,42.369,1.000000,544.640,109.049,0.000000
14,0.541667,524.980,49.243,1.000000,518.119,45.185,0.000000,567.422,53.832,1.000000,545.276,13.792,1.000000,542.369,80.105,0.000000
15,0.583333,526.062,19.868,1.000000,521.977,17.271,0.000000,567.000,27.841,1.000000,547.073,-10.250,0.000000,546.854,51.040,0.000000
16,0.625000,528.562,-3.468,0.000000,525.714,-5.276,0.000000,563.783,7.092,0.000000,551.143,-37.601,0.000000,548.761,23.865,0.000000
17,0.666667,537.246,-22.743,0.000000,534.666,-28.401,0.000000,564.644,-7.903,0.000000,553.695,-54.727,0.000000,556.487,2.840,0.000000
18,0.708333,540.430,-22.163,0.000000,542.080,-25.316,0.000000,575.282,-7.987,0.000000,565.722,-43.340,0.000000,563.226,53.111,0.000000
19,0.750000,544.738,-23.979,0.000000,546.350,-26.701,0.000000,582.865,-10.004,0.000000,573.161,-36.966,0.000000,571.598,73.151,0.000000
20,0.791667,547.500,-25.773,0.000000,548.155,-29.610,0.000000,588.636,-12.210,0.000000,574.144,-37.331,0.000000,577.669,84.589,0.000000
21,0.833333,547.307,-28.427,0.000000,546.518,-32.137,0.000000,590.038,-14.812,0.000000,573.966,-44.472,0.000000,579.953,93.911,0.000000
22,0.875000,549.065,-30.841,0.000000,547.674,-33.644,0.000000,592.807,-17.478,0.000000,574.156,-44.765,0.000000,579.541,67.945,0.000000
23,0.916667,550.008,-29.615,0.000000,547.253,-31.377,0.000000,594.024,-16.868,0.000000,575.577,-45.774,0.000000,579.060,42.791,0.000000
24,0.958333,551.333,-24.782,0.000000,547.682,-25.976,0.000000,594.109,-13.149,0.000000,575.160,-42.840,0.000000,578.783,32.267,0.000000
25,1.000000,552.125,-15.178,0.000000,546.172,-11.221,0.000000,589.384,-1.454,0.000000,568.792,-32.106,0.000000,578.654,36.279,0.000000
26,1.041667,559.166,7.440,0.000000,552.640,13.590,0.000000,590.511,10.834,0.000000,574.023,-12.411,0.000000,585.072,68.524,0.000000
27,1.083333,566.138,-7.818,0.000000,554.136,-0.787,0.000000,597.146,-11.910,0.000000,573.563,-37.674,0.000000,583.940,10.941,0.000000
28,1.125000,569.301,7.493,0.000000,550.437,8.958,0.000000,600.451,4.165,0.000000,575.797,-17.643,0.000000,585.018,32.008,0.000000
29,1.166667,572.430,28.950,1.000000,550.817,28.483,0.000000,603.434,26.707,1.000000,577.534,5.188,0.000000,585.240,58.460,0.000000
30,1.208333,574.947,58.748,1.000000,551.888,56.064,1.000000,606.986,56.860,1.000000,577.681,28.332,1.000000,583.884,89.601,0.000000
31,1.250000,576.726,93.645,1.000000,552.531,90.341,1.000000,608.810,92.280,1.000000,579.689,62.783,1.000000,584.122,125.914,1.000000
32,1.291667,578.351,129.090,1.000000,552.525,127.473,1.000000,610.182,128.889,1.000000,580.957,100.061,1.000000,582.196,165.197,1.000000
33,1.333333,586.696,145.724,1.000000,555.899,141.191,1.000000,617.548,150.436,1.000000,588.928,119.446,1.000000,587.284,179.883,1.000000
34,1.375000,584.049,129.660,1.000000,553.054,123.711,1.000000,614.960,135.075,1.000000,587.232,101.940,1.000000,581.537,162.878,1.000000
35,1.416667,577.795,101.898,1.000000,547.513,94.177,1.000000,609.325,108.681,1.000000,583.520,73.649,1.000000,572.295,136.304,1.000000
36,1.458333,572.310,72.190,1.000000,542.704,63.285,1.000000,604.621,80.243,1.000000,579.643,42.336,1.000000,563.846,106.970,1.000000
37,1.500000,567.826,41.421,1.000000,538.886,32.333,1.000000,600.509,50.537,1.000000,578.461,11.645,1.000000,558.275,76.607,1.000000
38,1.541667,565.308,18.106,1.000000,537.854,8.576,1.000000,598.425,30.504,1.000000,581.570,-10.598,0.000000,554.983,51.898,1.000000
39,1.583333,563.610,2.601,1.000000,536.336,-10.537,0.000000,595.089,15.716,1.000000,581.276,-27.675,0.000000,552.072,34.225,1.000000
40,1.625000,559.774,-10.045,0.000000,535.201,-24.576,0.000000,590.289,7.249,1.000000,580.071,-39.075,0.000000,549.536,21.082,1.000000
41,1.666667,553.184,-17.787,0.000000,537.401,-36.522,0.000000,584.262,4.355,1.000000,577.985,-46.393,0.000000,548.975,10.542,1.000000
42,1.708333,551.021,-18.964,0.000000,536.272,-38.099,0.000000,580.937,3.931,0.000000,576.819,-47.754,0.000000,546.937,7.733,1.000000
43,1.750000,549.886,-16.199,0.000000,535.531,-35.912,0.000000,580.253,5.936,1.000000,576.607,-46.077,0.000000,545.808,8.190,1.000000
44,1.791667,548.976,-9.136,0.000000,534.764,-29.316,0.000000,580.760,10.181,1.000000,576.496,-41.483,0.000000,545.016,12.331,1.000000
45,1.833333,546.068,2.748,0.000000,532.414,-15.735,0.000000,579.383,20.737,1.000000,574.754,-29.851,0.000000,543.137,21.832,1.000000
46,1.875000,542.786,17.578,1.000000,530.792,4.012,0.000000,576.880,36.479,1.000000,572.583,-12.922,0.000000,540.282,37.988,1.000000
47,1.916667,541.238,39.773,1.000000,530.164,23.916,1.000000,575.840,58.369,1.000000,571.285,9.723,1.000000,538.837,59.631,1.000000
48,1.958333,539.786,67.839,1.000000,529.611,51.303,1.000000,575.602,85.286,1.000000,571.481,36.459,1.000000,537.717,85.766,1.000000
49,2.000000,537.549,98.113,1.000000,529.412,79.748,1.000000,576.389,113.700,1.000000,572.418,67.988,1.000000,538.630,120.926,1.000000
50,2.041667,536.645,116.615,1.000000,528.972,99.640,1.000000,574.594,133.289,1.000000,570.720,88.783,1.000000,536.019,134.740,1.000000
51,2.083333,536.604,97.210,1.000000,530.188,79.598,1.000000,573.836,114.479,1.000000,570.498,67.660,1.000000,536.568,117.019,1.000000
52,2.125000,537.138,74.677,1.000000,532.149,56.467,1.000000,573.543,94.589,1.000000,572.993,45.907,1.000000,536.952,95.006,1.000000
53,2.166667,539.527,56.318,1.000000,535.574,37.793,1.000000,574.096,77.761,1.000000,576.355,28.793,1.000000,539.853,76.139,1.000000
54,2.208333,541.468,40.540,1.000000,538.264,21.821,1.000000,574.777,63.818,1.000000,580.105,14.900,1.000000,542.187,59.750,1.000000
55,2.250000,542.892,29.250,1.000000,540.413,11.431,1.000000,575.857,54.010,1.000000,585.048,6.413,1.000000,544.588,47.461,1.000000
56,2.291667,544.309,22.382,1.000000,542.334,5.080,0.000000,577.342,48.372,1.000000,589.559,3.576,0.000000,546.343,39.935,1.000000
57,2.333333,544.843,19.937,1.000000,542.711,3.270,0.000000,579.002,45.554,1.000000,591.537,7.835,0.000000,547.542,37.238,0.000000
58,2.375000,547.014,22.667,1.000000,545.621,5.524,0.000000,580.408,48.535,1.000000,593.325,9.855,1.000000,550.613,40.073,0.000000
59,2.416667,549.152,28.471,1.000000,549.592,10.642,1.000000,581.982,55.380,1.000000,594.858,14.290,1.000000,554.210,45.994,0.000000
60,2.458333,550.465,38.323,1.000000,552.876,20.456,1.000000,582.618,66.855,1.000000,595.865,24.178,1.000000,556.686,56.568,0.000000
61,2.500000,552.287,54.328,1.000000,555.624,35.716,1.000000,583.311,82.558,1.000000,596.684,38.876,1.000000,559.386,72.179,0.000000
62,2.541667,553.448,72.902,1.000000,557.064,53.889,1.000000,584.119,101.083,1.000000,596.813,57.167,1.000000,561.215,90.698,0.000000
63,2.583333,554.869,95.871,1.000000,558.933,76.584,1.000000,585.751,124.667,1.000000,597.607,80.225,1.000000,563.299,114.267,0.000000
64,2.625000,556.813,122.208,1.000000,560.541,103.430,1.000000,587.539,147.152,1.000000,598.667,105.999,1.000000,564.486,140.215,0.000000
65,2.666667,564.648,137.505,1.000000,564.551,126.845,1.000000,590.885,161.992,0.000000,601.841,128.242,1.000000,571.075,163.162,0.000000
66,2.708333,562.391,134.193,1.000000,562.562,123.655,1.000000,587.926,158.323,0.000000,598.038,125.324,1.000000,568.257,159.087,0.000000
67,2.750000,557.822,115.131,1.000000,558.834,103.405,1.000000,583.586,139.413,0.000000,592.451,103.117,1.000000,563.555,140.542,0.000000
68,2.791667,552.997,89.147,1.000000,552.391,78.131,1.000000,577.148,112.837,0.000000,585.457,76.141,1.000000,557.318,116.569,0.000000
69,2.833333,550.124,60.368,1.000000,547.618,50.781,1.000000,572.703,81.383,0.000000,579.318,43.262,1.000000,554.577,87.717,0.000000
70,2.875000,549.195,30.566,1.000000,547.119,22.951,1.000000,572.115,52.249,0.000000,579.192,14.976,1.000000,555.124,58.831,0.000000
71,2.916667,550.399,8.500,0.000000,546.975,5.512,0.000000,572.483,28.326,0.000000,586.649,10.777,0.000000,558.366,32.961,0.000000
72,2.958333,557.564,-0.900,0.000000,557.836,1.851,0.000000,575.966,20.302,0.000000,589.206,9.293,0.000000,564.008,19.609,0.000000
73,3.000000,557.071,45.200,0.000000,554.119,36.686,0.000000,582.839,56.668,0.000000,593.667,35.707,0.000000,561.368,59.738,0.000000
74,3.041667,561.589,49.983,0.000000,556.523,41.783,0.000000,587.648,61.861,0.000000,596.983,45.161,0.000000,565.951,70.196,0.000000
75,3.083333,565.842,57.407,0.000000,558.506,48.710,0.000000,591.192,68.963,0.000000,598.961,54.530,0.000000,568.564,80.419,0.000000
76,3.125000,568.984,64.831,0.000000,559.937,55.899,0.000000,594.111,76.517,0.000000,600.578,63.581,0.000000,569.642,90.425,0.000000
77,3.166667,570.454,69.742,0.000000,560.858,61.371,0.000000,596.939,82.278,0.000000,602.516,73.185,0.000000,570.204,99.549,0.000000
78,3.208333,572.908,72.661,0.000000,562.882,65.728,0.000000,600.833,85.942,0.000000,603.896,79.673,0.000000,571.518,107.761,0.000000
79,3.250000,576.082,74.612,0.000000,565.673,68.111,0.000000,603.144,87.898,0.000000,605.312,85.656,0.000000,573.526,115.609,0.000000
80,3.291667,581.657,72.426,0.000000,571.768,66.596,0.000000,607.544,84.784,0.000000,610.348,86.021,0.000000,579.649,118.440,0.000000
81,3.333333,585.078,64.901,0.000000,578.529,62.708,0.000000,609.762,74.905,0.000000,611.316,76.383,0.000000,579.010,127.485,0.000000
82,3.375000,586.970,59.794,0.000000,582.592,60.146,0.000000,612.789,71.503,0.000000,614.272,72.193,0.000000,582.264,133.030,0.000000
83,3.416667,587.935,53.421,0.000000,585.451,57.759,0.000000,614.815,66.413,0.000000,615.955,66.114,0.000000,587.134,138.254,0.000000
84,3.458333,587.943,45.309,0.000000,586.636,51.873,0.000000,614.557,57.700,0.000000,616.735,60.039,0.000000,588.793,141.207,0.000000
85,3.500000,583.725,38.123,0.000000,578.562,38.693,0.000000,610.314,48.187,0.000000,608.958,45.182,0.000000,585.431,143.662,0.000000
86,3.541667,581.952,2.037,0.000000,565.146,9.793,0.000000,609.621,-0.911,0.000000,597.505,9.522,0.000000,588.619,4.514,0.000000
87,3.583333,576.412,7.486,0.000000,557.850,13.385,0.000000,609.494,0.519,0.000000,592.022,7.294,0.000000,584.443,18.489,0.000000
88,3.625000,575.470,19.488,1.000000,558.216,22.988,1.000000,611.736,14.328,1.000000,590.818,9.151,0.000000,585.383,43.589,0.000000
89,3.666667,574.210,41.046,1.000000,556.771,43.809,1.000000,613.197,36.349,1.000000,586.613,11.748,1.000000,584.276,69.856,1.000000
90,3.708333,574.466,66.179,1.000000,556.552,67.722,1.000000,615.175,61.333,1.000000,586.022,34.831,1.000000,583.988,95.620,1.000000
91,3.750000,575.351,93.653,1.000000,557.443,93.269,1.000000,616.410,89.048,1.000000,586.716,61.581,1.000000,583.733,121.307,1.000000
92,3.791667,576.336,123.526,1.000000,558.598,121.862,1.000000,617.278,118.720,1.000000,588.965,90.018,1.000000,582.701,153.525,1.000000
93,3.833333,579.155,149.792,1.000000,560.153,145.153,1.000000,619.529,145.355,1.000000,590.619,116.104,1.000000,584.328,173.894,1.000000
94,3.875000,579.933,160.714,1.000000,560.415,152.399,1.000000,620.304,158.982,1.000000,591.893,126.985,1.000000,582.823,182.536,1.000000
95,3.916667,576.674,152.039,1.000000,557.595,141.578,1.000000,617.693,151.500,1.000000,589.243,118.120,1.000000,579.516,171.891,0.000000
96,3.958333,572.153,137.076,1.000000,553.753,125.403,1.000000,613.561,137.628,1.000000,584.970,102.125,1.000000,575.850,155.279,1.000000
97,4.000000,570.322,115.494,1.000000,550.686,102.653,1.000000,612.177,116.917,1.000000,581.682,81.094,1.000000,576.137,133.730,1.000000
98,4.041667,563.229,94.061,1.000000,543.603,79.986,1.000000,605.196,94.513,1.000000,575.475,56.810,1.000000,570.328,110.164,0.000000
99,4.083333,560.912,69.362,1.000000,540.199,56.489,1.000000,602.871,71.253,1.000000,573.207,33.312,1.000000,568.568,87.414,1.000000
100,4.125000,559.348,46.906,1.000000,538.760,34.145,1.000000,601.067,49.578,1.000000,572.382,11.006,1.000000,568.586,64.861,1.000000
101,4.166667,559.175,26.763,1.000000,539.224,17.453,1.000000,599.226,31.550,1.000000,574.729,2.586,0.000000,569.309,44.968,1.000000
102,4.208333,559.062,13.438,1.000000,540.423,8.694,0.000000,596.826,17.704,1.000000,570.468,-15.003,0.000000,569.483,27.887,1.000000
103,4.250000,559.602,7.726,0.000000,544.299,2.331,0.000000,593.220,10.477,0.000000,569.385,-26.559,0.000000,571.492,16.084,1.000000
104,4.291667,559.951,1.476,0.000000,546.206,-3.086,0.000000,590.823,7.375,0.000000,567.786,-33.653,0.000000,572.435,9.507,0.000000
105,4.333333,570.988,-10.620,0.000000,551.045,-2.074,0.000000,595.002,-5.524,0.000000,561.205,-33.809,0.000000,584.282,3.814,1.000000
106,4.375000,571.575,-11.558,0.000000,550.300,-0.672,0.000000,595.923,-7.044,0.000000,558.091,-33.498,0.000000,585.358,4.213,1.000000
107,4.416667,572.564,-10.633,0.000000,549.066,2.118,0.000000,596.856,-7.893,0.000000,555.911,-31.251,0.000000,587.185,6.633,1.000000
108,4.458333,573.827,-6.686,0.000000,547.534,7.334,1.000000,598.659,-7.222,0.000000,553.956,-26.889,0.000000,589.156,12.180,1.000000
109,4.500000,574.467,1.882,0.000000,545.682,17.776,1.000000,599.671,-2.661,0.000000,552.223,-17.654,0.000000,589.607,22.927,1.000000
110,4.541667,573.754,13.564,1.000000,544.958,33.407,1.000000,599.628,7.203,1.000000,550.967,-3.456,0.000000,589.557,38.827,1.000000
111,4.583333,573.968,34.191,1.000000,544.485,53.155,1.000000,600.069,25.785,1.000000,551.956,13.788,1.000000,589.634,59.497,1.000000
112,4.625000,573.977,58.530,1.000000,544.707,77.507,1.000000,600.347,49.143,1.000000,551.393,36.729,1.000000,590.835,83.793,1.000000
113,4.666667,574.504,85.201,1.000000,546.867,104.885,1.000000,599.855,76.532,1.000000,553.510,63.113,1.000000,592.448,110.023,1.000000
114,4.708333,574.790,116.615,1.000000,548.129,135.219,1.000000,599.018,106.767,1.000000,554.498,94.098,1.000000,592.797,140.805,1.000000
115,4.750000,573.221,146.461,1.000000,547.395,161.357,1.000000,597.318,135.599,1.000000,553.824,124.445,1.000000,591.321,169.124,1.000000
116,4.791667,571.329,137.875,1.000000,544.870,152.415,1.000000,596.436,126.143,1.000000,553.827,114.863,1.000000,587.760,161.141,1.000000
117,4.833333,570.560,115.916,1.000000,543.873,129.898,1.000000,597.350,103.309,1.000000,554.497,89.333,1.000000,586.312,140.661,1.000000
118,4.875000,568.733,94.165,1.000000,543.681,107.122,1.000000,596.804,79.524,1.000000,555.444,65.644,1.000000,585.483,118.028,1.000000
119,4.916667,567.810,75.817,1.000000,543.851,86.634,1.000000,597.905,59.769,1.000000,556.681,44.873,1.000000,584.674,98.827,1.000000
