frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,0.15291686879665328,-0.1977070770249224,2.913533253497194,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
2,0.041667,0.15116194481938075,-0.20158400656676692,2.912189165386584,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
3,0.083333,0.14917070440933203,-0.19956935079063656,2.911079623651119,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
4,0.125,0.14693526515738317,-0.18657262375745184,2.910657752450147,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
5,0.166667,0.1447842651842715,-0.1593672569514148,2.911542917893691,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
6,0.208333,0.13987658669404848,-0.11851774509492469,2.9143383518481905,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
7,0.25,0.13589255353179733,-0.06337992223150032,2.920045291285912,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
8,0.291667,0.13372836322870874,0.008212854771396485,2.929473027417126,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
9,0.333333,0.1300593558666287,0.10487560519120154,2.9417883654023873,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
10,0.375,0.12416116021933772,0.22426121137063443,2.952818033915601,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
11,0.416667,0.12439137368722386,0.3559115946211205,2.9589187754119326,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
12,0.458333,0.119197777075571,0.27059655036973745,2.9567902395706223,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
13,0.5,0.11814631546738145,0.192964256950679,2.9446492247394382,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
14,0.541667,0.11788966670021195,0.12801511332894028,2.922920943128338,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
15,0.583333,0.1155776298693705,0.08024838063728384,2.8971697545949646,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
16,0.625,0.11990385296988418,0.04446366328948738,2.8824432061264154,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
17,0.666667,0.14199509719501094,0.013914401527965914,2.9731384008107673,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
18,0.708333,0.2024902912334832,-0.07119439513761822,3.054843029598535,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
19,0.75,0.23567013046317078,-0.12891651501233123,2.984028860076982,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
20,0.791667,0.25950446020784673,-0.16848501639948998,2.907902733034487,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
21,0.833333,0.2782569464163827,-0.19490525336122932,2.842264568805342,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
22,0.875,0.2950140763055792,-0.2087475822268711,2.7900487036554305,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
23,0.916667,0.3090162758458064,-0.21290837535453397,2.7487668301434307,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
24,0.958333,0.3186918650908278,-0.21060025741407845,2.7158016854722993,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
25,1.0,0.3070150890089413,-0.21429834483451565,2.6870120159468884,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
26,1.041667,0.29298444477255886,-0.2335684826451753,2.7225966917148723,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
27,1.083333,0.27532160200459826,-0.2504485421247226,2.760861648997087,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
28,1.125,0.2591132740075094,-0.25952353565936065,2.803067734144172,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
29,1.166667,0.24204252456882538,-0.2612011998444189,2.846669585669568,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
30,1.208333,0.22935386724579068,-0.24369260268097326,2.8860760371077205,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
31,1.25,0.2186950158358715,-0.22893833441151135,2.9157962700261035,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
32,1.291667,0.20592608862587672,-0.1987038483954604,2.9375161626205846,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
33,1.333333,0.1865540064229538,-0.12297552256576769,2.953014426397176,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
34,1.375,0.16949317402313543,-0.030725892621097376,2.9658316612701676,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
35,1.416667,0.15336359496781815,0.01669515438166462,2.977365135911175,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
36,1.458333,0.13469044899600047,0.11776864123613441,2.986664960228167,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
37,1.5,0.11490096274575344,0.2399506963455102,2.993618493658556,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
38,1.541667,0.11284420507639198,0.3006427880577306,2.9972835741998485,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
39,1.583333,0.11717071613515426,0.19365829977702465,2.9942740671329293,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
40,1.625,0.11859548395232672,0.11525789871548443,2.9787173953266572,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
41,1.666667,0.11764870694245946,0.051369927485702856,2.9420086179339524,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
42,1.708333,0.11555855092751713,0.0010795664185904628,2.8773735748121507,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
43,1.75,0.11085067269543118,-0.035318269803849334,2.7939821215718514,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
44,1.791667,0.10513176723796537,-0.0553608528380311,2.7093114239338565,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
45,1.833333,0.0995048053442999,-0.06321311096037173,2.6338471880897045,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
46,1.875,0.09561281513691551,-0.062479076928086505,2.583645266539936,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
47,1.916667,0.10964287839153818,-0.061173903470695824,2.7938229705134727,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
48,1.958333,0.15650204590124056,-0.10175484197308926,2.754190517320351,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
49,2.0,0.19493576583169292,-0.13558126382391245,2.7081228475151375,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
50,2.041667,0.23116411624963532,-0.1617746366804559,2.682421239201063,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
51,2.083333,0.2642484428842174,-0.18095582988959158,2.685356077146049,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
52,2.125,0.29126676046133254,-0.1912737726798827,2.698742021522293,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
53,2.166667,0.3095382392658014,-0.19927395143150914,2.7154151812904344,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
54,2.208333,0.30070943662793903,-0.2175237524992708,2.7297648540123514,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
55,2.25,0.2791439907500776,-0.23973104064951573,2.7430096467918212,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
56,2.291667,0.2562608425979335,-0.25240873138984465,2.7577172646446644,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
57,2.333333,0.23357375532383456,-0.25636258101499765,2.776771765248501,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
58,2.375,0.21054374771443668,-0.25064239561024737,2.8015252462893527,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
59,2.416667,0.18673424235168795,-0.23606631366478112,2.8308699312748717,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
60,2.458333,0.1613936981921633,-0.2104914472321989,2.8625299452794124,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
61,2.5,0.13654878266819612,-0.17511891111796854,2.8962633122856634,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
62,2.541667,0.11414397804289542,-0.1305329772377571,2.9290298468924005,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
63,2.583333,0.09119611643164166,-0.07300166770273687,2.959530579171356,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
64,2.625,0.06925338590962209,-0.00685203946795073,2.986697234144006,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
65,2.666667,0.04695891122405389,0.060386698511944094,3.0060373357977577,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
66,2.708333,0.029665283076249778,0.06845666519773766,3.016373581674376,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
67,2.75,0.01608365455509977,0.02011405760758493,3.0169370517729255,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
68,2.791667,0.004302229463068449,-0.024617008157463018,3.005849087267223,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
69,2.833333,-0.007886669606776711,-0.05731401136144798,2.980391923514428,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
70,2.875,-0.023432083484224535,-0.0777169529666679,2.939247484034418,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
71,2.916667,-0.04008353964470704,-0.08657383434127428,2.8876070901303366,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
