frame,time_s,rms_z,flux_z,hf_ratio,motion_probability,source
1,0.020833333333333332,-0.06196874736809952,-2.945278276078789,0.17687220509020202,0.332633776001199,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
2,0.0625,0.02775577148259186,3.8555876803366225,0.15793304692424123,0.7047204763901226,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
3,0.10416666666666667,-0.20616955799176456,-0.4705977956479852,0.14599083661426945,0.43429621464306273,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
4,0.14583333333333334,-0.5177737978071028,-0.4778912457513902,0.15881678819798958,0.3754280633853427,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
5,0.1875,-0.7716068185130308,-0.3817074795565893,0.17048426291635246,0.3349615824057344,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
6,0.22916666666666666,-0.8421121229581392,0.9843530360686226,0.15207326710098107,0.3916719207472821,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
7,0.2708333333333333,-0.824977573952418,0.38815648016276827,0.18214293644833482,0.36398995594715605,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
8,0.3125,-0.8895471093155419,1.2037325001715915,0.19736257357672657,0.39435903441847486,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
9,0.3541666666666667,-0.9860628198970754,1.1815637203721547,0.20193913164195829,0.37538460442794613,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
10,0.3958333333333333,-0.8900203990577383,1.2315462147098382,0.18973884148797396,0.39573315968585054,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
11,0.4375,1.334920325322265,12.92128612556012,0.22017278407405128,0.979844581362246,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
12,0.4791666666666667,1.3911489318830244,-1.226189019902174,0.15657647170711267,0.69324510501022,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
13,0.5208333333333334,0.7814475309147246,-0.1511504934939175,0.13561682181697196,0.6402100566464348,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
14,0.5625,0.429173619657714,-1.0122441545264729,0.1291422624924346,0.5279861463641686,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
15,0.6041666666666666,0.12462889795208262,-0.9384464347251174,0.1321263495046962,0.4727152129127688,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
16,0.6458333333333334,1.391814100101399,3.162724918590908,0.19818424675328847,0.8558714376916675,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
17,0.6875,1.4440695276094322,10.822454466642277,0.23331698104553747,0.9708951658287179,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
18,0.7291666666666666,0.837234706475209,-2.5176496312821866,0.21445436587837863,0.5247697451708563,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
19,0.7708333333333334,0.567169102711944,-0.6269572768991227,0.21164315170116219,0.5755327545939214,/tmp/audiohoi-nine/samples_known_object/14_pingpong_wall/audio.wav
