frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
1,0.000000,716.594,260.312,716.155,259.507,ref,712.048,262.129,human_nearest_mesh_topk,717.027,267.464,268.102,7.152,7.957,bottom_percentile_95,2.869788,2.882247,0.012460,1.000000,0.370630,0.067026,0.857491,0.857491,0.906201,1.805765,0.444175,5.000000,8.000000,right_hand,0.067026,608.744,304.949,3.220381,left,2.869788,2.869788,0.857491,0.637994,0.000000,0.528540
2,0.041667,715.566,257.373,715.425,257.073,ref,710.822,259.536,human_nearest_mesh_topk,715.965,265.201,265.652,7.828,8.127,bottom_percentile_95,2.862578,2.866996,0.004418,1.000000,0.676798,0.061288,1.000000,1.000000,0.836403,3.149467,0.000000,5.000000,8.000000,right_hand,0.061288,607.782,311.033,3.193059,left,2.856680,2.862578,1.000000,0.451395,0.000000,0.704720
3,0.083333,714.434,258.615,714.405,259.253,ref,709.747,260.616,human_nearest_mesh_topk,715.004,267.653,266.803,9.038,8.400,bottom_percentile_95,2.868427,2.883954,0.015527,1.000000,0.253462,0.049595,0.808803,0.808803,0.777366,4.286010,0.099575,5.000000,8.000000,right_hand,0.049595,603.323,322.918,3.165320,left,2.873212,2.868427,0.808803,0.849537,0.000000,0.616772
4,0.125000,712.913,265.354,712.983,265.127,ref,708.260,268.904,human_nearest_mesh_topk,713.644,273.902,273.651,8.548,8.775,bottom_percentile_95,2.862112,2.871068,0.008955,1.000000,0.673035,0.036850,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.036850,595.068,340.490,3.138059,left,2.856946,2.862112,1.000000,0.251095,0.000000,0.462579
5,0.166667,711.575,277.903,711.599,278.029,ref,707.446,282.829,human_nearest_mesh_topk,713.183,287.419,287.540,9.516,9.390,bottom_percentile_95,2.855260,2.855063,-0.000197,1.000000,0.430305,0.026020,0.905602,0.905602,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.026020,582.857,362.561,3.106402,left,2.849654,2.855260,0.905602,0.121043,0.030915,0.308386
6,0.208333,710.172,297.984,710.050,297.964,ref,704.830,303.679,human_nearest_mesh_topk,710.556,307.485,308.264,9.501,9.521,bottom_percentile_95,2.856445,2.866749,0.010305,1.000000,0.009705,0.018463,0.949287,0.949287,1.000000,0.000000,0.343400,5.000000,8.000000,right_hand,0.018463,569.700,392.498,3.040873,left,2.857414,2.856445,0.949287,0.779357,0.073404,0.000000
7,0.250000,708.171,325.845,708.384,325.769,ref,702.871,331.442,human_nearest_mesh_topk,708.377,336.229,336.056,10.384,10.460,bottom_percentile_95,2.852825,2.858100,0.005275,1.000000,0.000000,0.012255,0.740874,0.740874,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.012255,550.959,425.028,2.971173,left,2.849864,2.852825,0.740874,0.173069,0.114028,0.000000
8,0.291667,706.459,361.968,706.203,361.847,ref,701.815,365.351,human_nearest_mesh_topk,707.829,373.677,371.905,11.709,11.830,bottom_percentile_95,2.856537,2.867687,0.011150,1.000000,0.000000,0.008583,0.844367,0.844367,1.000000,0.000000,0.343400,5.000000,8.000000,right_hand,0.008583,529.797,455.531,2.912060,left,2.859574,2.856537,0.844367,1.772564,0.208619,0.000000
9,0.333333,703.437,407.721,703.313,411.949,ref,699.157,413.994,human_nearest_mesh_topk,706.062,425.671,422.520,17.950,13.722,bottom_percentile_95,2.877046,2.902915,0.025869,1.000000,0.000000,0.006826,0.861307,0.861307,1.000000,0.000000,1.459350,5.000000,8.000000,right_hand,0.006826,507.118,481.654,2.877956,left,2.893827,2.877046,0.861307,3.151043,0.274556,0.489922
10,0.375000,700.468,465.880,701.142,461.023,ref,694.523,471.439,human_nearest_mesh_topk,701.525,476.125,481.411,10.245,15.102,bottom_percentile_95,2.879340,2.894768,0.015428,1.000000,0.000000,0.006392,1.000000,1.000000,0.323996,13.014030,2.191100,5.000000,8.000000,right_hand,0.006392,491.341,501.517,2.855793,left,2.881217,2.879340,1.000000,5.285219,0.835747,0.734883
