frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
1,0.000000,right,left,707.435,260.823,108.106762,108.106762,0.528540,0.158562,none,0,0
2,0.041667,right,left,706.222,258.274,111.686980,111.686980,0.704720,0.211416,none,0,0
3,0.083333,right,left,705.238,259.275,120.154881,120.154881,0.616772,0.185032,none,0,0
4,0.125000,right,left,703.997,265.871,132.035786,132.035786,0.462579,0.138774,none,0,0
5,0.166667,right,left,703.122,279.861,145.955632,145.955632,0.308386,0.092516,none,0,0
6,0.208333,right,left,700.319,300.649,159.679629,159.679629,0.073404,0.000000,none,0,0
7,0.250000,right,left,698.166,328.425,176.074314,176.074314,0.114028,0.000000,none,0,0
8,0.291667,right,left,696.930,364.497,190.317382,190.317382,0.208619,0.000000,none,0,0
9,0.333333,right,left,694.496,413.234,199.478419,199.478419,0.489922,0.146977,none,0,0
10,0.375000,right,left,690.833,469.110,202.107595,202.107595,0.835747,0.220465,none,0,0
11,0.416667,right,left,690.987,537.880,209.373734,209.373734,1.000000,0.293953,proposal,0,0
12,0.458333,right,left,688.715,493.783,200.265474,200.265474,1.000000,0.290635,proposal,0,0
13,0.500000,right,left,688.821,455.980,186.256016,186.256016,0.726586,0.217976,none,0,0
14,0.541667,right,left,689.027,423.604,162.405602,162.405602,0.710321,0.213096,none,0,0
15,0.583333,right,left,688.955,400.416,127.895695,127.895695,0.532741,0.159822,none,0,0
16,0.625000,right,left,690.122,383.130,94.399371,94.399371,0.728171,0.218452,none,0,0
17,0.666667,right,left,707.099,359.751,83.927520,83.927520,0.970895,0.291279,proposal,0,0
18,0.708333,right,left,728.155,324.369,93.257240,93.257240,1.000000,0.300001,proposal,0,0
19,0.750000,right,left,746.376,296.346,108.844899,108.844899,0.750000,0.225000,none,0,0
20,0.791667,right,left,761.521,274.641,127.345729,127.345729,0.500000,0.150000,none,0,0
21,0.833333,right,left,774.149,258.970,147.795653,147.795653,0.655143,0.196543,none,0,0
22,0.875000,right,left,785.982,249.846,169.766616,169.766616,0.491357,0.147407,none,0,0
23,0.916667,right,left,795.108,245.843,191.542822,191.542822,0.488637,0.146591,none,0,0
24,0.958333,right,left,803.390,246.234,213.044833,213.044833,0.732956,0.219887,none,0,0
25,1.000000,right,left,798.303,242.430,223.835166,223.835166,0.977275,0.293182,proposal,0,0
26,1.041667,right,left,789.009,232.826,232.426098,232.426098,0.732956,0.219887,none,0,0
27,1.083333,right,left,777.280,225.935,238.951718,238.951718,0.488637,0.146591,none,0,0
28,1.125000,right,left,767.107,223.828,247.807392,247.807392,0.505161,0.151548,none,0,0
29,1.166667,right,left,755.012,224.302,253.060671,253.060671,0.673548,0.202064,none,0,0
30,1.208333,right,left,747.272,237.158,254.232225,254.232225,0.599522,0.179857,none,0,0
31,1.250000,right,left,740.871,244.251,257.352707,257.352707,0.449642,0.134893,none,0,0
32,1.291667,right,left,733.807,259.285,254.661485,254.661485,0.380561,0.089928,none,0,0
33,1.333333,right,left,722.446,298.565,235.400987,235.400987,0.000000,0.000000,none,0,0
34,1.375000,right,left,713.730,346.763,216.217889,216.217889,1.000000,0.104453,none,0,0
35,1.416667,right,left,706.487,365.817,208.805498,208.805498,0.522267,0.156680,none,0,0
36,1.458333,right,left,696.709,417.887,198.042143,198.042143,1.000000,0.220506,none,0,0
37,1.500000,right,left,687.613,477.205,203.584263,203.584263,1.000000,0.294007,proposal,0,0
38,1.541667,right,left,685.518,510.813,217.184207,217.184207,0.735018,0.220506,none,0,0
39,1.583333,right,left,688.323,452.813,204.175083,204.175083,0.522267,0.156680,none,0,0
40,1.625000,right,left,688.499,416.790,201.392007,201.392007,0.696357,0.208907,none,0,0
41,1.666667,right,left,688.610,385.516,197.787445,197.787445,0.587634,0.176290,none,0,0
42,1.708333,right,left,689.134,360.555,191.618979,191.618979,0.440725,0.132218,none,0,0
43,1.750000,right,left,688.274,341.092,178.179067,178.179067,0.293817,0.088145,none,0,0
44,1.791667,right,left,687.141,329.729,159.621782,159.621782,0.000000,0.000000,none,0,0
45,1.833333,right,left,685.998,324.322,133.998058,133.998058,0.487122,0.146136,none,0,0
46,1.875000,right,left,685.069,324.148,104.459684,104.459684,0.730682,0.219205,none,0,0
47,1.916667,right,grid_02_05,710.062,318.621,95.961536,95.961536,0.974243,0.292273,proposal,0,0
48,1.958333,right,bottom,724.373,315.319,83.405135,83.405135,0.819626,0.245900,none,0,0
49,2.000000,right,left,735.527,285.283,86.837594,86.837594,0.614719,0.184421,none,0,0
50,2.041667,right,left,756.819,270.669,104.806870,104.806870,0.409813,0.122944,none,0,0
51,2.083333,right,left,775.056,260.193,129.405588,129.405588,0.485098,0.145529,none,0,0
52,2.125000,right,left,788.959,254.976,156.969819,156.969819,0.727647,0.218294,none,0,0
53,2.166667,right,left,798.861,252.394,182.417724,182.417724,0.970196,0.291059,proposal,0,0
54,2.208333,right,left,792.463,242.674,193.547977,193.547977,0.727647,0.218294,none,0,0
55,2.250000,right,left,779.964,231.092,196.297408,196.297408,0.485098,0.145529,none,0,0
56,2.291667,right,left,767.272,225.101,200.198463,200.198463,0.485549,0.145665,none,0,0
57,2.333333,right,left,755.037,223.854,202.360451,202.360451,0.647399,0.194220,none,0,0
58,2.375000,right,left,741.728,228.560,203.033844,203.033844,0.485549,0.145665,none,0,0
59,2.416667,right,left,728.243,237.354,203.622542,203.622542,0.452574,0.135772,none,0,0
60,2.458333,right,left,713.913,252.011,205.080382,205.080382,0.603431,0.181029,none,0,0
61,2.500000,right,left,700.392,271.301,206.540245,206.540245,0.452574,0.135772,none,0,0
62,2.541667,right,left,688.423,294.542,210.295693,210.295693,0.301716,0.090515,none,0,0
63,2.583333,right,left,676.291,324.167,214.694168,214.694168,0.357522,0.107257,none,0,0
64,2.625000,right,left,665.069,356.441,217.984100,217.984100,0.536283,0.160885,none,0,0
65,2.666667,right,left,653.519,390.983,216.524165,216.524165,1.000000,0.219689,none,0,0
66,2.708333,right,left,645.107,394.789,212.884629,212.884629,0.976397,0.292919,proposal,0,0
67,2.750000,right,left,638.391,369.252,205.165500,205.165500,0.732298,0.219689,none,0,0
68,2.791667,right,left,632.413,348.138,193.296007,193.296007,0.536283,0.160885,none,0,0
69,2.833333,right,left,626.783,332.019,173.037334,173.037334,0.715045,0.214513,none,0,0
70,2.875000,right,left,619.050,321.347,148.133897,148.133897,0.536283,0.160885,none,0,0
71,2.916667,right,left,610.398,316.146,124.322891,124.322891,0.357522,0.107257,none,0,0
72,2.958333,right,left,601.134,316.348,103.028980,103.028980,0.482933,0.144880,none,0,0
73,3.000000,right,left,591.157,320.121,84.765552,84.765552,0.724399,0.217328,none,0,0
74,3.041667,right,right,601.813,326.938,85.134512,85.134512,0.965865,0.289767,proposal,0,0
75,3.083333,right,right,601.097,324.973,89.921823,89.921823,0.724399,0.217322,none,0,0
76,3.125000,right,bottom,600.315,316.590,106.498497,106.498497,0.482933,0.144880,none,0,0
77,3.166667,right,bottom,616.466,298.610,141.764303,141.764303,0.596109,0.178833,none,0,0
78,3.208333,right,bottom,630.204,289.729,168.199015,168.199015,0.447081,0.134124,none,0,0
79,3.250000,right,bottom,643.470,287.640,187.611248,187.611248,0.298054,0.089416,none,0,0
80,3.291667,right,bottom,657.364,292.486,195.981072,195.981072,0.028544,0.000000,none,0,0
81,3.333333,right,left,658.674,294.204,188.280577,188.280577,0.028428,0.000000,none,0,0
82,3.375000,right,left,671.692,313.753,162.234677,162.234677,0.332142,0.099642,none,0,0
83,3.416667,right,left,684.527,340.738,125.851654,125.851654,0.498212,0.149464,none,0,0
84,3.458333,right,left,697.941,371.902,85.842532,85.842532,1.000000,0.218935,none,0,0
85,3.500000,right,left,721.562,346.940,94.817858,94.817858,0.973016,0.291905,proposal,0,0
86,3.541667,right,left,750.130,307.393,126.180171,126.180171,0.729762,0.218929,none,0,0
87,3.583333,right,left,774.218,277.403,161.605413,161.605413,0.486508,0.145952,none,0,0
88,3.625000,right,left,792.624,255.952,198.460082,198.460082,0.480021,0.144006,none,0,0
89,3.666667,right,left,807.984,241.885,232.944421,232.944421,0.720032,0.216010,none,0,0
90,3.708333,right,left,800.841,232.612,242.177323,242.177323,0.960043,0.288013,proposal,0,0
91,3.750000,right,left,792.672,227.352,250.591690,250.591690,0.720032,0.216010,none,0,0
92,3.791667,right,left,784.976,227.032,257.857370,257.857370,0.498212,0.149464,none,0,0
93,3.833333,right,left,778.436,230.775,264.218463,264.218463,0.664283,0.199285,none,0,0
94,3.875000,right,left,773.517,239.824,272.100056,272.100056,0.498212,0.149464,none,0,0
95,3.916667,right,left,767.749,253.211,279.325781,279.325781,0.332142,0.099642,none,0,0
96,3.958333,right,left,762.313,271.077,283.597901,283.597901,0.339425,0.101828,none,0,0
97,4.000000,right,left,757.622,292.408,285.984668,285.984668,0.509138,0.152741,none,0,0
98,4.041667,right,left,753.215,318.600,284.240365,284.240365,0.728399,0.218520,none,0,0
99,4.083333,right,left,748.785,310.800,283.881040,283.881040,0.971199,0.291360,proposal,0,0
