frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
1,0.000000,0.528540,0.158562,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,108.106762,108.106762,0.012460,0.000000,floor,gvhmr_floor,-578.501410,0.750000,left,707.435,260.823,608.744,304.949
2,0.041667,0.704720,0.211416,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,111.686980,111.686980,0.004418,0.000000,floor,gvhmr_floor,-579.236410,0.750000,left,706.222,258.274,607.782,311.033
3,0.083333,0.616772,0.185032,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,120.154881,120.154881,0.015527,0.000000,floor,gvhmr_floor,-579.405610,0.750000,left,705.238,259.275,603.323,322.918
4,0.125000,0.462579,0.138774,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,132.035786,132.035786,0.008955,0.000000,floor,gvhmr_floor,-577.469650,0.750000,left,703.997,265.871,595.068,340.490
5,0.166667,0.308386,0.092516,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,145.955632,145.955632,-0.000197,0.030915,floor,gvhmr_floor,-571.947778,0.750000,left,703.122,279.861,582.857,362.561
6,0.208333,0.073404,0.000000,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,159.679629,159.679629,0.010305,0.073404,floor,gvhmr_floor,-561.865267,0.750000,left,700.319,300.649,569.700,392.498
7,0.250000,0.114028,0.000000,0.000000,0,0,0,0,0,none,hand,right_hand,right,hand,176.074314,176.074314,0.005275,0.114028,floor,gvhmr_floor,-546.469910,0.750000,left,698.166,328.425,550.959,425.028
8,0.291667,0.208619,0.000000,0.194290,0,0,0,0,0,none,hand,right_hand,right,hand,190.317382,190.317382,0.011150,0.208619,floor,gvhmr_floor,-524.938460,0.750000,left,696.930,364.497,529.797,455.531
9,0.333333,0.489922,0.146977,0.677321,0,0,0,0,0,soft,hand,right_hand,right,hand,199.478419,199.478419,0.025869,0.274556,floor,gvhmr_floor,-494.681945,0.750000,left,694.496,413.234,507.118,481.654
10,0.375000,0.835747,0.220465,1.000000,0,0,0,0,0,strong,hand,right_hand,right,hand,202.107595,202.107595,0.015428,0.835747,floor,gvhmr_floor,-455.835084,0.750000,left,690.833,469.110,491.341,501.517
