frame,time,object_support_v_raw,object_support_v,support_v_raw,support_v,signed_gap,gap,floor_score,proposal_score,confidence_level,is_candidate,floor_contact_state
1,0.000000,268.102,268.102,846.603,846.603,-578.501410,578.501410,0.000000,0.528540,none,0,0
2,0.041667,265.652,267.367,846.603,846.603,-579.236410,579.236410,0.000000,0.704720,none,0,0
3,0.083333,266.803,267.198,846.603,846.603,-579.405610,579.405610,0.000000,0.616772,none,0,0
4,0.125000,273.651,269.134,846.603,846.603,-577.469650,577.469650,0.000000,0.462579,none,0,0
5,0.166667,287.540,274.656,846.603,846.603,-571.947778,571.947778,0.000000,0.308386,none,0,0
6,0.208333,308.264,284.738,846.603,846.603,-561.865267,561.865267,0.000000,0.073404,none,0,0
7,0.250000,336.056,300.133,846.603,846.603,-546.469910,546.469910,0.000000,0.114028,none,0,0
8,0.291667,371.905,321.665,846.603,846.603,-524.938460,524.938460,0.194290,0.208619,none,0,0
9,0.333333,422.520,351.921,846.603,846.603,-494.681945,494.681945,0.677321,0.489922,soft,0,0
10,0.375000,481.411,390.768,846.603,846.603,-455.835084,455.835084,1.000000,0.835747,strong,0,0
11,0.416667,550.213,438.602,846.603,846.603,-408.001682,408.001682,1.000000,1.000000,strong,1,1
12,0.458333,503.238,457.993,846.603,846.603,-388.610800,388.610800,1.000000,1.000000,strong,0,0
13,0.500000,464.750,460.020,846.603,846.603,-386.583583,386.583583,1.000000,0.726586,strong,0,0
14,0.541667,432.474,451.756,846.603,846.603,-394.847331,394.847331,0.772314,0.710321,strong,0,0
15,0.583333,408.620,438.815,846.603,846.603,-407.788155,407.788155,0.544670,0.532741,soft,0,0
16,0.625000,390.178,424.224,846.603,846.603,-422.379331,422.379331,0.368673,0.728171,proposal,0,0
17,0.666667,368.705,407.568,846.603,846.603,-439.035055,439.035055,0.163751,0.970895,none,0,0
18,0.708333,332.454,385.034,846.603,846.603,-461.569361,461.569361,0.000000,1.000000,none,0,0
19,0.750000,304.228,360.792,846.603,846.603,-485.811176,485.811176,0.000000,0.750000,none,0,0
20,0.791667,282.219,337.220,846.603,846.603,-509.383146,509.383146,0.000000,0.500000,none,0,0
21,0.833333,266.226,315.922,846.603,846.603,-530.681425,530.681425,0.000000,0.655143,none,0,0
22,0.875000,257.002,298.246,846.603,846.603,-548.357421,548.357421,0.000000,0.491357,none,0,0
23,0.916667,252.807,284.614,846.603,846.603,-561.989117,561.989117,0.000000,0.488637,none,0,0
24,0.958333,253.614,275.314,846.603,846.603,-571.289205,571.289205,0.000000,0.732956,none,0,0
25,1.000000,250.290,267.807,846.603,846.603,-578.796467,578.796467,0.000000,0.977275,none,0,0
