frame,time,site_id,body_part,side,x_m,y_m,z_m,coordinate_frame,confidence,source
1,0.000000,left_hand,hand,left,-0.852676809,0.121308786,3.189949608,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
1,0.000000,right_hand,hand,right,-0.068538797,-0.120715660,3.220380783,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
1,0.000000,left_foot,foot,left,-1.167933583,0.954406500,3.139025927,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
1,0.000000,right_foot,foot,right,-0.370208859,1.024800777,3.074702024,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
2,0.041667,left_hand,hand,left,-0.843117344,0.116946936,3.190493250,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
2,0.041667,right_hand,hand,right,-0.070048738,-0.106463850,3.193058586,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
2,0.041667,left_foot,foot,left,-1.164878845,0.953226149,3.134706497,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
2,0.041667,right_foot,foot,right,-0.367591470,1.024023056,3.069935560,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
3,0.083333,left_hand,hand,left,-0.833850574,0.109526205,3.203823471,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
3,0.083333,right_hand,hand,right,-0.079051900,-0.079923809,3.165319633,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
3,0.083333,left_foot,foot,left,-1.165980101,0.952139497,3.139458656,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
3,0.083333,right_foot,foot,right,-0.369170099,1.024258494,3.074354172,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
4,0.125000,left_hand,hand,left,-0.822942019,0.098415446,3.233975554,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
4,0.125000,right_hand,hand,right,-0.096008813,-0.041688997,3.138059473,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
4,0.125000,left_foot,foot,left,-1.168883204,0.951677322,3.159250975,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
4,0.125000,right_foot,foot,right,-0.372986376,1.025281549,3.093474865,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
5,0.166667,left_hand,hand,left,-0.806709659,0.082009983,3.265124321,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
5,0.166667,right_hand,hand,right,-0.120870030,0.005417013,3.106402397,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
5,0.166667,left_foot,foot,left,-1.172643423,0.950767040,3.180022955,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
5,0.166667,right_foot,foot,right,-0.377534866,1.025145411,3.113353968,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
6,0.208333,left_hand,hand,left,-0.783097541,0.065028077,3.277009010,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
6,0.208333,right_hand,hand,right,-0.145562923,0.067289162,3.040872908,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
6,0.208333,left_foot,foot,left,-1.171586037,0.950611115,3.181338072,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
6,0.208333,right_foot,foot,right,-0.377001345,1.024684906,3.113643646,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
7,0.250000,left_hand,hand,left,-0.754934311,0.048276317,3.284981918,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
7,0.250000,right_hand,hand,right,-0.180142140,0.131559700,2.971172857,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
7,0.250000,left_foot,foot,left,-1.168933988,0.950149059,3.182841063,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
7,0.250000,right_foot,foot,right,-0.374886930,1.023553729,3.113805532,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
8,0.291667,left_hand,hand,left,-0.728859818,0.044971538,3.288066292,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
8,0.291667,right_hand,hand,right,-0.218519700,0.189425206,2.912059784,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
8,0.291667,left_foot,foot,left,-1.165378809,0.952747464,3.185626984,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
8,0.291667,right_foot,foot,right,-0.371772259,1.024238706,3.115680218,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
9,0.333333,left_hand,hand,left,-0.714154685,0.054396349,3.297128582,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
9,0.333333,right_hand,hand,right,-0.260401714,0.238399780,2.877956152,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
9,0.333333,left_foot,foot,left,-1.164632320,0.954241872,3.194818974,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
9,0.333333,right_foot,foot,right,-0.371675104,1.025628209,3.124282360,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
10,0.375000,left_hand,hand,left,-0.703549778,0.067732090,3.302499485,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
10,0.375000,right_hand,hand,right,-0.289077568,0.275188917,2.855792665,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
10,0.375000,left_foot,foot,left,-1.166108012,0.957225263,3.205252409,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
10,0.375000,right_foot,foot,right,-0.372848868,1.025543213,3.135404825,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
11,0.416667,left_hand,hand,left,-0.698250878,0.078922826,3.310924864,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
11,0.416667,right_hand,hand,right,-0.304143518,0.295041478,2.848753405,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
11,0.416667,left_foot,foot,left,-1.169376373,0.959393263,3.216578722,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
11,0.416667,right_foot,foot,right,-0.376133054,1.025473595,3.146121740,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
12,0.458333,left_hand,hand,left,-0.689705491,0.088238972,3.305780315,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
12,0.458333,right_hand,hand,right,-0.290449083,0.302303094,2.838608170,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
12,0.458333,left_foot,foot,left,-1.165464163,0.960655928,3.214839935,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
12,0.458333,right_foot,foot,right,-0.372256726,1.025740743,3.143550873,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
13,0.500000,left_hand,hand,left,-0.683924580,0.092164958,3.301488209,gvhmr_incam,1.000000,gvhmr_smplx_contact_site_provider
