frame,time,correspondence_id,u,v,track_confidence,visible_fraction,occlusion_state,source
1,0.000000,center,716.594,260.312,1.000000,1.000000,visible,cotracker_sam2_mask_points
2,0.041667,center,715.566,257.373,1.000000,1.000000,visible,cotracker_sam2_mask_points
3,0.083333,center,714.434,258.615,1.000000,1.000000,visible,cotracker_sam2_mask_points
4,0.125000,center,712.913,265.354,1.000000,1.000000,visible,cotracker_sam2_mask_points
5,0.166667,center,711.575,277.903,1.000000,1.000000,visible,cotracker_sam2_mask_points
6,0.208333,center,710.172,297.984,1.000000,1.000000,visible,cotracker_sam2_mask_points
7,0.250000,center,708.171,325.845,1.000000,1.000000,visible,cotracker_sam2_mask_points
8,0.291667,center,706.459,361.968,1.000000,1.000000,visible,cotracker_sam2_mask_points
9,0.333333,center,703.437,407.721,1.000000,1.000000,visible,cotracker_sam2_mask_points
10,0.375000,center,700.468,465.880,1.000000,1.000000,visible,cotracker_sam2_mask_points
11,0.416667,center,700.496,533.759,1.000000,1.000000,visible,cotracker_sam2_mask_points
12,0.458333,center,698.427,489.899,1.000000,1.000000,visible,cotracker_sam2_mask_points
13,0.500000,center,698.643,452.866,1.000000,1.000000,visible,cotracker_sam2_mask_points
14,0.541667,center,698.881,421.465,1.000000,1.000000,visible,cotracker_sam2_mask_points
15,0.583333,center,698.991,397.845,1.000000,1.000000,visible,cotracker_sam2_mask_points
16,0.625000,center,699.208,380.932,1.000000,1.000000,visible,cotracker_sam2_mask_points
17,0.666667,center,713.732,359.544,1.000000,1.000000,visible,cotracker_sam2_mask_points
18,0.708333,center,736.775,323.784,1.000000,1.000000,visible,cotracker_sam2_mask_points
19,0.750000,center,755.960,294.007,1.000000,1.000000,visible,cotracker_sam2_mask_points
20,0.791667,center,771.679,272.393,1.000000,1.000000,visible,cotracker_sam2_mask_points
21,0.833333,center,783.665,258.060,1.000000,1.000000,visible,cotracker_sam2_mask_points
22,0.875000,center,794.802,249.218,1.000000,1.000000,visible,cotracker_sam2_mask_points
23,0.916667,center,804.050,245.088,1.000000,1.000000,visible,cotracker_sam2_mask_points
24,0.958333,center,811.446,246.317,1.000000,1.000000,visible,cotracker_sam2_mask_points
25,1.000000,center,808.421,244.640,1.000000,1.000000,visible,cotracker_sam2_mask_points
26,1.041667,center,798.745,234.126,1.000000,1.000000,visible,cotracker_sam2_mask_points
27,1.083333,center,787.110,225.848,1.000000,1.000000,visible,cotracker_sam2_mask_points
28,1.125000,center,776.170,223.764,1.000000,1.000000,visible,cotracker_sam2_mask_points
29,1.166667,center,764.263,226.500,1.000000,1.000000,visible,cotracker_sam2_mask_points
30,1.208333,center,756.900,235.290,1.000000,1.000000,visible,cotracker_sam2_mask_points
31,1.250000,center,750.000,244.567,1.000000,1.000000,visible,cotracker_sam2_mask_points
32,1.291667,center,742.562,258.962,1.000000,1.000000,visible,cotracker_sam2_mask_points
33,1.333333,center,731.613,292.030,1.000000,1.000000,visible,cotracker_sam2_mask_points
34,1.375000,center,723.470,333.371,1.000000,1.000000,visible,cotracker_sam2_mask_points
35,1.416667,center,713.977,364.946,1.000000,1.000000,visible,cotracker_sam2_mask_points
36,1.458333,center,701.658,522.184,1.000000,1.000000,visible,cotracker_sam2_mask_points
37,1.500000,center,695.907,475.397,1.000000,1.000000,visible,cotracker_sam2_mask_points
38,1.541667,center,694.887,502.183,1.000000,1.000000,visible,cotracker_sam2_mask_points
39,1.583333,center,696.977,450.768,1.000000,1.000000,visible,cotracker_sam2_mask_points
40,1.625000,center,698.193,414.429,1.000000,1.000000,visible,cotracker_sam2_mask_points
41,1.666667,center,698.473,383.418,1.000000,1.000000,visible,cotracker_sam2_mask_points
42,1.708333,center,698.685,358.808,1.000000,1.000000,visible,cotracker_sam2_mask_points
43,1.750000,center,698.419,340.378,1.000000,1.000000,visible,cotracker_sam2_mask_points
44,1.791667,center,697.366,329.260,1.000000,1.000000,visible,cotracker_sam2_mask_points
45,1.833333,center,695.727,324.030,1.000000,1.000000,visible,cotracker_sam2_mask_points
46,1.875000,center,693.185,324.401,1.000000,1.000000,visible,cotracker_sam2_mask_points
47,1.916667,center,699.499,321.704,1.000000,1.000000,visible,cotracker_sam2_mask_points
48,1.958333,center,725.139,303.239,1.000000,1.000000,visible,cotracker_sam2_mask_points
49,2.000000,center,745.237,285.059,1.000000,1.000000,visible,cotracker_sam2_mask_points
50,2.041667,center,766.728,269.820,1.000000,1.000000,visible,cotracker_sam2_mask_points
51,2.083333,center,784.193,259.731,1.000000,1.000000,visible,cotracker_sam2_mask_points
52,2.125000,center,798.110,254.144,1.000000,1.000000,visible,cotracker_sam2_mask_points
53,2.166667,center,809.241,253.441,1.000000,1.000000,visible,cotracker_sam2_mask_points
54,2.208333,center,802.602,244.488,1.000000,1.000000,visible,cotracker_sam2_mask_points
55,2.250000,center,789.364,230.879,1.000000,1.000000,visible,cotracker_sam2_mask_points
56,2.291667,center,776.365,224.567,1.000000,1.000000,visible,cotracker_sam2_mask_points
57,2.333333,center,763.041,223.884,1.000000,1.000000,visible,cotracker_sam2_mask_points
58,2.375000,center,749.860,227.795,1.000000,1.000000,visible,cotracker_sam2_mask_points
59,2.416667,center,736.335,236.361,1.000000,1.000000,visible,cotracker_sam2_mask_points
60,2.458333,center,722.302,250.253,1.000000,1.000000,visible,cotracker_sam2_mask_points
61,2.500000,center,709.498,269.288,1.000000,1.000000,visible,cotracker_sam2_mask_points
62,2.541667,center,696.720,293.582,1.000000,1.000000,visible,cotracker_sam2_mask_points
63,2.583333,center,684.580,322.285,1.000000,1.000000,visible,cotracker_sam2_mask_points
64,2.625000,center,671.781,354.887,1.000000,1.000000,visible,cotracker_sam2_mask_points
65,2.666667,center,661.504,390.071,1.000000,1.000000,visible,cotracker_sam2_mask_points
66,2.708333,center,653.275,392.665,1.000000,1.000000,visible,cotracker_sam2_mask_points
67,2.750000,center,647.730,366.986,1.000000,1.000000,visible,cotracker_sam2_mask_points
68,2.791667,center,641.510,345.610,1.000000,1.000000,visible,cotracker_sam2_mask_points
69,2.833333,center,635.722,330.408,1.000000,1.000000,visible,cotracker_sam2_mask_points
70,2.875000,center,628.564,320.312,1.000000,1.000000,visible,cotracker_sam2_mask_points
71,2.916667,center,620.060,315.217,1.000000,1.000000,visible,cotracker_sam2_mask_points
72,2.958333,center,610.368,314.932,1.000000,1.000000,visible,cotracker_sam2_mask_points
73,3.000000,center,599.411,320.264,1.000000,1.000000,visible,cotracker_sam2_mask_points
74,3.041667,center,592.737,324.486,1.000000,1.000000,visible,cotracker_sam2_mask_points
75,3.083333,center,590.440,321.193,1.000000,1.000000,visible,cotracker_sam2_mask_points
76,3.125000,center,599.965,306.331,1.000000,1.000000,visible,cotracker_sam2_mask_points
77,3.166667,center,615.506,289.119,1.000000,1.000000,visible,cotracker_sam2_mask_points
78,3.208333,center,629.538,280.579,1.000000,1.000000,visible,cotracker_sam2_mask_points
79,3.250000,center,642.672,277.666,1.000000,1.000000,visible,cotracker_sam2_mask_points
80,3.291667,center,655.950,282.406,1.000000,1.000000,visible,cotracker_sam2_mask_points
81,3.333333,center,668.766,293.747,1.000000,1.000000,visible,cotracker_sam2_mask_points
82,3.375000,center,681.408,312.725,1.000000,1.000000,visible,cotracker_sam2_mask_points
83,3.416667,center,694.048,338.317,1.000000,1.000000,visible,cotracker_sam2_mask_points
84,3.458333,center,706.620,370.184,1.000000,1.000000,visible,cotracker_sam2_mask_points
85,3.500000,center,731.215,344.963,1.000000,1.000000,visible,cotracker_sam2_mask_points
