frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
1,0.041667,1,-0.880815,0.082070,3.122097,-0.850791,0.099604,3.185733,-0.920511,0.153879,3.212916,-0.879460,0.159224,3.227896,-0.866634,0.156603,3.230462,-0.856973,0.160453,3.223313,-0.835051,0.152825,3.208997,1,-0.119694,-0.109593,3.157346,-0.060013,-0.086895,3.152240,-0.074260,-0.086008,3.226337,-0.024971,-0.081401,3.220917,-0.082190,-0.089857,3.199367,-0.092380,-0.070928,3.198384,-0.092604,-0.057810,3.181601
2,0.083333,1,-0.873149,0.078108,3.123225,-0.849439,0.096691,3.193254,-0.921183,0.152241,3.216771,-0.878757,0.157290,3.234163,-0.865841,0.155426,3.237703,-0.855109,0.158854,3.230629,-0.833300,0.150776,3.216021,1,-0.121277,-0.095922,3.129983,-0.065907,-0.073013,3.133952,-0.073981,-0.071209,3.205893,-0.029302,-0.065326,3.200583,-0.085994,-0.074595,3.182414,-0.096756,-0.056449,3.181436,-0.098562,-0.042678,3.165490
3,0.125000,1,-0.866676,0.072236,3.136986,-0.847435,0.088954,3.209163,-0.920907,0.145532,3.227943,-0.879901,0.148637,3.246034,-0.867092,0.147309,3.250615,-0.855299,0.150456,3.243980,-0.833417,0.142569,3.230725,1,-0.131538,-0.071342,3.102986,-0.079577,-0.046267,3.100538,-0.076570,-0.040912,3.167046,-0.040866,-0.034183,3.161957,-0.095397,-0.045689,3.148868,-0.107756,-0.029929,3.147950,-0.112424,-0.015389,3.133459
4,0.166667,1,-0.859773,0.063498,3.167948,-0.844821,0.077091,3.230911,-0.917836,0.133736,3.244740,-0.883285,0.133772,3.261012,-0.870828,0.132345,3.265460,-0.858606,0.135145,3.259373,-0.836593,0.128291,3.249539,1,-0.151032,-0.036506,3.077565,-0.102610,-0.008362,3.056493,-0.086426,0.003714,3.114233,-0.060191,0.011178,3.108583,-0.112965,-0.004355,3.102292,-0.127808,0.007119,3.101591,-0.136136,0.021565,3.088758
5,0.208333,1,-0.849007,0.050586,3.200635,-0.840987,0.065464,3.251866,-0.911822,0.121371,3.258106,-0.886959,0.120391,3.275120,-0.875009,0.119065,3.278105,-0.862423,0.120765,3.272340,-0.840339,0.114659,3.266251,1,-0.179629,0.004801,3.049298,-0.133767,0.038460,3.006538,-0.106196,0.058053,3.054910,-0.085089,0.069189,3.046987,-0.139745,0.047330,3.049765,-0.156938,0.053776,3.049451,-0.168930,0.066724,3.037866
6,0.250000,1,-0.830238,0.037731,3.214017,-0.835656,0.058626,3.265594,-0.902583,0.112816,3.259357,-0.889267,0.115201,3.283671,-0.878393,0.115240,3.285392,-0.864860,0.115163,3.280271,-0.842316,0.108431,3.277375,1,-0.209326,0.057491,2.990353,-0.169783,0.091117,2.955696,-0.135906,0.115860,2.997526,-0.115164,0.134897,2.987398,-0.173943,0.103612,2.998711,-0.192459,0.105688,2.998685,-0.207209,0.116300,2.987516
7,0.291667,1,-0.808041,0.024829,3.225272,-0.829366,0.059000,3.270002,-0.888064,0.110099,3.246997,-0.889266,0.119715,3.282961,-0.880724,0.122502,3.285174,-0.865880,0.120597,3.281806,-0.842172,0.111783,3.282839,1,-0.247550,0.110732,2.929503,-0.208133,0.144989,2.908408,-0.173329,0.172185,2.946584,-0.151857,0.200330,2.937406,-0.211708,0.157655,2.953313,-0.230609,0.155968,2.953228,-0.246879,0.164196,2.941803
8,0.333333,1,-0.787212,0.021832,3.233340,-0.822707,0.066492,3.268597,-0.868756,0.113354,3.227717,-0.885976,0.132257,3.274954,-0.880683,0.138231,3.278965,-0.864859,0.134731,3.278082,-0.839793,0.123224,3.284517,1,-0.286972,0.157946,2.879852,-0.246630,0.194556,2.868280,-0.213394,0.223614,2.902961,-0.193474,0.258499,2.897675,-0.248510,0.206387,2.915403,-0.267415,0.200680,2.915182,-0.284182,0.206384,2.903302
9,0.375000,1,-0.775430,0.028882,3.246832,-0.815893,0.077915,3.267344,-0.850633,0.120352,3.212187,-0.879683,0.148166,3.266808,-0.876902,0.156728,3.272249,-0.860933,0.151965,3.273428,-0.835135,0.138426,3.285225,1,-0.327484,0.197913,2.853981,-0.281210,0.235941,2.838717,-0.249374,0.267130,2.869090,-0.233320,0.305921,2.867699,-0.279953,0.249103,2.887604,-0.298607,0.239320,2.887685,-0.315099,0.242060,2.875539
10,0.416667,1,-0.766821,0.039349,3.256386,-0.809699,0.088737,3.268943,-0.839486,0.127258,3.206262,-0.873138,0.161244,3.262560,-0.870759,0.171543,3.268434,-0.855573,0.166161,3.270959,-0.830058,0.152125,3.286500,1,-0.354676,0.228949,2.839281,-0.305689,0.267295,2.821075,-0.274811,0.300184,2.848036,-0.262373,0.341132,2.848747,-0.301340,0.283078,2.871313,-0.319384,0.270466,2.872094,-0.335144,0.270461,2.859972
