frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,0.133253944,-0.172022145,2.538633476,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
2,0.041667,0.130356552,-0.174023856,2.511495211,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
3,0.083333,0.127313101,-0.170474401,2.484530637,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
4,0.125,0.124071065,-0.157633297,2.457901004,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
5,0.166667,0.120927082,-0.133121275,2.431769326,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
6,0.208333,0.115493348,-0.097897201,2.406324112,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
7,0.25,0.110895883,-0.051781824,2.381723246,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
8,0.291667,0.107576644,0.006752446,2.358236727,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
9,0.333333,0.103071091,0.084144011,2.336265367,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
10,0.375,0.097879668,0.176412207,2.316224223,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
11,0.416667,0.096300907,0.273746146,2.298606125,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
12,0.458333,0.092221751,0.210051659,2.284969024,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
13,0.5,0.091159919,0.149315171,2.273497010,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
14,0.541667,0.091238089,0.098974698,2.263548733,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
15,0.583333,0.090523008,0.062542582,2.254651853,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-89eef9b9056b
