frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
1,0.0,0.183435164,-0.237164352,3.494999959,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
2,0.041667,0.168262690,-0.224388931,3.241641164,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
3,0.083333,0.153132165,-0.204869226,2.988387881,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
4,0.125,0.138078980,-0.175327261,2.735222570,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
5,0.166667,0.123426129,-0.135857882,2.482040927,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
6,0.208333,0.106969355,-0.090635374,2.228713905,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
7,0.25,0.091915619,-0.042869198,1.975073420,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
8,0.291667,0.078565785,0.004825075,1.721073544,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
9,0.333333,0.064849247,0.052292309,1.466813049,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
10,0.375,0.050982103,0.092084418,1.212463486,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
11,0.416667,0.064209810,0.183718655,1.527369678,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
12,0.458333,0.074323604,0.168725553,1.843652728,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
13,0.5,0.086680276,0.141571872,2.160397525,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
14,0.541667,0.099919491,0.108501494,2.477373811,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
15,0.583333,0.111477464,0.077401535,2.794391418,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
16,0.625,0.114717467,0.042540408,2.757764452,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
17,0.666667,0.141729010,-0.001722000,2.720912651,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
18,0.708333,0.177913358,-0.062553290,2.684066373,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
19,0.75,0.209095371,-0.114379563,2.647542225,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
20,0.791667,0.233029561,-0.151296010,2.611235648,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
21,0.833333,0.252073880,-0.176565308,2.574816791,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
22,0.875,0.268367265,-0.189892694,2.538040724,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
23,0.916667,0.281132044,-0.193696486,2.500730537,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
24,0.958333,0.288995648,-0.190976189,2.462738946,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
25,1.0,0.276979935,-0.193333630,2.424142787,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
26,1.041667,0.256587090,-0.204552352,2.384369460,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
27,1.083333,0.233696294,-0.212583741,2.343452642,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
28,1.125,0.212727693,-0.213064511,2.301272039,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
29,1.166667,0.191972323,-0.207167733,2.257792403,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
30,1.208333,0.175872363,-0.186867544,2.213091144,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
31,1.25,0.162510707,-0.170122444,2.166707419,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
32,1.291667,0.148560837,-0.143350511,2.119206278,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
33,1.333333,0.130846766,-0.086253572,2.071209271,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
34,1.375,0.115583865,-0.020953159,2.022513817,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
35,1.416667,0.101624227,0.011062809,1.972909089,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
36,1.458333,0.086703349,0.075810391,1.922585130,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
37,1.5,0.071846571,0.150039080,1.871883564,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
38,1.541667,0.071828693,0.191368077,1.907860147,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
39,1.583333,0.076107603,0.125789698,1.944914476,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
40,1.625,0.078892818,0.076672569,1.981520725,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
41,1.666667,0.080674908,0.035225752,2.017415072,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
42,1.708333,0.082423662,0.000770015,2.052324688,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
43,1.75,0.082765289,-0.026369951,2.086092327,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
44,1.791667,0.082210374,-0.043290782,2.118612778,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
45,1.833333,0.081218915,-0.051596506,2.149827942,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
46,1.875,0.080665260,-0.052711459,2.179733092,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
47,1.916667,0.090999394,-0.058609206,2.208159223,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
48,1.958333,0.126996199,-0.082570666,2.234933895,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
49,2.0,0.162717144,-0.113172644,2.260529326,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
50,2.041667,0.196919204,-0.137809160,2.285044339,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
51,2.083333,0.227152961,-0.155553055,2.308382890,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
52,2.125,0.251518102,-0.165170980,2.330449482,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
53,2.166667,0.268000295,-0.172532731,2.351024776,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
54,2.208333,0.261096379,-0.188868912,2.370167451,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
55,2.25,0.242973178,-0.208667264,2.387576997,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
56,2.291667,0.223313102,-0.219956261,2.403154499,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
57,2.333333,0.203289581,-0.223123705,2.416747412,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
58,2.375,0.182496963,-0.217254022,2.428330714,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
59,2.416667,0.160809118,-0.203292204,2.437847987,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
60,2.458333,0.137872772,-0.179815195,2.445355320,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor,generic-solve-f1ccddc6cb39
