frame,time,entity_id,selected_candidate_id,u,v,radius_px,selection_source,vlm_label,vlm_confidence,hard_track_distance_px,hard_validation,candidate_count,unique_entity_count
1,0.000000,target_sphere,candidate_a,717.082,260.698,9.756,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
2,0.041667,target_sphere,candidate_a,716.230,258.162,9.458,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
3,0.083333,target_sphere,candidate_a,715.268,259.179,9.508,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
4,0.125000,target_sphere,candidate_a,714.032,265.705,10.155,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
5,0.166667,target_sphere,candidate_a,713.236,279.641,10.720,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
6,0.208333,target_sphere,candidate_a,710.388,300.294,10.925,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
7,0.250000,target_sphere,candidate_a,708.274,328.198,12.048,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
8,0.291667,target_sphere,candidate_a,707.101,363.930,12.927,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
9,0.333333,target_sphere,candidate_a,704.927,412.688,14.116,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
10,0.375000,target_sphere,candidate_a,701.692,470.800,15.533,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
11,0.416667,target_sphere,candidate_a,701.937,537.910,16.313,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
12,0.458333,target_sphere,candidate_a,699.015,493.983,13.774,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
13,0.500000,target_sphere,candidate_a,698.884,456.311,13.750,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
14,0.541667,target_sphere,candidate_a,699.394,423.949,13.634,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
15,0.583333,target_sphere,candidate_a,699.353,400.375,13.303,persistent_identity_fallback,,0.000,0.000,no_valid_vlm_candidate_use_persistent_identity,1,1
