frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,263,,,,389,,,0,0,0
2,267,,,,392,,,0,0,0
3,267,,,,391,,,0,0,0
4,271,,,,393,,,0,0,0
5,261,,,,387,,,0,0,0
6,251,,,,383,,,0,0,0
7,260,,,,388,,,0,0,0
8,257,,,,382,,,0,0,0
9,258,,,,381,,,0,0,0
10,262,,,,377,,,0,0,0
11,265,,,,378,,,0,0,0
12,259,,,,381,,,0,0,0
13,259,,,,385,,,0,0,0
14,265,,,,386,,,0,0,0
15,260,,,,391,,,0,0,0
16,269,,,,400,,,0,0,0
17,257,,,,380,,,0,0,0
18,246,,,,358,,,0,0,0
19,267,,,,381,,,0,0,0
20,277,,,,392,,,0,0,0
21,284,,,,405,,,0,0,0
22,287,,,,416,,,0,0,0
23,289,,,,431,,,0,0,0
24,277,,,,435,,,0,0,0
25,296,,,,448,,,0,0,0
26,281,,,,438,,,0,0,0
27,297,,,,426,,,0,0,0
28,285,,,,416,,,0,0,0
29,288,,,,421,,,0,0,0
30,273,,,,405,,,0,0,0
31,279,,,,408,,,0,0,0
32,276,,,,405,,,0,0,0
33,274,,,,397,,,0,0,0
34,273,,,,399,,,0,0,0
35,271,,,,390,,,0,0,0
36,275,,,,401,,,0,0,0
37,261,,,,390,,,0,0,0
38,270,,,,396,,,0,0,0
39,270,,,,395,,,0,0,0
40,272,,,,401,,,0,0,0
41,271,,,,400,,,0,0,0
42,274,,,,403,,,0,0,0
43,271,,,,398,,,0,0,0
44,270,,,,403,,,0,0,0
45,276,,,,412,,,0,0,0
46,279,,,,425,,,0,0,0
47,275,,,,408,,,0,0,0
48,281,,,,422,,,0,0,0
49,289,,,,440,,,0,0,0
50,296,,,,444,,,0,0,0
51,282,,,,442,,,0,0,0
52,295,,,,436,,,0,0,0
53,292,,,,437,,,0,0,0
54,285,,,,432,,,0,0,0
55,284,,,,416,,,0,0,0
