frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,263,,,,11584,,,0,0,0
2,267,,,,11682,,,0,0,0
3,267,,,,11657,,,0,0,0
4,271,,,,11702,,,0,0,0
5,261,,,,11905,,,0,0,0
6,251,,,,12191,,,0,0,0
7,260,,,,12382,,,0,0,0
8,257,,,,12533,,,0,0,0
9,258,,,,12415,,,0,0,0
10,262,,,,12458,,,0,0,0
11,265,,,,12221,,,0,0,0
12,259,,,,12241,,,0,0,0
13,259,,,,12367,,,0,0,0
14,265,,,,12425,,,0,0,0
15,260,,,,12404,,,0,0,0
16,269,,,,12407,,,0,0,0
17,257,,,,12194,,,0,0,0
18,246,,,,11971,,,0,0,0
19,267,,,,11758,,,0,0,0
20,277,,,,11563,,,0,0,0
21,284,,,,11564,,,0,0,0
22,287,,,,11593,,,0,0,0
23,289,,,,11566,,,0,0,0
24,277,,,,11471,,,0,0,0
25,296,,,,11366,,,0,0,0
26,281,,,,11320,,,0,0,0
27,297,,,,11180,,,0,0,0
28,285,,,,11240,,,0,0,0
29,288,,,,11247,,,0,0,0
30,273,,,,11298,,,0,0,0
31,279,,,,11445,,,0,0,0
32,276,,,,11630,,,0,0,0
33,274,,,,11736,,,0,0,0
34,273,,,,11887,,,0,0,0
35,271,,,,12220,,,0,0,0
36,275,,,,12382,,,0,0,0
37,261,,,,12424,,,0,0,0
38,270,,,,12322,,,0,0,0
39,270,,,,12285,,,0,0,0
40,272,,,,12091,,,0,0,0
41,271,,,,12051,,,0,0,0
42,274,,,,12018,,,0,0,0
43,271,,,,12133,,,0,0,0
44,270,,,,12107,,,0,0,0
45,276,,,,12350,,,0,0,0
46,279,,,,12537,,,0,0,0
47,275,,,,12444,,,0,0,0
48,281,,,,12425,,,0,0,0
49,289,,,,12324,,,0,0,0
50,296,,,,12186,,,0,0,0
51,282,,,,11883,,,0,0,0
52,295,,,,11543,,,0,0,0
53,292,,,,11376,,,0,0,0
54,285,,,,11247,,,0,0,0
55,284,,,,11171,,,0,0,0
56,267,,,,11105,,,0,0,0
57,273,,,,11081,,,0,0,0
58,269,,,,11010,,,0,0,0
59,267,,,,10929,,,0,0,0
60,277,,,,10890,,,0,0,0
61,270,,,,10820,,,0,0,0
62,260,,,,10772,,,0,0,0
63,263,,,,10765,,,0,0,0
64,267,,,,10771,,,0,0,0
65,261,,,,10715,,,0,0,0
66,262,,,,10706,,,0,0,0
67,253,,,,10758,,,0,0,0
68,260,,,,10791,,,0,0,0
69,258,,,,10949,,,0,0,0
70,258,,,,11365,,,0,0,0
71,265,,,,11727,,,0,0,0
72,259,,,,11997,,,0,0,0
73,270,,,,12232,,,0,0,0
74,273,,,,12441,,,0,0,0
75,286,,,,12463,,,0,0,0
76,306,,,,12321,,,0,0,0
77,301,,,,12443,,,0,0,0
78,292,,,,12376,,,0,0,0
79,302,,,,12335,,,0,0,0
80,298,,,,12263,,,0,0,0
81,295,,,,12313,,,0,0,0
82,298,,,,12418,,,0,0,0
83,293,,,,12476,,,0,0,0
84,285,,,,12582,,,0,0,0
85,282,,,,12619,,,0,0,0
86,287,,,,12301,,,0,0,0
87,280,,,,12040,,,0,0,0
88,280,,,,11819,,,0,0,0
89,292,,,,11595,,,0,0,0
90,288,,,,11519,,,0,0,0
91,287,,,,11402,,,0,0,0
92,293,,,,11214,,,0,0,0
93,288,,,,11069,,,0,0,0
94,282,,,,10909,,,0,0,0
95,286,,,,10851,,,0,0,0
96,287,,,,10857,,,0,0,0
97,283,,,,10899,,,0,0,0
98,285,,,,10988,,,0,0,0
99,299,,,,11078,,,0,0,0
100,291,,,,11373,,,0,0,0
101,285,,,,11708,,,0,0,0
102,288,,,,12059,,,0,0,0
103,288,,,,12285,,,0,0,0
104,274,,,,12361,,,0,0,0
105,290,,,,12291,,,0,0,0
106,279,,,,12481,,,0,0,0
107,282,,,,12468,,,0,0,0
108,276,,,,12364,,,0,0,0
109,278,,,,12304,,,0,0,0
110,284,,,,12245,,,0,0,0
111,283,,,,12277,,,0,0,0
112,280,,,,12349,,,0,0,0
113,277,,,,12398,,,0,0,0
114,275,,,,12373,,,0,0,0
115,277,,,,12614,,,0,0,0
116,281,,,,12696,,,0,0,0
117,259,,,,12527,,,0,0,0
118,272,,,,12398,,,0,0,0
119,271,,,,12238,,,0,0,0
120,278,,,,12036,,,0,0,0
121,276,,,,11782,,,0,0,0
122,284,,,,11456,,,0,0,0
123,286,,,,11307,,,0,0,0
124,287,,,,11202,,,0,0,0
125,282,,,,11159,,,0,0,0
126,280,,,,11123,,,0,0,0
127,282,,,,11059,,,0,0,0
128,274,,,,10898,,,0,0,0
129,282,,,,10944,,,0,0,0
130,284,,,,10919,,,0,0,0
131,271,,,,10931,,,0,0,0
132,272,,,,10970,,,0,0,0
133,279,,,,11023,,,0,0,0
134,272,,,,11168,,,0,0,0
135,276,,,,11343,,,0,0,0
136,274,,,,11553,,,0,0,0
137,274,,,,11917,,,0,0,0
138,275,,,,12112,,,0,0,0
139,275,,,,12331,,,0,0,0
140,267,,,,12430,,,0,0,0
141,258,,,,12478,,,0,0,0
142,258,,,,12404,,,0,0,0
143,276,,,,12412,,,0,0,0
144,269,,,,12331,,,0,0,0
145,266,,,,12322,,,0,0,0
146,276,,,,12345,,,0,0,0
147,273,,,,12489,,,0,0,0
148,263,,,,12635,,,0,0,0
149,268,,,,12649,,,0,0,0
150,276,,,,12545,,,0,0,0
151,270,,,,12451,,,0,0,0
152,284,,,,12367,,,0,0,0
153,286,,,,12192,,,0,0,0
154,292,,,,11995,,,0,0,0
155,301,,,,11790,,,0,0,0
156,303,,,,11585,,,0,0,0
157,292,,,,11489,,,0,0,0
158,297,,,,11415,,,0,0,0
159,300,,,,11284,,,0,0,0
160,300,,,,11344,,,0,0,0
161,293,,,,11377,,,0,0,0
162,299,,,,11306,,,0,0,0
163,301,,,,11257,,,0,0,0
164,290,,,,11154,,,0,0,0
165,293,,,,11243,,,0,0,0
166,295,,,,11306,,,0,0,0
167,292,,,,11471,,,0,0,0
168,301,,,,11573,,,0,0,0
169,296,,,,11696,,,0,0,0
170,286,,,,11794,,,0,0,0
171,288,,,,11792,,,0,0,0
172,285,,,,11884,,,0,0,0
173,287,,,,11820,,,0,0,0
174,286,,,,11836,,,0,0,0
175,287,,,,11937,,,0,0,0
176,292,,,,12184,,,0,0,0
177,291,,,,12291,,,0,0,0
178,291,,,,12240,,,0,0,0
179,284,,,,12333,,,0,0,0
180,287,,,,12417,,,0,0,0
181,283,,,,12417,,,0,0,0
182,279,,,,12463,,,0,0,0
183,285,,,,12460,,,0,0,0
184,279,,,,12471,,,0,0,0
185,274,,,,12653,,,0,0,0
186,278,,,,12502,,,0,0,0
187,276,,,,12640,,,0,0,0
188,269,,,,12618,,,0,0,0
189,278,,,,12528,,,0,0,0
190,280,,,,12425,,,0,0,0
191,279,,,,12371,,,0,0,0
192,276,,,,12315,,,0,0,0
193,269,,,,12295,,,0,0,0
194,280,,,,12308,,,0,0,0
195,262,,,,12386,,,0,0,0
196,268,,,,12513,,,0,0,0
197,270,,,,12489,,,0,0,0
198,269,,,,12673,,,0,0,0
199,272,,,,12627,,,0,0,0
200,271,,,,12695,,,0,0,0
201,250,,,,12566,,,0,0,0
202,265,,,,12326,,,0,0,0
203,272,,,,11970,,,0,0,0
204,276,,,,11634,,,0,0,0
205,287,,,,11462,,,0,0,0
206,295,,,,11337,,,0,0,0
207,297,,,,11325,,,0,0,0
208,297,,,,11269,,,0,0,0
209,292,,,,11142,,,0,0,0
210,285,,,,11109,,,0,0,0
211,285,,,,10997,,,0,0,0
212,273,,,,11053,,,0,0,0
213,280,,,,11053,,,0,0,0
214,275,,,,11078,,,0,0,0
215,266,,,,11221,,,0,0,0
216,266,,,,11349,,,0,0,0
217,272,,,,11437,,,0,0,0
218,262,,,,11602,,,0,0,0
219,260,,,,11877,,,0,0,0
220,270,,,,12270,,,0,0,0
221,266,,,,12422,,,0,0,0
222,269,,,,12494,,,0,0,0
223,264,,,,12508,,,0,0,0
224,262,,,,12548,,,0,0,0
225,271,,,,12571,,,0,0,0
226,276,,,,12571,,,0,0,0
227,268,,,,12415,,,0,0,0
228,273,,,,12341,,,0,0,0
229,270,,,,12364,,,0,0,0
230,277,,,,12425,,,0,0,0
231,272,,,,12357,,,0,0,0
232,291,,,,12506,,,0,0,0
233,278,,,,12777,,,0,0,0
