frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
1,0.000000,717.111,260.685,716.775,260.210,ref,712.048,262.129,human_nearest_mesh_topk,717.027,267.614,268.102,6.929,7.404,bottom_percentile_95,2.869788,2.882247,0.012460,1.000000,0.395878,0.067026,0.827384,0.827384,0.885991,1.535243,0.153175,5.000000,8.000000,right_hand,0.067026,608.744,304.949,3.220381,left,2.869788,2.869788,0.827384,0.487781,0.000000,0.000000
2,0.041667,716.257,258.149,716.088,257.427,ref,710.822,259.536,human_nearest_mesh_topk,715.965,265.000,265.652,6.851,7.573,bottom_percentile_95,2.862578,2.866996,0.004418,1.000000,0.234640,0.061288,1.000000,1.000000,0.798605,2.711977,0.133450,5.000000,8.000000,right_hand,0.061288,607.782,311.033,3.193059,left,2.856680,2.862578,1.000000,0.652191,0.000000,0.000000
3,0.083333,715.296,259.167,715.257,259.629,ref,709.747,260.616,human_nearest_mesh_topk,715.004,267.342,266.803,8.175,7.713,bottom_percentile_95,2.865955,2.883954,0.017999,1.000000,0.343615,0.049595,0.870190,0.870190,0.697815,4.069202,0.138225,5.000000,8.000000,right_hand,0.049595,603.323,322.918,3.165320,left,2.868718,2.865955,0.870190,0.538673,0.000000,0.000000
4,0.125000,714.060,265.693,714.335,265.828,ref,708.260,268.904,human_nearest_mesh_topk,713.644,273.652,273.651,7.959,7.824,bottom_percentile_95,2.861000,2.871068,0.010068,1.000000,0.686089,0.036850,0.986617,0.986617,1.000000,0.000000,0.079750,5.000000,8.000000,right_hand,0.036850,595.068,340.490,3.138059,left,2.856946,2.861000,0.986617,0.001205,0.019165,0.000000
5,0.166667,713.266,279.627,712.815,279.522,ref,707.446,282.829,human_nearest_mesh_topk,713.183,287.453,287.540,7.826,7.931,bottom_percentile_95,2.853485,2.855063,0.001578,1.000000,0.401988,0.026020,0.827680,0.827680,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.026020,582.857,362.561,3.106402,left,2.847337,2.853485,0.827680,0.087383,0.046060,0.000000
6,0.208333,710.423,300.277,710.642,300.273,ref,704.830,303.679,human_nearest_mesh_topk,710.556,308.073,308.264,7.796,7.800,bottom_percentile_95,2.856334,2.866749,0.010415,1.000000,0.000000,0.018463,0.935865,0.935865,1.000000,0.000000,0.029100,5.000000,8.000000,right_hand,0.018463,569.700,392.498,3.040873,left,2.858665,2.856334,0.935865,0.191538,0.064792,0.000000
7,0.250000,708.305,328.178,708.490,327.784,ref,702.871,331.442,human_nearest_mesh_topk,708.377,335.765,336.056,7.587,7.981,bottom_percentile_95,2.853118,2.858100,0.004983,1.000000,0.000000,0.012255,0.744662,0.744662,1.000000,0.000000,0.108850,5.000000,8.000000,right_hand,0.012255,550.959,425.028,2.971173,left,2.850486,2.853118,0.744662,0.291140,0.224523,0.000000
8,0.291667,707.129,363.914,706.946,364.675,ref,701.815,365.351,human_nearest_mesh_topk,707.829,373.316,371.905,9.402,8.641,bottom_percentile_95,2.856990,2.867687,0.010696,1.000000,0.000000,0.008583,0.893114,0.893114,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.008583,529.797,455.531,2.912060,left,2.860159,2.856990,0.893114,1.410752,0.392388,0.000000
9,0.333333,704.953,412.668,704.666,416.140,ref,699.157,413.994,human_nearest_mesh_topk,706.062,425.780,422.520,13.112,9.641,bottom_percentile_95,2.875469,2.902915,0.027446,1.000000,0.000000,0.006826,0.915298,0.915298,1.000000,0.000000,0.570350,5.000000,8.000000,right_hand,0.006826,507.118,481.654,2.877956,left,2.890587,2.875469,0.915298,3.260293,0.334388,0.000000
10,0.375000,701.727,470.747,702.718,465.960,ref,694.523,471.439,human_nearest_mesh_topk,701.525,476.269,481.411,5.522,10.309,bottom_percentile_95,2.879872,2.894768,0.014896,1.000000,0.000000,0.006392,1.000000,1.000000,0.000000,14.460042,1.382100,5.000000,8.000000,right_hand,0.006392,491.341,501.517,2.855793,left,2.883474,2.879872,1.000000,5.141893,1.000000,0.000000
