frame,time,object_support_v_raw,object_support_v,support_v_raw,support_v,signed_gap,gap,floor_score,proposal_score,confidence_level,is_candidate,floor_contact_state
1,0.000000,268.102,268.102,846.603,846.603,-578.501494,578.501494,0.000000,0.000000,none,0,0
2,0.041667,265.652,267.367,846.603,846.603,-579.236494,579.236494,0.000000,0.000000,none,0,0
3,0.083333,266.803,267.198,846.603,846.603,-579.405694,579.405694,0.000000,0.000000,none,0,0
4,0.125000,273.651,269.134,846.603,846.603,-577.469734,577.469734,0.000000,0.019165,none,0,0
5,0.166667,287.540,274.656,846.603,846.603,-571.947862,571.947862,0.000000,0.046060,none,0,0
6,0.208333,308.264,284.738,846.603,846.603,-561.865351,561.865351,0.000000,0.064792,none,0,0
7,0.250000,336.056,300.133,846.603,846.603,-546.469994,546.469994,0.000000,0.224523,none,0,0
8,0.291667,371.905,321.665,846.603,846.603,-524.938544,524.938544,0.181808,0.392388,none,0,0
9,0.333333,422.520,351.921,846.603,846.603,-494.682029,494.682029,0.670878,0.334388,soft,0,0
10,0.375000,481.411,390.768,846.603,846.603,-455.835168,455.835168,1.000000,1.000000,strong,0,0
11,0.416667,550.213,438.602,846.603,846.603,-408.001766,408.001766,1.000000,1.000000,strong,1,1
12,0.458333,503.238,457.993,846.603,846.603,-388.610884,388.610884,1.000000,1.000000,strong,0,0
13,0.500000,464.750,460.020,846.603,846.603,-386.583667,386.583667,1.000000,0.000000,strong,0,0
14,0.541667,432.474,451.756,846.603,846.603,-394.847415,394.847415,0.767059,0.060544,strong,0,0
15,0.583333,408.620,438.815,846.603,846.603,-407.788239,407.788239,0.536568,0.000000,soft,0,0
16,0.625000,390.178,424.224,846.603,846.603,-422.379415,422.379415,0.358372,0.344145,proposal,0,0
17,0.666667,368.705,407.568,846.603,846.603,-439.035139,439.035139,0.150888,0.158954,none,0,0
18,0.708333,332.454,385.034,846.603,846.603,-461.569445,461.569445,0.000000,0.000001,none,0,0
19,0.750000,304.228,360.792,846.603,846.603,-485.811260,485.811260,0.000000,0.079864,none,0,0
20,0.791667,282.219,337.220,846.603,846.603,-509.383230,509.383230,0.000000,0.008753,none,0,0
21,0.833333,266.226,315.922,846.603,846.603,-530.681509,530.681509,0.000000,0.000000,none,0,0
22,0.875000,257.002,298.246,846.603,846.603,-548.357504,548.357504,0.000000,0.000000,none,0,0
23,0.916667,252.807,284.614,846.603,846.603,-561.989201,561.989201,0.000000,0.000000,none,0,0
24,0.958333,253.614,275.314,846.603,846.603,-571.289289,571.289289,0.000000,0.184472,none,0,0
25,1.000000,250.290,267.807,846.603,846.603,-578.796550,578.796550,0.000000,0.048871,none,0,0
26,1.041667,240.930,259.744,846.603,846.603,-586.859633,586.859633,0.000000,0.000000,none,0,0
27,1.083333,233.365,251.830,846.603,846.603,-594.773291,594.773291,0.000000,0.000000,none,0,0
28,1.125000,230.878,245.545,846.603,846.603,-601.058952,601.058952,0.000000,0.000000,none,0,0
29,1.166667,231.752,241.407,846.603,846.603,-605.196715,605.196715,0.000000,0.000000,none,0,0
30,1.208333,244.603,242.366,846.603,846.603,-604.237848,604.237848,0.000000,0.000000,none,0,0
31,1.250000,251.165,245.005,846.603,846.603,-601.598042,601.598042,0.000000,0.167295,none,0,0
32,1.291667,267.074,251.626,846.603,846.603,-594.977477,594.977477,0.000000,0.902603,none,0,0
33,1.333333,309.198,268.898,846.603,846.603,-577.705882,577.705882,0.000000,0.000000,none,0,0
34,1.375000,354.853,294.684,846.603,846.603,-551.919266,551.919266,0.017042,0.000000,none,0,0
35,1.416667,374.281,318.563,846.603,846.603,-528.040234,528.040234,0.204766,0.385201,none,0,0
36,1.458333,425.779,350.728,846.603,846.603,-495.875512,495.875512,0.702368,0.000000,strong,0,0
37,1.500000,487.924,391.887,846.603,846.603,-454.716707,454.716707,1.000000,1.000000,strong,0,0
38,1.541667,517.667,429.621,846.603,846.603,-416.982643,416.982643,1.000000,1.000000,strong,1,1
39,1.583333,461.358,439.142,846.603,846.603,-407.461498,407.461498,1.000000,0.406304,strong,0,0
40,1.625000,425.467,435.039,846.603,846.603,-411.563997,411.563997,0.699353,0.238214,soft,0,0
41,1.666667,393.056,422.444,846.603,846.603,-424.159046,424.159046,0.386180,0.000000,proposal,0,0
42,1.708333,368.579,406.285,846.603,846.603,-440.318680,440.318680,0.149670,0.000000,none,0,0
43,1.750000,348.885,389.065,846.603,846.603,-457.538624,457.538624,0.000000,0.029994,none,0,0
44,1.791667,337.638,373.637,846.603,846.603,-472.966685,472.966685,0.000000,0.000000,none,0,0
45,1.833333,332.027,361.154,846.603,846.603,-485.449628,485.449628,0.000000,0.000000,none,0,0
46,1.875000,331.863,352.367,846.603,846.603,-494.236887,494.236887,0.000000,0.201915,none,0,0
47,1.916667,318.621,342.243,846.603,846.603,-504.360569,504.360569,0.000000,0.635852,none,0,0
48,1.958333,314.397,333.889,846.603,846.603,-512.714347,512.714347,0.000000,0.000012,none,0,0
49,2.000000,293.539,321.784,846.603,846.603,-524.819391,524.819391,0.000000,0.000005,none,0,0
50,2.041667,278.462,308.787,846.603,846.603,-537.816022,537.816022,0.000000,0.000000,none,0,0
51,2.083333,267.347,296.355,846.603,846.603,-550.248163,550.248163,0.000000,0.000000,none,0,0
52,2.125000,262.691,286.256,846.603,846.603,-560.347462,560.347462,0.000000,0.042830,none,0,0
53,2.166667,260.100,278.409,846.603,846.603,-568.194272,568.194272,0.000000,0.426369,none,0,0
54,2.208333,250.283,269.971,846.603,846.603,-576.632138,576.632138,0.000000,0.074800,none,0,0
55,2.250000,238.933,260.660,846.603,846.603,-585.943645,585.943645,0.000000,0.000000,none,0,0
56,2.291667,233.052,252.377,846.603,846.603,-594.226000,594.226000,0.000000,0.000000,none,0,0
57,2.333333,231.029,245.973,846.603,846.603,-600.630548,600.630548,0.000000,0.000000,none,0,0
58,2.375000,235.694,242.889,846.603,846.603,-603.714232,603.714232,0.000000,0.000000,none,0,0
59,2.416667,244.258,243.300,846.603,846.603,-603.303610,603.303610,0.000000,0.000000,none,0,0
60,2.458333,258.939,247.992,846.603,846.603,-598.611875,598.611875,0.000000,0.000000,none,0,0
61,2.500000,278.389,257.111,846.603,846.603,-589.492661,589.492661,0.000000,0.000000,none,0,0
62,2.541667,301.594,270.456,846.603,846.603,-576.147711,576.147711,0.000000,0.000000,none,0,0
63,2.583333,330.845,288.573,846.603,846.603,-558.030946,558.030946,0.000000,0.000000,none,0,0
64,2.625000,362.986,310.897,846.603,846.603,-535.706910,535.706910,0.095627,0.000000,none,0,0
65,2.666667,398.064,337.047,846.603,846.603,-509.556685,509.556685,0.434570,1.000000,proposal,0,0
66,2.708333,401.944,356.516,846.603,846.603,-490.087528,490.087528,0.472061,1.000000,soft,0,0
67,2.750000,375.795,362.300,846.603,846.603,-484.303818,484.303818,0.219395,0.000000,none,0,0
68,2.791667,355.017,360.115,846.603,846.603,-486.488620,486.488620,0.018627,0.000000,none,0,0
69,2.833333,338.747,353.705,846.603,846.603,-492.898982,492.898982,0.000000,0.000000,none,0,0
70,2.875000,328.033,346.003,846.603,846.603,-500.600436,500.600436,0.000000,0.000000,none,0,0
71,2.916667,322.949,339.087,846.603,846.603,-507.516653,507.516653,0.000000,0.000000,none,0,0
72,2.958333,323.191,334.318,846.603,846.603,-512.285405,512.285405,0.000000,0.000000,none,0,0
73,3.000000,327.264,332.202,846.603,846.603,-514.401632,514.401632,0.000000,0.000008,none,0,0
74,3.041667,326.460,330.479,846.603,846.603,-516.124190,516.124190,0.000000,0.328022,none,0,0
75,3.083333,324.491,328.683,846.603,846.603,-517.920681,517.920681,0.000000,0.608951,none,0,0
76,3.125000,315.263,324.657,846.603,846.603,-521.946625,521.946625,0.000000,0.000000,none,0,0
77,3.166667,297.327,316.458,846.603,846.603,-530.145586,530.145586,0.000000,0.000000,none,0,0
78,3.208333,288.375,308.033,846.603,846.603,-538.570458,538.570458,0.000000,0.075203,none,0,0
79,3.250000,286.301,301.513,846.603,846.603,-545.090069,545.090069,0.000000,0.027327,none,0,0
80,3.291667,291.098,298.389,846.603,846.603,-548.214696,548.214696,0.000000,0.056119,none,0,0
81,3.333333,302.317,299.567,846.603,846.603,-547.036235,547.036235,0.000000,0.092493,none,0,0
82,3.375000,322.408,306.419,846.603,846.603,-540.184013,540.184013,0.000000,0.021720,none,0,0
83,3.416667,349.958,319.481,846.603,846.603,-527.122457,527.122457,0.000000,0.359311,none,0,0
84,3.458333,380.846,337.891,846.603,846.603,-508.712968,508.712968,0.268201,1.000000,proposal,0,0
85,3.500000,354.829,342.972,846.603,846.603,-503.631426,503.631426,0.016810,1.000000,none,0,0
86,3.541667,315.656,334.777,846.603,846.603,-511.826246,511.826246,0.000000,0.000000,none,0,0
87,3.583333,284.880,319.808,846.603,846.603,-526.795420,526.795420,0.000000,0.279305,none,0,0
88,3.625000,263.414,302.890,846.603,846.603,-543.713642,543.713642,0.000000,0.417640,none,0,0
89,3.666667,249.980,287.017,846.603,846.603,-559.586598,559.586598,0.000000,0.613920,none,0,0
90,3.708333,240.706,273.124,846.603,846.603,-573.479867,573.479867,0.000000,0.070113,none,0,0
91,3.750000,235.151,261.732,846.603,846.603,-584.871655,584.871655,0.000000,0.000000,none,0,0
92,3.791667,234.811,253.656,846.603,846.603,-592.947906,592.947906,0.000000,0.000000,none,0,0
93,3.833333,238.579,249.133,846.603,846.603,-597.470883,597.470883,0.000000,0.000000,none,0,0
94,3.875000,247.577,248.666,846.603,846.603,-597.937566,597.937566,0.000000,0.000000,none,0,0
95,3.916667,260.733,252.286,846.603,846.603,-594.317444,594.317444,0.000000,0.000000,none,0,0
96,3.958333,278.787,260.236,846.603,846.603,-586.367159,586.367159,0.000000,0.000000,none,0,0
97,4.000000,300.182,272.220,846.603,846.603,-574.383459,574.383459,0.000000,0.000000,none,0,0
98,4.041667,326.078,288.377,846.603,846.603,-558.226070,558.226070,0.000000,0.958593,none,0,0
99,4.083333,317.863,297.223,846.603,846.603,-549.380397,549.380397,0.000000,0.283720,none,0,0
100,4.125000,306.111,299.889,846.603,846.603,-546.714026,546.714026,0.000000,0.000000,none,0,0
101,4.166667,297.919,299.298,846.603,846.603,-547.305166,547.305166,0.000000,0.000000,none,0,0
102,4.208333,295.924,298.286,846.603,846.603,-548.317465,548.317465,0.000000,0.000000,none,0,0
103,4.250000,298.818,298.446,846.603,846.603,-548.157873,548.157873,0.000000,0.000000,none,0,0
104,4.291667,308.391,301.429,846.603,846.603,-545.174259,545.174259,0.000000,0.059263,none,0,0
105,4.333333,325.014,308.505,846.603,846.603,-538.098830,538.098830,0.000000,0.163045,none,0,0
106,4.375000,350.003,320.954,846.603,846.603,-525.649329,525.649329,0.000000,0.226207,none,0,0
107,4.416667,384.641,340.060,846.603,846.603,-506.543278,506.543278,0.304870,0.230740,proposal,0,0
108,4.458333,428.372,366.554,846.603,846.603,-480.049743,480.049743,0.727423,0.000000,strong,0,0
109,4.500000,481.789,401.124,846.603,846.603,-445.479168,445.479168,1.000000,1.000000,strong,0,0
110,4.541667,520.295,436.876,846.603,846.603,-409.727966,409.727966,1.000000,1.000000,strong,1,1
111,4.583333,476.416,448.738,846.603,846.603,-397.865824,397.865824,1.000000,1.000000,strong,0,0
112,4.625000,434.578,444.490,846.603,846.603,-402.113725,402.113725,0.787389,0.000000,strong,0,0
113,4.666667,401.822,431.689,846.603,846.603,-414.914056,414.914056,0.470882,0.041546,soft,0,0
114,4.708333,373.766,414.312,846.603,846.603,-432.291087,432.291087,0.199790,0.011758,none,0,0
115,4.750000,354.412,396.342,846.603,846.603,-450.261209,450.261209,0.012781,0.000000,none,0,0
116,4.791667,338.512,378.993,846.603,846.603,-467.610294,467.610294,0.000000,0.110173,none,0,0
118,4.875000,309.184,358.050,846.603,846.603,-488.553054,488.553054,0.000000,0.000015,none,0,0
119,4.916667,284.524,335.993,846.603,846.603,-510.610986,510.610986,0.000000,0.035152,none,0,0
120,4.958333,267.142,315.337,846.603,846.603,-531.266138,531.266138,0.000000,0.006400,none,0,0
121,5.000000,256.548,297.701,846.603,846.603,-548.902945,548.902945,0.000000,0.000000,none,0,0
122,5.041667,252.509,284.143,846.603,846.603,-562.460410,562.460410,0.000000,0.000000,none,0,0
123,5.083333,252.437,274.631,846.603,846.603,-571.972235,571.972235,0.000000,0.000000,none,0,0
124,5.125000,257.086,269.368,846.603,846.603,-577.235812,577.235812,0.000000,0.351736,none,0,0
125,5.166667,257.292,265.745,846.603,846.603,-580.858517,580.858517,0.000000,0.264916,none,0,0
126,5.208333,250.365,261.131,846.603,846.603,-585.472510,585.472510,0.000000,0.000000,none,0,0
127,5.250000,249.015,257.496,846.603,846.603,-589.107305,589.107305,0.000000,0.000000,none,0,0
128,5.291667,252.090,255.874,846.603,846.603,-590.729162,590.729162,0.000000,0.000000,none,0,0
129,5.333333,259.613,256.996,846.603,846.603,-589.607561,589.607561,0.000000,0.000000,none,0,0
130,5.375000,271.332,261.297,846.603,846.603,-585.306741,585.306741,0.000000,0.000000,none,0,0
131,5.416667,287.328,269.106,846.603,846.603,-577.497367,577.497367,0.000000,0.000000,none,0,0
132,5.458333,308.717,280.989,846.603,846.603,-565.614105,565.614105,0.000000,0.000000,none,0,0
133,5.500000,332.058,296.310,846.603,846.603,-550.293522,550.293522,0.000000,0.000000,none,0,0
134,5.541667,362.835,316.267,846.603,846.603,-530.336013,530.336013,0.094168,1.000000,none,0,0
