frame,time,motion_regime,motion_speed_score,contact_observed,contact_persistent,pose_anchor_allowed,source
1,0.000000,static_hold,0.000000,0,0,0,generic_motion_regime_from_se3_and_anchor_state
2,0.041667,static_hold,0.006016,0,0,0,generic_motion_regime_from_se3_and_anchor_state
3,0.083333,static_hold,0.003148,0,0,0,generic_motion_regime_from_se3_and_anchor_state
4,0.125000,low_speed,0.013175,0,0,0,generic_motion_regime_from_se3_and_anchor_state
5,0.166667,low_speed,0.027120,0,0,0,generic_motion_regime_from_se3_and_anchor_state
6,0.208333,uniform_motion,0.040499,0,0,0,generic_motion_regime_from_se3_and_anchor_state
7,0.250000,uniform_motion,0.054442,0,0,0,generic_motion_regime_from_se3_and_anchor_state
8,0.291667,free_motion,0.069569,0,0,0,generic_motion_regime_from_se3_and_anchor_state
9,0.333333,free_motion,0.098836,0,0,0,generic_motion_regime_from_se3_and_anchor_state
10,0.375000,high_speed,0.115412,0,0,0,generic_motion_regime_from_se3_and_anchor_state
11,0.416667,short_impact,0.137348,1,0,1,generic_motion_regime_from_se3_and_anchor_state
12,0.458333,free_motion,0.087449,0,0,0,generic_motion_regime_from_se3_and_anchor_state
13,0.500000,free_motion,0.074812,0,0,0,generic_motion_regime_from_se3_and_anchor_state
14,0.541667,uniform_motion,0.064277,0,0,0,generic_motion_regime_from_se3_and_anchor_state
15,0.583333,uniform_motion,0.065217,0,0,0,generic_motion_regime_from_se3_and_anchor_state
16,0.625000,uniform_motion,0.037465,0,0,0,generic_motion_regime_from_se3_and_anchor_state
17,0.666667,uniform_motion,0.054337,0,0,0,generic_motion_regime_from_se3_and_anchor_state
18,0.708333,free_motion,0.088589,0,0,0,generic_motion_regime_from_se3_and_anchor_state
19,0.750000,uniform_motion,0.066708,0,0,0,generic_motion_regime_from_se3_and_anchor_state
20,0.791667,uniform_motion,0.054931,0,0,0,generic_motion_regime_from_se3_and_anchor_state
21,0.833333,uniform_motion,0.038063,0,0,0,generic_motion_regime_from_se3_and_anchor_state
22,0.875000,uniform_motion,0.034070,0,0,0,generic_motion_regime_from_se3_and_anchor_state
23,0.916667,uniform_motion,0.044809,0,0,0,generic_motion_regime_from_se3_and_anchor_state
24,0.958333,low_speed,0.021214,0,0,0,generic_motion_regime_from_se3_and_anchor_state
25,1.000000,static_hold,0.011361,0,0,0,generic_motion_regime_from_se3_and_anchor_state
26,1.041667,low_speed,0.025042,0,0,0,generic_motion_regime_from_se3_and_anchor_state
27,1.083333,low_speed,0.029403,0,0,0,generic_motion_regime_from_se3_and_anchor_state
28,1.125000,uniform_motion,0.049823,0,0,0,generic_motion_regime_from_se3_and_anchor_state
29,1.166667,low_speed,0.026761,0,0,0,generic_motion_regime_from_se3_and_anchor_state
30,1.208333,free_motion,0.079995,0,0,0,generic_motion_regime_from_se3_and_anchor_state
31,1.250000,low_speed,0.022095,0,0,0,generic_motion_regime_from_se3_and_anchor_state
32,1.291667,uniform_motion,0.036473,0,0,0,generic_motion_regime_from_se3_and_anchor_state
33,1.333333,free_motion,0.078260,0,0,0,generic_motion_regime_from_se3_and_anchor_state
34,1.375000,free_motion,0.100771,0,0,0,generic_motion_regime_from_se3_and_anchor_state
35,1.416667,uniform_motion,0.041476,0,0,0,generic_motion_regime_from_se3_and_anchor_state
36,1.458333,free_motion,0.104403,0,0,0,generic_motion_regime_from_se3_and_anchor_state
37,1.500000,high_speed,0.118849,0,0,0,generic_motion_regime_from_se3_and_anchor_state
38,1.541667,sustained_grasp,0.065207,1,1,1,generic_motion_regime_from_se3_and_anchor_state
39,1.583333,high_speed,0.112757,0,0,0,generic_motion_regime_from_se3_and_anchor_state
40,1.625000,free_motion,0.071876,0,0,0,generic_motion_regime_from_se3_and_anchor_state
41,1.666667,uniform_motion,0.067397,0,0,0,generic_motion_regime_from_se3_and_anchor_state
42,1.708333,uniform_motion,0.049711,0,0,0,generic_motion_regime_from_se3_and_anchor_state
43,1.750000,free_motion,0.086850,0,0,0,generic_motion_regime_from_se3_and_anchor_state
44,1.791667,free_motion,0.097644,0,0,0,generic_motion_regime_from_se3_and_anchor_state
45,1.833333,uniform_motion,0.038939,0,0,0,generic_motion_regime_from_se3_and_anchor_state
46,1.875000,high_speed,0.577048,0,0,0,generic_motion_regime_from_se3_and_anchor_state
47,1.916667,static_hold,0.008295,0,0,0,generic_motion_regime_from_se3_and_anchor_state
48,1.958333,uniform_motion,0.041729,0,0,0,generic_motion_regime_from_se3_and_anchor_state
49,2.000000,uniform_motion,0.041627,0,0,0,generic_motion_regime_from_se3_and_anchor_state
50,2.041667,high_speed,0.473999,0,0,0,generic_motion_regime_from_se3_and_anchor_state
51,2.083333,high_speed,0.124590,0,0,0,generic_motion_regime_from_se3_and_anchor_state
52,2.125000,low_speed,0.026468,0,0,0,generic_motion_regime_from_se3_and_anchor_state
53,2.166667,low_speed,0.019276,0,0,0,generic_motion_regime_from_se3_and_anchor_state
54,2.208333,low_speed,0.026444,0,0,0,generic_motion_regime_from_se3_and_anchor_state
55,2.250000,low_speed,0.031904,0,0,0,generic_motion_regime_from_se3_and_anchor_state
