frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
1,0.000000,0,none,right,none,left,707.435,260.823,0.012460,0.067026,0.000000,hand_floor_from_anchor_floor_candidates
2,0.041667,0,none,right,none,left,706.222,258.274,0.004418,0.061288,0.000000,hand_floor_from_anchor_floor_candidates
3,0.083333,0,none,right,none,left,705.238,259.275,0.017999,0.049595,0.000000,hand_floor_from_anchor_floor_candidates
4,0.125000,0,none,right,none,left,703.997,265.871,0.010068,0.036850,0.000000,hand_floor_from_anchor_floor_candidates
5,0.166667,0,none,right,none,left,703.122,279.861,0.001578,0.026020,0.000000,hand_floor_from_anchor_floor_candidates
6,0.208333,0,none,right,none,left,700.319,300.649,0.010415,0.018463,0.000000,hand_floor_from_anchor_floor_candidates
7,0.250000,0,none,right,none,left,698.166,328.425,0.004983,0.012255,0.000000,hand_floor_from_anchor_floor_candidates
8,0.291667,0,none,right,none,left,696.930,364.497,0.010696,0.008583,0.181808,hand_floor_from_anchor_floor_candidates
9,0.333333,0,none,right,none,left,694.496,413.234,0.027446,0.006826,0.670878,hand_floor_from_anchor_floor_candidates
10,0.375000,0,none,right,none,left,690.833,469.110,0.014896,0.006392,1.000000,hand_floor_from_anchor_floor_candidates
11,0.416667,1,floor,,floor_support,left,690.987,537.880,0.028942,0.005475,1.000000,hand_floor_from_anchor_floor_candidates
12,0.458333,0,none,right,none,left,688.715,493.783,0.021635,0.006693,1.000000,hand_floor_from_anchor_floor_candidates
13,0.500000,0,none,right,none,left,688.821,455.980,0.009237,0.009501,1.000000,hand_floor_from_anchor_floor_candidates
14,0.541667,0,none,right,none,left,689.027,423.604,0.015613,0.017247,0.767059,hand_floor_from_anchor_floor_candidates
15,0.583333,0,none,right,none,left,688.955,400.416,0.009411,0.040869,0.536568,hand_floor_from_anchor_floor_candidates
16,0.625000,0,none,right,none,left,690.122,383.130,0.009307,0.094422,0.358372,hand_floor_from_anchor_floor_candidates
17,0.666667,0,none,right,none,left,707.099,359.751,-1.138484,0.123050,0.150888,hand_floor_from_anchor_floor_candidates
18,0.708333,0,none,right,none,left,728.155,324.369,0.004383,0.097157,0.000000,hand_floor_from_anchor_floor_candidates
19,0.750000,0,none,right,none,left,746.376,296.346,0.003671,0.065801,0.000000,hand_floor_from_anchor_floor_candidates
20,0.791667,0,none,right,none,left,761.521,274.641,-0.021425,0.041434,0.000000,hand_floor_from_anchor_floor_candidates
21,0.833333,0,none,right,none,left,774.149,258.970,-0.014453,0.024850,0.000000,hand_floor_from_anchor_floor_candidates
22,0.875000,0,none,right,none,left,785.982,249.846,-0.013025,0.014348,0.000000,hand_floor_from_anchor_floor_candidates
23,0.916667,0,none,right,none,left,795.108,245.843,-0.029018,0.008324,0.000000,hand_floor_from_anchor_floor_candidates
24,0.958333,0,none,right,none,left,803.390,246.234,-0.015434,0.004863,0.000000,hand_floor_from_anchor_floor_candidates
25,1.000000,0,none,right,none,left,798.303,242.430,-0.006907,0.003713,0.000000,hand_floor_from_anchor_floor_candidates
26,1.041667,0,none,right,none,left,789.009,232.826,0.024703,0.002995,0.000000,hand_floor_from_anchor_floor_candidates
27,1.083333,0,none,right,none,left,777.280,225.935,0.023685,0.002545,0.000000,hand_floor_from_anchor_floor_candidates
28,1.125000,0,none,right,none,left,767.107,223.828,0.036803,0.002039,0.000000,hand_floor_from_anchor_floor_candidates
29,1.166667,0,none,right,none,left,755.012,224.302,0.018609,0.001788,0.000000,hand_floor_from_anchor_floor_candidates
30,1.208333,0,none,right,none,left,747.272,237.158,0.047992,0.001737,0.000000,hand_floor_from_anchor_floor_candidates
31,1.250000,0,none,right,none,left,740.871,244.251,0.033256,0.001606,0.000000,hand_floor_from_anchor_floor_candidates
32,1.291667,0,none,right,none,left,733.807,259.285,0.024553,0.001718,0.000000,hand_floor_from_anchor_floor_candidates
33,1.333333,0,none,right,none,left,722.446,298.565,0.034593,0.002781,0.000000,hand_floor_from_anchor_floor_candidates
34,1.375000,0,none,right,none,left,713.730,346.763,0.015584,0.004492,0.017042,hand_floor_from_anchor_floor_candidates
35,1.416667,0,none,right,none,left,706.487,365.817,0.014531,0.005407,0.204766,hand_floor_from_anchor_floor_candidates
36,1.458333,0,none,right,none,left,696.709,417.887,0.022707,0.007140,0.702368,hand_floor_from_anchor_floor_candidates
37,1.500000,0,none,right,none,left,687.613,477.205,-0.000053,0.006344,1.000000,hand_floor_from_anchor_floor_candidates
38,1.541667,1,floor,,floor_support,left,685.518,510.813,0.010943,0.004574,1.000000,hand_floor_from_anchor_floor_candidates
39,1.583333,0,none,right,none,left,688.323,452.813,0.016403,0.006180,1.000000,hand_floor_from_anchor_floor_candidates
40,1.625000,0,none,right,none,left,688.499,416.790,0.021231,0.006541,0.699353,hand_floor_from_anchor_floor_candidates
41,1.666667,0,none,right,none,left,688.610,385.516,0.001476,0.007121,0.386180,hand_floor_from_anchor_floor_candidates
42,1.708333,0,none,right,none,left,689.134,360.555,0.001334,0.008309,0.149670,hand_floor_from_anchor_floor_candidates
43,1.750000,0,none,right,none,left,688.274,341.092,-0.004527,0.011626,0.000000,hand_floor_from_anchor_floor_candidates
