frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
1,0.000000,717.111,260.685,717.111,260.685,717.111,260.685,cotracker_sam2_mask_points,center,717.111,269.386,269.386,8.701,8.701,cotracker_bottom,,,stage2_contact_policy,2.857031,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.860300,2.857031,2.857031,2.857031,1.000000,0.000000,,,9.739
2,0.041667,716.257,258.149,716.257,258.149,716.257,258.149,cotracker_sam2_mask_points,center,716.257,266.954,266.954,8.805,8.805,cotracker_bottom,,,stage2_contact_policy,2.853763,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.853763,2.853763,2.853763,2.853763,1.000000,0.000000,,,9.424
3,0.083333,715.296,259.167,715.296,259.167,715.296,259.167,cotracker_sam2_mask_points,center,715.296,268.132,268.132,8.965,8.965,cotracker_bottom,,,stage2_contact_policy,2.855588,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.868666,2.855588,2.855588,2.855588,1.000000,0.000000,,,9.541
4,0.125000,714.060,265.693,714.060,265.693,714.060,265.693,cotracker_sam2_mask_points,center,714.060,275.024,275.024,9.331,9.331,cotracker_bottom,,,stage2_contact_policy,2.853763,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.851197,2.853763,2.853763,2.853763,1.000000,0.000000,,,10.124
5,0.166667,713.266,279.627,713.266,279.627,713.266,279.627,cotracker_sam2_mask_points,center,713.266,288.895,288.895,9.268,9.268,cotracker_bottom,,,stage2_contact_policy,2.853763,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.847819,2.853763,2.853763,2.853763,1.000000,0.000000,,,10.734
6,0.208333,710.423,300.277,710.423,300.277,710.423,300.277,cotracker_sam2_mask_points,center,710.423,309.608,309.608,9.331,9.331,cotracker_bottom,,,stage2_contact_policy,2.857414,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.857414,2.857414,2.857414,2.857414,1.000000,0.000000,,,10.896
7,0.250000,708.305,328.178,708.305,328.178,708.305,328.178,cotracker_sam2_mask_points,center,708.305,337.403,337.403,9.225,9.225,cotracker_bottom,,,stage2_contact_policy,2.857414,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.848770,2.857414,2.857414,2.857414,1.000000,0.000000,,,12.061
8,0.291667,707.129,363.914,707.129,363.914,707.129,363.914,cotracker_sam2_mask_points,center,707.129,373.212,373.212,9.298,9.298,cotracker_bottom,,,stage2_contact_policy,2.857533,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.857533,2.857533,2.857533,2.857533,1.000000,0.000000,,,12.952
9,0.333333,704.953,412.668,704.953,412.668,704.953,412.668,cotracker_sam2_mask_points,center,704.953,424.070,424.070,11.402,11.402,cotracker_bottom,,,stage2_contact_policy,2.881889,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.892511,2.881889,2.881889,2.881889,1.000000,0.000000,,,14.127
10,0.375000,701.727,470.747,701.727,470.747,701.727,470.747,cotracker_sam2_mask_points,center,701.727,483.548,483.548,12.801,12.801,cotracker_bottom,,,stage2_contact_policy,2.892511,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.881889,2.892511,2.892511,2.892511,1.000000,0.000000,,,15.554
