frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
1,0,0,0,0,optimize,static_hold,0.000000,0.000000,0.100000,0.120000,0.120000,0,0,0,0,0.065550,0.000000
2,0,0,0,0,optimize,static_hold,0.006016,0.003231,0.100000,0.120000,0.120000,0,0,0,0,0.073376,0.000000
3,0,0,0,0,optimize,static_hold,0.003148,0.003278,0.100000,0.120000,0.120000,0,0,0,0,0.074415,0.000000
4,0,0,0,0,optimize,low_speed,0.013175,0.003383,0.100000,0.120000,0.120000,0,0,0,0,0.065006,0.000000
5,0,0,0,0,optimize,low_speed,0.027120,0.003536,0.100000,0.120000,0.120000,0,0,0,0,0.041768,0.000000
6,0,0,0,0,optimize,uniform_motion,0.040499,0.003793,0.180000,0.220000,0.220000,0,0,0,0,0.008363,0.000000
7,0,0,0,0,optimize,uniform_motion,0.054442,0.004034,0.180000,0.220000,0.220000,0,0,0,0,0.047533,0.000000
8,0,0,0,0,optimize,free_motion,0.069569,0.004131,0.180000,0.220000,0.220000,0,0,0,0,0.112865,0.000000
9,0,0,0,0,optimize,free_motion,0.098836,0.003963,0.180000,0.220000,0.220000,0,0,0,0,0.204919,0.000000
10,0,0,0,0,optimize,high_speed,0.115412,0.003343,0.300000,0.420000,0.340000,0,0,0,0,0.317059,0.000000
11,0,0,0,0,optimize,short_impact,0.137348,0.003278,0.300000,0.420000,0.340000,0,0,0,1,0.451993,0.000000
12,0,0,0,0,optimize,free_motion,0.087449,0.006331,0.180000,0.220000,0.220000,0,0,0,0,0.366936,0.000000
13,0,0,0,0,optimize,free_motion,0.074812,0.008528,0.180000,0.220000,0.220000,0,0,0,0,0.296542,0.000000
14,0,0,0,0,optimize,uniform_motion,0.064277,0.010134,0.180000,0.220000,0.220000,0,0,0,0,0.239365,0.000000
15,0,0,0,0,optimize,uniform_motion,0.065217,0.011579,0.180000,0.220000,0.220000,0,0,0,0,0.190305,0.000000
16,0,0,0,0,optimize,uniform_motion,0.037465,0.012697,0.180000,0.220000,0.220000,0,0,0,0,0.162459,0.000000
17,0,0,0,0,optimize,uniform_motion,0.054337,0.013467,0.180000,0.220000,0.220000,0,0,0,0,0.119851,0.000000
18,0,0,0,0,optimize,free_motion,0.088589,0.013840,0.180000,0.220000,0.220000,0,0,0,0,0.048288,0.000000
19,0,0,0,0,optimize,uniform_motion,0.066708,0.013623,0.180000,0.220000,0.220000,0,0,0,0,0.027851,0.000000
20,0,0,0,0,optimize,uniform_motion,0.054931,0.012695,0.180000,0.220000,0.220000,0,0,0,0,0.063872,0.000000
21,0,0,0,0,optimize,uniform_motion,0.038063,0.011033,0.180000,0.220000,0.220000,0,0,0,0,0.089593,0.000000
22,0,0,0,0,optimize,uniform_motion,0.034070,0.008101,0.180000,0.220000,0.220000,0,0,0,0,0.112854,0.000000
23,0,0,0,0,optimize,uniform_motion,0.044809,0.002336,0.180000,0.220000,0.220000,0,0,0,0,0.141400,0.000000
24,0,0,0,0,optimize,low_speed,0.021214,0.001519,0.100000,0.120000,0.120000,0,0,0,0,0.158691,0.000000
25,0,0,0,0,optimize,static_hold,0.011361,0.002077,0.100000,0.120000,0.120000,0,0,0,0,0.156380,0.000000
26,0,0,0,0,optimize,low_speed,0.025042,0.002732,0.100000,0.120000,0.120000,0,0,0,0,0.158886,0.000000
27,0,0,0,0,optimize,low_speed,0.029403,0.003535,0.100000,0.120000,0.120000,0,0,0,0,0.153077,0.000000
28,0,0,0,0,optimize,uniform_motion,0.049823,0.008205,0.180000,0.220000,0.220000,0,0,0,0,0.137736,0.000000
29,0,0,0,0,optimize,low_speed,0.026761,0.010055,0.100000,0.120000,0.120000,0,0,0,0,0.133724,0.000000
30,0,0,0,0,optimize,free_motion,0.079995,0.014049,0.180000,0.220000,0.220000,0,0,0,0,0.117022,0.000000
31,0,0,0,0,optimize,low_speed,0.022095,0.015019,0.100000,0.120000,0.120000,0,0,0,0,0.108763,0.000000
32,0,0,0,0,optimize,uniform_motion,0.036473,0.016234,0.180000,0.220000,0.220000,0,0,0,0,0.090699,0.000000
33,0,0,0,0,optimize,free_motion,0.078260,0.016941,0.180000,0.220000,0.220000,0,0,0,0,0.025677,0.000000
34,0,0,0,0,optimize,free_motion,0.100771,0.017387,0.180000,0.220000,0.220000,0,0,0,0,0.079372,0.000000
35,0,0,0,0,optimize,uniform_motion,0.041476,0.017048,0.180000,0.220000,0.220000,0,0,0,0,0.105898,0.000000
36,0,0,0,0,optimize,free_motion,0.104403,0.016124,0.180000,0.220000,0.220000,0,0,0,0,0.196647,0.000000
37,0,0,0,0,optimize,high_speed,0.118849,0.013020,0.300000,0.420000,0.340000,0,0,0,0,0.305949,0.000000
